,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 01:46:34.735871,,,,,,,,,
1,Simulation configuration ID,00bb7a0c-e882-4b61-946e-9c4afe08f832,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,49.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,68.0
1,,,1.0,229.0,generation_agent_1,1014.0,191.0,aggregator_agent,47.0,191.0,276.0
2,,,29.0,7031.0,household_agent_12,1012.0,191.0,household_agent_4,44.0,191.0,7075.0
3,,,55.0,29090.0,household_agent_12,1012.0,191.0,household_agent_4,44.0,191.0,29134.0
4,,,27.0,7031.0,household_agent_4,1004.0,191.0,household_agent_12,52.0,191.0,7083.0
5,,,27.0,7031.0,household_agent_4,1004.0,191.0,household_agent_12,58.0,191.0,4252.0
6,,,28.0,7031.0,household_agent_0,1000.0,191.0,household_agent_12,63.0,191.0,7094.0
7,,,53.0,29090.0,household_agent_4,1004.0,191.0,household_agent_12,54.0,191.0,29144.0
8,,,54.0,29090.0,household_agent_0,1000.0,191.0,household_agent_12,64.0,191.0,29154.0
9,,,25.0,7031.0,household_agent_12,1012.0,191.0,household_agent_0,49.0,191.0,7080.0
10,,,26.0,7031.0,household_agent_6,1006.0,191.0,household_agent_0,60.0,191.0,7091.0
