,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 16:04:16.758478,,,,,,,,,
1,Simulation configuration ID,01ccd76e-f67b-4471-a0ff-1cec45898f3a,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,8.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,27.0
1,,,1.0,67.0,generation_agent_2,1015.0,191.0,aggregator_agent,47.0,191.0,114.0
2,,,37.0,26973.0,control_center_agent,1017.0,191.0,aggregator_agent,86.0,191.0,28213.0
3,,,37.0,26973.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,27001.0
4,,,19.0,10762.0,household_agent_5,1005.0,191.0,household_agent_0,48.0,191.0,10810.0
5,,,35.0,15567.0,household_agent_5,1005.0,191.0,household_agent_0,48.0,191.0,15615.0
6,,,17.0,10762.0,household_agent_0,1000.0,191.0,household_agent_5,49.0,191.0,10811.0
7,,,18.0,10762.0,household_agent_10,1010.0,191.0,household_agent_5,60.0,191.0,10822.0
8,,,33.0,15567.0,household_agent_0,1000.0,191.0,household_agent_5,49.0,191.0,15616.0
9,,,33.0,15567.0,household_agent_0,1000.0,191.0,household_agent_5,124.0,191.0,17278.0
10,,,33.0,15567.0,household_agent_0,1000.0,191.0,household_agent_5,147.0,191.0,28274.0
11,,,34.0,15567.0,household_agent_10,1010.0,191.0,household_agent_5,59.0,191.0,15626.0
12,,,15.0,10762.0,household_agent_5,1005.0,191.0,household_agent_10,54.0,191.0,10816.0
13,,,16.0,10762.0,household_agent_9,1009.0,191.0,household_agent_10,65.0,191.0,10827.0
14,,,16.0,10762.0,household_agent_9,1009.0,191.0,household_agent_10,59.0,191.0,12014.0
15,,,31.0,15567.0,household_agent_5,1005.0,191.0,household_agent_10,53.0,191.0,15620.0
16,,,31.0,15567.0,household_agent_5,1005.0,191.0,household_agent_10,102.0,191.0,17256.0
17,,,31.0,15567.0,household_agent_5,1005.0,191.0,household_agent_10,96.0,191.0,28223.0
18,,,32.0,15567.0,household_agent_9,1009.0,191.0,household_agent_10,64.0,191.0,15631.0
19,,,32.0,15567.0,household_agent_9,1009.0,191.0,household_agent_10,113.0,191.0,17267.0
