,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 19:21:02.364925,,,,,,,,,
1,Simulation configuration ID,0619ee95-69b7-4fc8-b02b-6338608ebc89,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,48.0,household_agent_0,1000.0,991.0,control_center_agent,20.0,536.0,68.0
1,,,0.0,48.0,household_agent_0,1000.0,991.0,control_center_agent,31.0,455.0,79.0
2,,,1.0,57.0,household_agent_1,1001.0,991.0,household_agent_0,152.0,536.0,209.0
3,,,1.0,57.0,household_agent_1,1001.0,991.0,household_agent_0,329.0,536.0,386.0
4,,,2.0,57.0,household_agent_2,1002.0,991.0,household_agent_0,114.0,536.0,171.0
5,,,2.0,57.0,household_agent_2,1002.0,991.0,household_agent_0,270.0,536.0,327.0
6,,,3.0,57.0,household_agent_3,1003.0,991.0,household_agent_0,162.0,536.0,219.0
7,,,3.0,57.0,household_agent_3,1003.0,991.0,household_agent_0,281.0,536.0,338.0
8,,,4.0,57.0,household_agent_4,1004.0,991.0,household_agent_0,168.0,536.0,225.0
9,,,4.0,57.0,household_agent_4,1004.0,991.0,household_agent_0,356.0,536.0,413.0
10,,,5.0,57.0,household_agent_5,1005.0,991.0,household_agent_0,204.0,536.0,261.0
11,,,5.0,57.0,household_agent_5,1005.0,991.0,household_agent_0,563.0,536.0,620.0
12,,,6.0,57.0,household_agent_6,1006.0,991.0,household_agent_0,471.0,536.0,528.0
13,,,6.0,57.0,household_agent_6,1006.0,991.0,household_agent_0,902.0,455.0,959.0
14,,,7.0,57.0,household_agent_7,1007.0,991.0,household_agent_0,1382.0,536.0,1439.0
15,,,7.0,57.0,household_agent_7,1007.0,991.0,household_agent_0,4019.0,536.0,4076.0
16,,,8.0,57.0,household_agent_8,1008.0,991.0,household_agent_0,643.0,536.0,700.0
17,,,8.0,57.0,household_agent_8,1008.0,991.0,household_agent_0,4390.0,536.0,4447.0
18,,,9.0,57.0,household_agent_9,1009.0,991.0,household_agent_0,17516.0,536.0,17573.0
19,,,9.0,57.0,household_agent_9,1009.0,991.0,household_agent_0,22005.0,536.0,22062.0
