,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 16:03:19.526971,,,,,,,,,
1,Simulation configuration ID,0bed3d09-0d4e-48cc-b92c-4e94736bc168,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,61.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,80.0
1,,,1.0,167.0,household_agent_0,1000.0,191.0,aggregator_agent,47.0,191.0,214.0
2,,,90.0,2731.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,2759.0
3,,,2.0,307.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,354.0
4,,,3.0,307.0,household_agent_9,1009.0,191.0,household_agent_0,58.0,191.0,365.0
5,,,4.0,307.0,generation_agent_3,1016.0,191.0,household_agent_0,69.0,191.0,376.0
6,,,5.0,770.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,821.0
7,,,6.0,770.0,household_agent_9,1009.0,191.0,household_agent_0,60.0,191.0,830.0
8,,,7.0,770.0,generation_agent_3,1016.0,191.0,household_agent_0,76.0,191.0,846.0
9,,,47.0,1767.0,household_agent_1,1001.0,191.0,household_agent_0,49.0,191.0,1816.0
10,,,48.0,1767.0,household_agent_9,1009.0,191.0,household_agent_0,58.0,191.0,1825.0
11,,,49.0,1767.0,generation_agent_3,1016.0,191.0,household_agent_0,75.0,191.0,1842.0
12,,,89.0,2248.0,aggregator_agent,1019.0,191.0,household_agent_0,47.0,191.0,2295.0
13,,,8.0,770.0,household_agent_0,1000.0,191.0,household_agent_1,52.0,191.0,822.0
14,,,9.0,770.0,household_agent_2,1002.0,191.0,household_agent_1,66.0,191.0,836.0
15,,,50.0,1767.0,household_agent_0,1000.0,191.0,household_agent_1,49.0,191.0,1816.0
16,,,51.0,1767.0,household_agent_2,1002.0,191.0,household_agent_1,63.0,191.0,1830.0
17,,,15.0,770.0,household_agent_1,1001.0,191.0,household_agent_2,55.0,191.0,825.0
18,,,16.0,770.0,household_agent_3,1003.0,191.0,household_agent_2,68.0,191.0,838.0
19,,,57.0,1767.0,household_agent_1,1001.0,191.0,household_agent_2,53.0,191.0,1820.0
20,,,58.0,1767.0,household_agent_3,1003.0,191.0,household_agent_2,65.0,191.0,1832.0
21,,,24.0,770.0,household_agent_2,1002.0,191.0,household_agent_3,47.0,191.0,817.0
22,,,25.0,770.0,household_agent_4,1004.0,191.0,household_agent_3,58.0,191.0,828.0
23,,,26.0,770.0,household_agent_5,1005.0,191.0,household_agent_3,72.0,191.0,842.0
24,,,66.0,1767.0,household_agent_2,1002.0,191.0,household_agent_3,47.0,191.0,1814.0
25,,,67.0,1767.0,household_agent_4,1004.0,191.0,household_agent_3,60.0,191.0,1827.0
26,,,68.0,1767.0,household_agent_5,1005.0,191.0,household_agent_3,69.0,191.0,1836.0
27,,,36.0,770.0,household_agent_3,1003.0,191.0,household_agent_4,50.0,191.0,820.0
28,,,37.0,770.0,household_agent_5,1005.0,191.0,household_agent_4,64.0,191.0,834.0
29,,,38.0,770.0,generation_agent_0,1013.0,191.0,household_agent_4,73.0,191.0,843.0
30,,,78.0,1767.0,household_agent_3,1003.0,191.0,household_agent_4,50.0,191.0,1817.0
31,,,79.0,1767.0,household_agent_5,1005.0,191.0,household_agent_4,62.0,191.0,1829.0
32,,,80.0,1767.0,generation_agent_0,1013.0,191.0,household_agent_4,72.0,191.0,1839.0
33,,,39.0,770.0,household_agent_3,1003.0,191.0,household_agent_5,54.0,191.0,824.0
34,,,40.0,770.0,household_agent_4,1004.0,191.0,household_agent_5,77.0,191.0,847.0
35,,,41.0,770.0,household_agent_6,1006.0,191.0,household_agent_5,85.0,191.0,855.0
36,,,81.0,1767.0,household_agent_3,1003.0,191.0,household_agent_5,52.0,191.0,1819.0
37,,,82.0,1767.0,household_agent_4,1004.0,191.0,household_agent_5,74.0,191.0,1841.0
38,,,83.0,1767.0,household_agent_6,1006.0,191.0,household_agent_5,85.0,191.0,1852.0
39,,,42.0,770.0,household_agent_5,1005.0,191.0,household_agent_6,60.0,191.0,830.0
40,,,43.0,770.0,household_agent_7,1007.0,191.0,household_agent_6,70.0,191.0,840.0
41,,,84.0,1767.0,household_agent_5,1005.0,191.0,household_agent_6,59.0,191.0,1826.0
42,,,85.0,1767.0,household_agent_7,1007.0,191.0,household_agent_6,73.0,191.0,1840.0
43,,,27.0,770.0,household_agent_6,1006.0,191.0,household_agent_7,57.0,191.0,827.0
44,,,28.0,770.0,household_agent_8,1008.0,191.0,household_agent_7,71.0,191.0,841.0
45,,,69.0,1767.0,household_agent_6,1006.0,191.0,household_agent_7,57.0,191.0,1824.0
46,,,70.0,1767.0,household_agent_8,1008.0,191.0,household_agent_7,68.0,191.0,1835.0
47,,,17.0,770.0,household_agent_7,1007.0,191.0,household_agent_8,54.0,191.0,824.0
48,,,18.0,770.0,household_agent_9,1009.0,191.0,household_agent_8,65.0,191.0,835.0
49,,,19.0,770.0,household_agent_12,1012.0,191.0,household_agent_8,77.0,191.0,847.0
