,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 13:08:06.644529,,,,,,,,,
1,Simulation configuration ID,10ea368b-8100-4253-a130-95427efafdf7,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,49.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,68.0
1,,,1.0,144.0,household_agent_1,1001.0,41.0,aggregator_agent,47.0,41.0,191.0
2,,,18.0,25860.0,household_agent_3,1003.0,41.0,household_agent_9,65.0,41.0,25925.0
3,,,19.0,25860.0,household_agent_4,1004.0,41.0,household_agent_9,68.0,41.0,25928.0
4,,,20.0,25860.0,household_agent_1,1001.0,41.0,household_agent_9,52.0,41.0,25912.0
5,,,21.0,25860.0,household_agent_0,1000.0,41.0,household_agent_9,74.0,41.0,25934.0
6,,,22.0,25860.0,generation_agent_0,1013.0,41.0,household_agent_9,85.0,41.0,25945.0
7,,,23.0,25860.0,generation_agent_1,1014.0,41.0,household_agent_9,53.0,41.0,6501.0
8,,,23.0,25860.0,generation_agent_1,1014.0,41.0,household_agent_9,128.0,41.0,25988.0
9,,,24.0,25860.0,generation_agent_2,1015.0,41.0,household_agent_9,58.0,41.0,6506.0
10,,,24.0,25860.0,generation_agent_2,1015.0,41.0,household_agent_9,140.0,41.0,26000.0
11,,,25.0,25860.0,generation_agent_3,1016.0,41.0,household_agent_9,150.0,41.0,26010.0
12,,,26.0,25860.0,household_agent_9,1009.0,41.0,household_agent_3,47.0,41.0,25907.0
13,,,26.0,25860.0,household_agent_9,1009.0,41.0,household_agent_3,52.0,41.0,19459.0
