,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 00:55:12.340457,,,,,,,,,
1,Simulation configuration ID,12d3559c-20fa-43da-81bb-dddecbe66629,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,91.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,111.0
1,,,0.0,91.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,125.0
2,,,1.0,159.0,household_agent_6,1006.0,991.0,aggregator_agent,49.0,536.0,208.0
3,,,1.0,159.0,household_agent_6,1006.0,991.0,aggregator_agent,84.0,455.0,243.0
4,,,1106.0,1161.0,control_center_agent,1017.0,991.0,aggregator_agent,63.0,536.0,1224.0
5,,,1106.0,1161.0,control_center_agent,1017.0,991.0,aggregator_agent,91.0,455.0,1252.0
6,,,34.0,192.0,household_agent_1,1001.0,991.0,household_agent_0,53.0,536.0,245.0
7,,,34.0,192.0,household_agent_1,1001.0,991.0,household_agent_0,97.0,455.0,289.0
8,,,35.0,192.0,generation_agent_3,1016.0,991.0,household_agent_0,62.0,536.0,254.0
9,,,35.0,192.0,generation_agent_3,1016.0,991.0,household_agent_0,115.0,455.0,307.0
10,,,84.0,237.0,household_agent_1,1001.0,991.0,household_agent_0,88.0,536.0,325.0
11,,,84.0,237.0,household_agent_1,1001.0,991.0,household_agent_0,187.0,455.0,424.0
12,,,85.0,237.0,generation_agent_3,1016.0,991.0,household_agent_0,167.0,536.0,404.0
13,,,85.0,237.0,generation_agent_3,1016.0,991.0,household_agent_0,263.0,536.0,500.0
14,,,134.0,268.0,household_agent_1,1001.0,991.0,household_agent_0,258.0,536.0,526.0
15,,,134.0,268.0,household_agent_1,1001.0,991.0,household_agent_0,314.0,455.0,582.0
16,,,135.0,268.0,generation_agent_3,1016.0,991.0,household_agent_0,242.0,536.0,510.0
17,,,135.0,268.0,generation_agent_3,1016.0,991.0,household_agent_0,373.0,374.0,641.0
18,,,184.0,342.0,household_agent_1,1001.0,991.0,household_agent_0,195.0,536.0,537.0
19,,,184.0,342.0,household_agent_1,1001.0,991.0,household_agent_0,449.0,536.0,791.0
20,,,185.0,342.0,generation_agent_3,1016.0,991.0,household_agent_0,283.0,536.0,625.0
21,,,185.0,342.0,generation_agent_3,1016.0,991.0,household_agent_0,354.0,536.0,696.0
22,,,234.0,349.0,household_agent_1,1001.0,991.0,household_agent_0,446.0,536.0,795.0
23,,,234.0,349.0,household_agent_1,1001.0,991.0,household_agent_0,500.0,536.0,849.0
24,,,235.0,349.0,generation_agent_3,1016.0,991.0,household_agent_0,378.0,536.0,727.0
25,,,235.0,349.0,generation_agent_3,1016.0,991.0,household_agent_0,561.0,536.0,910.0
26,,,284.0,394.0,household_agent_1,1001.0,991.0,household_agent_0,469.0,536.0,863.0
27,,,284.0,394.0,household_agent_1,1001.0,991.0,household_agent_0,476.0,536.0,870.0
28,,,285.0,394.0,generation_agent_3,1016.0,991.0,household_agent_0,534.0,536.0,928.0
29,,,285.0,394.0,generation_agent_3,1016.0,991.0,household_agent_0,754.0,293.0,1148.0
30,,,334.0,440.0,household_agent_1,1001.0,991.0,household_agent_0,451.0,536.0,891.0
31,,,334.0,440.0,household_agent_1,1001.0,991.0,household_agent_0,549.0,212.0,989.0
32,,,335.0,440.0,generation_agent_3,1016.0,991.0,household_agent_0,255.0,536.0,695.0
33,,,335.0,440.0,generation_agent_3,1016.0,991.0,household_agent_0,411.0,455.0,851.0
34,,,384.0,532.0,household_agent_1,1001.0,991.0,household_agent_0,282.0,536.0,814.0
35,,,384.0,532.0,household_agent_1,1001.0,991.0,household_agent_0,383.0,536.0,915.0
36,,,385.0,532.0,generation_agent_3,1016.0,991.0,household_agent_0,311.0,536.0,843.0
37,,,385.0,532.0,generation_agent_3,1016.0,991.0,household_agent_0,506.0,536.0,1038.0
38,,,434.0,548.0,household_agent_1,1001.0,991.0,household_agent_0,376.0,536.0,924.0
39,,,434.0,548.0,household_agent_1,1001.0,991.0,household_agent_0,508.0,536.0,1056.0
40,,,435.0,548.0,generation_agent_3,1016.0,991.0,household_agent_0,510.0,536.0,1058.0
41,,,435.0,548.0,generation_agent_3,1016.0,991.0,household_agent_0,679.0,536.0,1227.0
42,,,484.0,557.0,household_agent_1,1001.0,991.0,household_agent_0,514.0,536.0,1071.0
43,,,484.0,557.0,household_agent_1,1001.0,991.0,household_agent_0,520.0,536.0,1077.0
44,,,485.0,557.0,generation_agent_3,1016.0,991.0,household_agent_0,685.0,536.0,1242.0
45,,,485.0,557.0,generation_agent_3,1016.0,991.0,household_agent_0,1051.0,293.0,1608.0
46,,,534.0,591.0,household_agent_1,1001.0,991.0,household_agent_0,527.0,536.0,1118.0
47,,,534.0,591.0,household_agent_1,1001.0,991.0,household_agent_0,644.0,212.0,1235.0
48,,,535.0,591.0,generation_agent_3,1016.0,991.0,household_agent_0,348.0,536.0,939.0
49,,,535.0,591.0,generation_agent_3,1016.0,991.0,household_agent_0,561.0,536.0,1152.0
50,,,584.0,623.0,household_agent_1,1001.0,991.0,household_agent_0,288.0,536.0,911.0
51,,,584.0,623.0,household_agent_1,1001.0,991.0,household_agent_0,368.0,536.0,991.0
52,,,585.0,623.0,generation_agent_3,1016.0,991.0,household_agent_0,531.0,536.0,1154.0
53,,,585.0,623.0,generation_agent_3,1016.0,991.0,household_agent_0,915.0,374.0,1538.0
54,,,634.0,699.0,household_agent_1,1001.0,991.0,household_agent_0,313.0,536.0,1012.0
55,,,634.0,699.0,household_agent_1,1001.0,991.0,household_agent_0,522.0,374.0,1221.0
56,,,635.0,699.0,generation_agent_3,1016.0,991.0,household_agent_0,400.0,536.0,1099.0
57,,,635.0,699.0,generation_agent_3,1016.0,991.0,household_agent_0,552.0,455.0,1251.0
