,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 04:40:42.367338,,,,,,,,,
1,Simulation configuration ID,1cd5fb41-5ece-44ae-824f-4f0de562ffd2,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,28.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,47.0
1,,,1.0,159.0,household_agent_10,1010.0,191.0,aggregator_agent,65.0,191.0,224.0
2,,,5006.0,5222.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,5250.0
3,,,41.0,187.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,234.0
4,,,42.0,187.0,generation_agent_3,1016.0,191.0,household_agent_0,63.0,191.0,250.0
5,,,91.0,247.0,household_agent_1,1001.0,191.0,household_agent_0,54.0,191.0,301.0
6,,,92.0,247.0,generation_agent_3,1016.0,191.0,household_agent_0,58.0,191.0,305.0
7,,,141.0,339.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,387.0
8,,,142.0,339.0,generation_agent_3,1016.0,191.0,household_agent_0,61.0,191.0,400.0
9,,,191.0,409.0,household_agent_1,1001.0,191.0,household_agent_0,53.0,191.0,462.0
10,,,192.0,409.0,generation_agent_3,1016.0,191.0,household_agent_0,64.0,191.0,473.0
11,,,241.0,491.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,538.0
12,,,242.0,491.0,generation_agent_3,1016.0,191.0,household_agent_0,110.0,191.0,601.0
13,,,291.0,520.0,household_agent_1,1001.0,191.0,household_agent_0,77.0,191.0,597.0
14,,,292.0,520.0,generation_agent_3,1016.0,191.0,household_agent_0,81.0,191.0,601.0
15,,,341.0,536.0,household_agent_1,1001.0,191.0,household_agent_0,105.0,191.0,641.0
16,,,342.0,536.0,generation_agent_3,1016.0,191.0,household_agent_0,128.0,191.0,664.0
17,,,391.0,610.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,662.0
18,,,392.0,610.0,generation_agent_3,1016.0,191.0,household_agent_0,108.0,191.0,718.0
19,,,441.0,676.0,household_agent_1,1001.0,191.0,household_agent_0,78.0,191.0,754.0
20,,,442.0,676.0,generation_agent_3,1016.0,191.0,household_agent_0,164.0,191.0,840.0
21,,,491.0,737.0,household_agent_1,1001.0,191.0,household_agent_0,82.0,382.0,819.0
22,,,492.0,737.0,generation_agent_3,1016.0,191.0,household_agent_0,127.0,382.0,864.0
23,,,591.0,754.0,household_agent_1,1001.0,191.0,household_agent_0,106.0,382.0,860.0
24,,,592.0,754.0,generation_agent_3,1016.0,191.0,household_agent_0,164.0,382.0,918.0
25,,,691.0,852.0,household_agent_1,1001.0,191.0,household_agent_0,79.0,191.0,931.0
26,,,692.0,852.0,generation_agent_3,1016.0,191.0,household_agent_0,72.0,191.0,924.0
27,,,741.0,913.0,household_agent_1,1001.0,191.0,household_agent_0,138.0,382.0,1051.0
28,,,742.0,913.0,generation_agent_3,1016.0,191.0,household_agent_0,92.0,191.0,1005.0
29,,,842.0,968.0,generation_agent_3,1016.0,191.0,household_agent_0,135.0,382.0,1103.0
30,,,891.0,1010.0,household_agent_1,1001.0,191.0,household_agent_0,61.0,191.0,1071.0
31,,,941.0,1095.0,household_agent_1,1001.0,191.0,household_agent_0,72.0,191.0,1167.0
32,,,942.0,1095.0,generation_agent_3,1016.0,191.0,household_agent_0,78.0,191.0,1173.0
33,,,991.0,1159.0,household_agent_1,1001.0,191.0,household_agent_0,101.0,191.0,1260.0
34,,,992.0,1159.0,generation_agent_3,1016.0,191.0,household_agent_0,93.0,191.0,1252.0
35,,,1041.0,1169.0,household_agent_1,1001.0,191.0,household_agent_0,125.0,191.0,1294.0
36,,,1042.0,1169.0,generation_agent_3,1016.0,191.0,household_agent_0,130.0,191.0,1299.0
37,,,1091.0,1221.0,household_agent_1,1001.0,191.0,household_agent_0,172.0,191.0,1393.0
38,,,1092.0,1221.0,generation_agent_3,1016.0,191.0,household_agent_0,127.0,191.0,1348.0
39,,,1141.0,1292.0,household_agent_1,1001.0,191.0,household_agent_0,198.0,191.0,1490.0
40,,,1142.0,1292.0,generation_agent_3,1016.0,191.0,household_agent_0,180.0,536.0,1472.0
41,,,1191.0,1297.0,household_agent_1,1001.0,191.0,household_agent_0,242.0,536.0,1539.0
42,,,1242.0,1306.0,generation_agent_3,1016.0,191.0,household_agent_0,231.0,536.0,1537.0
43,,,1291.0,1316.0,household_agent_1,1001.0,191.0,household_agent_0,322.0,536.0,1638.0
44,,,1392.0,1381.0,generation_agent_3,1016.0,191.0,household_agent_0,235.0,74.0,1616.0
