,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 00:27:19.235147,,,,,,,,,
1,Simulation configuration ID,2a88c799-0bae-4da3-8dbb-392cc429cec9,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,29.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,48.0
1,,,1.0,81.0,household_agent_1,1001.0,191.0,aggregator_agent,47.0,191.0,128.0
2,,,551.0,1211.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,1239.0
3,,,26.0,174.0,household_agent_10,1010.0,191.0,household_agent_2,44.0,191.0,218.0
4,,,52.0,240.0,household_agent_10,1010.0,191.0,household_agent_2,43.0,191.0,283.0
5,,,78.0,317.0,household_agent_10,1010.0,191.0,household_agent_2,46.0,191.0,363.0
6,,,104.0,394.0,household_agent_10,1010.0,191.0,household_agent_2,47.0,191.0,441.0
7,,,130.0,442.0,household_agent_10,1010.0,191.0,household_agent_2,51.0,191.0,493.0
8,,,156.0,518.0,household_agent_10,1010.0,191.0,household_agent_2,47.0,191.0,565.0
9,,,182.0,560.0,household_agent_10,1010.0,191.0,household_agent_2,50.0,191.0,610.0
10,,,208.0,618.0,household_agent_10,1010.0,191.0,household_agent_2,77.0,191.0,695.0
11,,,208.0,618.0,household_agent_10,1010.0,191.0,household_agent_2,715.0,536.0,925.0
12,,,234.0,634.0,household_agent_10,1010.0,191.0,household_agent_2,76.0,382.0,710.0
13,,,286.0,648.0,household_agent_10,1010.0,191.0,household_agent_2,112.0,191.0,760.0
14,,,312.0,712.0,household_agent_10,1010.0,191.0,household_agent_2,56.0,191.0,768.0
15,,,312.0,712.0,household_agent_10,1010.0,191.0,household_agent_2,666.0,536.0,876.0
16,,,338.0,749.0,household_agent_10,1010.0,191.0,household_agent_2,61.0,191.0,810.0
17,,,364.0,790.0,household_agent_10,1010.0,191.0,household_agent_2,60.0,191.0,850.0
18,,,390.0,846.0,household_agent_10,1010.0,191.0,household_agent_2,56.0,191.0,902.0
19,,,416.0,892.0,household_agent_10,1010.0,191.0,household_agent_2,76.0,191.0,968.0
20,,,442.0,922.0,household_agent_10,1010.0,191.0,household_agent_2,76.0,191.0,998.0
21,,,468.0,989.0,household_agent_10,1010.0,191.0,household_agent_2,46.0,191.0,1035.0
22,,,494.0,1073.0,household_agent_10,1010.0,191.0,household_agent_2,45.0,191.0,1118.0
23,,,520.0,1113.0,household_agent_10,1010.0,191.0,household_agent_2,43.0,191.0,1156.0
24,,,546.0,1195.0,household_agent_10,1010.0,191.0,household_agent_2,44.0,191.0,1239.0
25,,,22.0,174.0,household_agent_2,1002.0,191.0,household_agent_10,56.0,191.0,230.0
