,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 21:04:25.569996,,,,,,,,,
1,Simulation configuration ID,302366c5-0e2e-493b-8439-3e0649859187,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,68.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,88.0
1,,,0.0,68.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,102.0
2,,,1.0,97.0,household_agent_2,1002.0,991.0,aggregator_agent,49.0,536.0,146.0
3,,,1.0,97.0,household_agent_2,1002.0,991.0,aggregator_agent,189.0,455.0,286.0
4,,,835.0,204.0,control_center_agent,1017.0,991.0,aggregator_agent,31.0,536.0,235.0
5,,,835.0,204.0,control_center_agent,1017.0,991.0,aggregator_agent,64.0,455.0,268.0
6,,,34.0,154.0,household_agent_1,1001.0,991.0,household_agent_0,243.0,536.0,397.0
7,,,34.0,154.0,household_agent_1,1001.0,991.0,household_agent_0,505.0,455.0,659.0
8,,,35.0,154.0,household_agent_2,1002.0,991.0,household_agent_0,200.0,536.0,354.0
9,,,35.0,154.0,household_agent_2,1002.0,991.0,household_agent_0,552.0,455.0,706.0
10,,,36.0,154.0,household_agent_3,1003.0,991.0,household_agent_0,98.0,536.0,252.0
11,,,36.0,154.0,household_agent_3,1003.0,991.0,household_agent_0,478.0,455.0,632.0
12,,,37.0,154.0,household_agent_4,1004.0,991.0,household_agent_0,227.0,536.0,381.0
13,,,37.0,154.0,household_agent_4,1004.0,991.0,household_agent_0,431.0,455.0,585.0
14,,,38.0,154.0,household_agent_5,1005.0,991.0,household_agent_0,255.0,536.0,409.0
15,,,38.0,154.0,household_agent_5,1005.0,991.0,household_agent_0,428.0,455.0,582.0
16,,,39.0,154.0,household_agent_6,1006.0,991.0,household_agent_0,211.0,536.0,365.0
17,,,39.0,154.0,household_agent_6,1006.0,991.0,household_agent_0,390.0,455.0,544.0
18,,,40.0,154.0,household_agent_7,1007.0,991.0,household_agent_0,456.0,536.0,610.0
19,,,40.0,154.0,household_agent_7,1007.0,991.0,household_agent_0,598.0,536.0,752.0
20,,,41.0,154.0,household_agent_8,1008.0,991.0,household_agent_0,379.0,536.0,533.0
21,,,41.0,154.0,household_agent_8,1008.0,991.0,household_agent_0,489.0,536.0,643.0
22,,,42.0,154.0,household_agent_9,1009.0,991.0,household_agent_0,414.0,536.0,568.0
23,,,42.0,154.0,household_agent_9,1009.0,991.0,household_agent_0,610.0,536.0,764.0
24,,,43.0,154.0,household_agent_10,1010.0,991.0,household_agent_0,478.0,536.0,632.0
25,,,43.0,154.0,household_agent_10,1010.0,991.0,household_agent_0,678.0,536.0,832.0
26,,,44.0,154.0,household_agent_11,1011.0,991.0,household_agent_0,629.0,536.0,783.0
27,,,44.0,154.0,household_agent_11,1011.0,991.0,household_agent_0,1153.0,536.0,1307.0
28,,,45.0,154.0,household_agent_12,1012.0,991.0,household_agent_0,688.0,536.0,842.0
29,,,45.0,154.0,household_agent_12,1012.0,991.0,household_agent_0,833.0,536.0,987.0
30,,,46.0,154.0,generation_agent_0,1013.0,991.0,household_agent_0,895.0,536.0,1049.0
31,,,46.0,154.0,generation_agent_0,1013.0,991.0,household_agent_0,1216.0,536.0,1370.0
32,,,47.0,154.0,generation_agent_1,1014.0,991.0,household_agent_0,954.0,536.0,1108.0
33,,,47.0,154.0,generation_agent_1,1014.0,991.0,household_agent_0,1183.0,536.0,1337.0
34,,,48.0,154.0,generation_agent_2,1015.0,991.0,household_agent_0,965.0,536.0,1119.0
35,,,48.0,154.0,generation_agent_2,1015.0,991.0,household_agent_0,1247.0,536.0,1401.0
36,,,49.0,154.0,generation_agent_3,1016.0,991.0,household_agent_0,971.0,536.0,1125.0
37,,,49.0,154.0,generation_agent_3,1016.0,991.0,household_agent_0,1092.0,536.0,1246.0
38,,,306.0,245.0,household_agent_1,1001.0,991.0,household_agent_0,660.0,536.0,905.0
39,,,306.0,245.0,household_agent_1,1001.0,991.0,household_agent_0,895.0,536.0,1140.0
40,,,307.0,245.0,household_agent_2,1002.0,991.0,household_agent_0,520.0,536.0,765.0
41,,,307.0,245.0,household_agent_2,1002.0,991.0,household_agent_0,1248.0,536.0,1493.0
42,,,308.0,245.0,household_agent_3,1003.0,991.0,household_agent_0,563.0,536.0,808.0
43,,,308.0,245.0,household_agent_3,1003.0,991.0,household_agent_0,796.0,536.0,1041.0
44,,,309.0,245.0,household_agent_4,1004.0,991.0,household_agent_0,518.0,536.0,763.0
45,,,309.0,245.0,household_agent_4,1004.0,991.0,household_agent_0,721.0,536.0,966.0
46,,,310.0,245.0,household_agent_5,1005.0,991.0,household_agent_0,434.0,536.0,679.0
47,,,310.0,245.0,household_agent_5,1005.0,991.0,household_agent_0,884.0,536.0,1129.0
48,,,311.0,245.0,household_agent_6,1006.0,991.0,household_agent_0,326.0,536.0,571.0
49,,,311.0,245.0,household_agent_6,1006.0,991.0,household_agent_0,512.0,536.0,757.0
50,,,312.0,245.0,household_agent_7,1007.0,991.0,household_agent_0,509.0,536.0,754.0
51,,,312.0,245.0,household_agent_7,1007.0,991.0,household_agent_0,873.0,536.0,1118.0
52,,,313.0,245.0,household_agent_8,1008.0,991.0,household_agent_0,454.0,536.0,699.0
53,,,313.0,245.0,household_agent_8,1008.0,991.0,household_agent_0,644.0,536.0,889.0
54,,,314.0,245.0,household_agent_9,1009.0,991.0,household_agent_0,567.0,536.0,812.0
55,,,314.0,245.0,household_agent_9,1009.0,991.0,household_agent_0,811.0,536.0,1056.0
56,,,315.0,245.0,household_agent_10,1010.0,991.0,household_agent_0,592.0,536.0,837.0
57,,,315.0,245.0,household_agent_10,1010.0,991.0,household_agent_0,903.0,536.0,1148.0
58,,,316.0,245.0,household_agent_11,1011.0,991.0,household_agent_0,1194.0,536.0,1439.0
59,,,316.0,245.0,household_agent_11,1011.0,991.0,household_agent_0,1380.0,536.0,1625.0
60,,,317.0,245.0,household_agent_12,1012.0,991.0,household_agent_0,765.0,536.0,1010.0
61,,,317.0,245.0,household_agent_12,1012.0,991.0,household_agent_0,1031.0,536.0,1276.0
62,,,318.0,245.0,generation_agent_0,1013.0,991.0,household_agent_0,1137.0,536.0,1382.0
63,,,318.0,245.0,generation_agent_0,1013.0,991.0,household_agent_0,1339.0,536.0,1584.0
64,,,319.0,245.0,generation_agent_1,1014.0,991.0,household_agent_0,1210.0,536.0,1455.0
65,,,319.0,245.0,generation_agent_1,1014.0,991.0,household_agent_0,1384.0,536.0,1629.0
66,,,320.0,245.0,generation_agent_2,1015.0,991.0,household_agent_0,1174.0,536.0,1419.0
67,,,320.0,245.0,generation_agent_2,1015.0,991.0,household_agent_0,1549.0,536.0,1794.0
68,,,321.0,245.0,generation_agent_3,1016.0,991.0,household_agent_0,1022.0,536.0,1267.0
69,,,321.0,245.0,generation_agent_3,1016.0,991.0,household_agent_0,1130.0,536.0,1375.0
70,,,578.0,263.0,household_agent_1,1001.0,991.0,household_agent_0,994.0,536.0,1257.0
71,,,578.0,263.0,household_agent_1,1001.0,991.0,household_agent_0,1175.0,374.0,1438.0
72,,,579.0,263.0,household_agent_2,1002.0,991.0,household_agent_0,1285.0,536.0,1548.0
73,,,579.0,263.0,household_agent_2,1002.0,991.0,household_agent_0,1761.0,374.0,2024.0
74,,,580.0,263.0,household_agent_3,1003.0,991.0,household_agent_0,827.0,536.0,1090.0
75,,,580.0,263.0,household_agent_3,1003.0,991.0,household_agent_0,1157.0,374.0,1420.0
76,,,581.0,263.0,household_agent_4,1004.0,991.0,household_agent_0,737.0,536.0,1000.0
77,,,581.0,263.0,household_agent_4,1004.0,991.0,household_agent_0,836.0,374.0,1099.0
78,,,582.0,263.0,household_agent_5,1005.0,991.0,household_agent_0,1097.0,536.0,1360.0
79,,,582.0,263.0,household_agent_5,1005.0,991.0,household_agent_0,1389.0,374.0,1652.0
80,,,583.0,263.0,household_agent_6,1006.0,991.0,household_agent_0,523.0,536.0,786.0
81,,,583.0,263.0,household_agent_6,1006.0,991.0,household_agent_0,704.0,374.0,967.0
82,,,584.0,263.0,household_agent_7,1007.0,991.0,household_agent_0,898.0,536.0,1161.0
83,,,584.0,263.0,household_agent_7,1007.0,991.0,household_agent_0,1301.0,293.0,1564.0
84,,,585.0,263.0,household_agent_8,1008.0,991.0,household_agent_0,655.0,536.0,918.0
85,,,585.0,263.0,household_agent_8,1008.0,991.0,household_agent_0,1263.0,293.0,1526.0
86,,,586.0,263.0,household_agent_9,1009.0,991.0,household_agent_0,817.0,536.0,1080.0
87,,,586.0,263.0,household_agent_9,1009.0,991.0,household_agent_0,1018.0,293.0,1281.0
88,,,587.0,263.0,household_agent_10,1010.0,991.0,household_agent_0,920.0,536.0,1183.0
89,,,587.0,263.0,household_agent_10,1010.0,991.0,household_agent_0,1223.0,293.0,1486.0
90,,,588.0,263.0,household_agent_11,1011.0,991.0,household_agent_0,1363.0,536.0,1626.0
91,,,588.0,263.0,household_agent_11,1011.0,991.0,household_agent_0,1556.0,293.0,1819.0
92,,,589.0,263.0,household_agent_12,1012.0,991.0,household_agent_0,1043.0,536.0,1306.0
93,,,589.0,263.0,household_agent_12,1012.0,991.0,household_agent_0,1388.0,293.0,1651.0
94,,,590.0,263.0,generation_agent_0,1013.0,991.0,household_agent_0,1340.0,536.0,1603.0
95,,,590.0,263.0,generation_agent_0,1013.0,991.0,household_agent_0,1627.0,293.0,1890.0
96,,,591.0,263.0,generation_agent_1,1014.0,991.0,household_agent_0,1405.0,536.0,1668.0
97,,,591.0,263.0,generation_agent_1,1014.0,991.0,household_agent_0,1526.0,293.0,1789.0
98,,,592.0,263.0,generation_agent_2,1015.0,991.0,household_agent_0,1542.0,536.0,1805.0
99,,,592.0,263.0,generation_agent_2,1015.0,991.0,household_agent_0,1794.0,293.0,2057.0
100,,,593.0,263.0,generation_agent_3,1016.0,991.0,household_agent_0,1144.0,536.0,1407.0
101,,,593.0,263.0,generation_agent_3,1016.0,991.0,household_agent_0,1474.0,293.0,1737.0
102,,,50.0,154.0,household_agent_0,1000.0,991.0,household_agent_1,75.0,536.0,229.0
103,,,50.0,154.0,household_agent_0,1000.0,991.0,household_agent_1,400.0,455.0,554.0
104,,,51.0,154.0,household_agent_2,1002.0,991.0,household_agent_1,102.0,536.0,256.0
105,,,51.0,154.0,household_agent_2,1002.0,991.0,household_agent_1,348.0,455.0,502.0
106,,,52.0,154.0,household_agent_3,1003.0,991.0,household_agent_1,170.0,536.0,324.0
107,,,52.0,154.0,household_agent_3,1003.0,991.0,household_agent_1,338.0,455.0,492.0
