,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 19:50:17.760280,,,,,,,,,
1,Simulation configuration ID,3040dc8c-2b79-42e7-a3d7-ce0218c1ff4f,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,65.0,aggregator_agent,1019.0,991.0,control_center_agent,19.0,536.0,84.0
1,,,0.0,65.0,aggregator_agent,1019.0,991.0,control_center_agent,33.0,455.0,98.0
2,,,1.0,148.0,household_agent_10,1010.0,991.0,aggregator_agent,47.0,536.0,195.0
3,,,1.0,148.0,household_agent_10,1010.0,991.0,aggregator_agent,81.0,455.0,229.0
4,,,101.0,1582.0,control_center_agent,1017.0,991.0,aggregator_agent,28.0,536.0,1610.0
5,,,101.0,1582.0,control_center_agent,1017.0,991.0,aggregator_agent,48.0,455.0,1630.0
6,,,35.0,900.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,952.0
7,,,35.0,900.0,household_agent_1,1001.0,991.0,household_agent_0,86.0,455.0,986.0
8,,,67.0,1717.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,1769.0
9,,,67.0,1717.0,household_agent_1,1001.0,991.0,household_agent_0,83.0,455.0,1800.0
10,,,99.0,2270.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,2322.0
11,,,99.0,2270.0,household_agent_1,1001.0,991.0,household_agent_0,83.0,455.0,2353.0
12,,,33.0,900.0,household_agent_0,1000.0,991.0,household_agent_1,50.0,536.0,950.0
13,,,33.0,900.0,household_agent_0,1000.0,991.0,household_agent_1,84.0,455.0,984.0
14,,,34.0,900.0,household_agent_2,1002.0,991.0,household_agent_1,60.0,536.0,960.0
15,,,34.0,900.0,household_agent_2,1002.0,991.0,household_agent_1,95.0,455.0,995.0
16,,,65.0,1717.0,household_agent_0,1000.0,991.0,household_agent_1,52.0,536.0,1769.0
17,,,65.0,1717.0,household_agent_0,1000.0,991.0,household_agent_1,86.0,455.0,1803.0
18,,,66.0,1717.0,household_agent_2,1002.0,991.0,household_agent_1,68.0,536.0,1785.0
19,,,66.0,1717.0,household_agent_2,1002.0,991.0,household_agent_1,102.0,455.0,1819.0
20,,,97.0,2270.0,household_agent_0,1000.0,991.0,household_agent_1,52.0,536.0,2322.0
21,,,97.0,2270.0,household_agent_0,1000.0,991.0,household_agent_1,86.0,455.0,2356.0
22,,,98.0,2270.0,household_agent_2,1002.0,991.0,household_agent_1,68.0,536.0,2338.0
23,,,98.0,2270.0,household_agent_2,1002.0,991.0,household_agent_1,102.0,455.0,2372.0
24,,,31.0,900.0,household_agent_1,1001.0,991.0,household_agent_2,50.0,536.0,950.0
25,,,31.0,900.0,household_agent_1,1001.0,991.0,household_agent_2,85.0,455.0,985.0
26,,,32.0,900.0,household_agent_3,1003.0,991.0,household_agent_2,59.0,536.0,959.0
27,,,32.0,900.0,household_agent_3,1003.0,991.0,household_agent_2,96.0,455.0,996.0
28,,,63.0,1717.0,household_agent_1,1001.0,991.0,household_agent_2,53.0,536.0,1770.0
29,,,63.0,1717.0,household_agent_1,1001.0,991.0,household_agent_2,88.0,455.0,1805.0
30,,,64.0,1717.0,household_agent_3,1003.0,991.0,household_agent_2,58.0,536.0,1775.0
31,,,64.0,1717.0,household_agent_3,1003.0,991.0,household_agent_2,99.0,455.0,1816.0
32,,,95.0,2270.0,household_agent_1,1001.0,991.0,household_agent_2,50.0,536.0,2320.0
33,,,95.0,2270.0,household_agent_1,1001.0,991.0,household_agent_2,88.0,455.0,2358.0
