,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 00:55:32.760776,,,,,,,,,
1,Simulation configuration ID,3267ff2c-14cc-450d-93dc-d94d1567d1e0,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,90.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,110.0
1,,,0.0,90.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,124.0
2,,,1.0,183.0,household_agent_10,1010.0,991.0,aggregator_agent,13060.0,536.0,13243.0
3,,,1.0,183.0,household_agent_10,1010.0,991.0,aggregator_agent,13147.0,455.0,13330.0
4,,,6275.0,1140.0,control_center_agent,1017.0,991.0,aggregator_agent,46.0,536.0,1186.0
5,,,6275.0,1140.0,control_center_agent,1017.0,991.0,aggregator_agent,99.0,455.0,1239.0
6,,,34.0,218.0,household_agent_1,1001.0,991.0,household_agent_0,304.0,536.0,522.0
7,,,34.0,218.0,household_agent_1,1001.0,991.0,household_agent_0,554.0,455.0,772.0
8,,,35.0,218.0,household_agent_2,1002.0,991.0,household_agent_0,314.0,536.0,532.0
9,,,35.0,218.0,household_agent_2,1002.0,991.0,household_agent_0,480.0,455.0,698.0
10,,,36.0,218.0,household_agent_3,1003.0,991.0,household_agent_0,257.0,536.0,475.0
11,,,36.0,218.0,household_agent_3,1003.0,991.0,household_agent_0,754.0,455.0,972.0
12,,,37.0,218.0,household_agent_4,1004.0,991.0,household_agent_0,221.0,536.0,439.0
13,,,37.0,218.0,household_agent_4,1004.0,991.0,household_agent_0,493.0,455.0,711.0
14,,,38.0,218.0,household_agent_5,1005.0,991.0,household_agent_0,451.0,536.0,669.0
15,,,38.0,218.0,household_agent_5,1005.0,991.0,household_agent_0,681.0,455.0,899.0
16,,,39.0,218.0,household_agent_6,1006.0,991.0,household_agent_0,675.0,536.0,893.0
17,,,39.0,218.0,household_agent_6,1006.0,991.0,household_agent_0,890.0,455.0,1108.0
18,,,40.0,218.0,household_agent_7,1007.0,991.0,household_agent_0,1141.0,536.0,1359.0
19,,,40.0,218.0,household_agent_7,1007.0,991.0,household_agent_0,3592.0,455.0,3810.0
20,,,41.0,218.0,household_agent_8,1008.0,991.0,household_agent_0,4321.0,536.0,4539.0
21,,,41.0,218.0,household_agent_8,1008.0,991.0,household_agent_0,5018.0,536.0,5236.0
22,,,42.0,218.0,household_agent_9,1009.0,991.0,household_agent_0,4340.0,536.0,4558.0
23,,,42.0,218.0,household_agent_9,1009.0,991.0,household_agent_0,5448.0,536.0,5666.0
24,,,43.0,218.0,household_agent_10,1010.0,991.0,household_agent_0,211.0,536.0,429.0
25,,,43.0,218.0,household_agent_10,1010.0,991.0,household_agent_0,329.0,455.0,547.0
26,,,44.0,218.0,household_agent_11,1011.0,991.0,household_agent_0,5400.0,536.0,5618.0
27,,,44.0,218.0,household_agent_11,1011.0,991.0,household_agent_0,7213.0,536.0,7431.0
28,,,45.0,218.0,household_agent_12,1012.0,991.0,household_agent_0,5189.0,536.0,5407.0
29,,,45.0,218.0,household_agent_12,1012.0,991.0,household_agent_0,5581.0,536.0,5799.0
30,,,46.0,218.0,generation_agent_0,1013.0,991.0,household_agent_0,6143.0,536.0,6361.0
31,,,46.0,218.0,generation_agent_0,1013.0,991.0,household_agent_0,7416.0,536.0,7634.0
32,,,47.0,218.0,generation_agent_1,1014.0,991.0,household_agent_0,5543.0,536.0,5761.0
33,,,47.0,218.0,generation_agent_1,1014.0,991.0,household_agent_0,6112.0,536.0,6330.0
34,,,48.0,218.0,generation_agent_2,1015.0,991.0,household_agent_0,7279.0,536.0,7497.0
35,,,48.0,218.0,generation_agent_2,1015.0,991.0,household_agent_0,7624.0,536.0,7842.0
36,,,49.0,218.0,generation_agent_3,1016.0,991.0,household_agent_0,7643.0,536.0,7861.0
37,,,49.0,218.0,generation_agent_3,1016.0,991.0,household_agent_0,7849.0,536.0,8067.0
38,,,306.0,275.0,household_agent_1,1001.0,991.0,household_agent_0,258.0,536.0,533.0
39,,,306.0,275.0,household_agent_1,1001.0,991.0,household_agent_0,679.0,455.0,954.0
40,,,307.0,275.0,household_agent_2,1002.0,991.0,household_agent_0,392.0,536.0,667.0
41,,,307.0,275.0,household_agent_2,1002.0,991.0,household_agent_0,1089.0,536.0,1364.0
42,,,308.0,275.0,household_agent_3,1003.0,991.0,household_agent_0,629.0,536.0,904.0
43,,,308.0,275.0,household_agent_3,1003.0,991.0,household_agent_0,1002.0,455.0,1277.0
44,,,309.0,275.0,household_agent_4,1004.0,991.0,household_agent_0,301.0,536.0,576.0
45,,,309.0,275.0,household_agent_4,1004.0,991.0,household_agent_0,491.0,455.0,766.0
46,,,310.0,275.0,household_agent_5,1005.0,991.0,household_agent_0,569.0,536.0,844.0
47,,,310.0,275.0,household_agent_5,1005.0,991.0,household_agent_0,824.0,455.0,1099.0
48,,,311.0,275.0,household_agent_6,1006.0,991.0,household_agent_0,807.0,536.0,1082.0
49,,,311.0,275.0,household_agent_6,1006.0,991.0,household_agent_0,1107.0,455.0,1382.0
50,,,312.0,275.0,household_agent_7,1007.0,991.0,household_agent_0,3450.0,536.0,3725.0
51,,,312.0,275.0,household_agent_7,1007.0,991.0,household_agent_0,4008.0,455.0,4283.0
52,,,313.0,275.0,household_agent_8,1008.0,991.0,household_agent_0,4999.0,536.0,5274.0
53,,,313.0,275.0,household_agent_8,1008.0,991.0,household_agent_0,5552.0,536.0,5827.0
54,,,314.0,275.0,household_agent_9,1009.0,991.0,household_agent_0,5631.0,536.0,5906.0
55,,,314.0,275.0,household_agent_9,1009.0,991.0,household_agent_0,5634.0,536.0,5909.0
56,,,315.0,275.0,household_agent_10,1010.0,991.0,household_agent_0,1253.0,536.0,1528.0
57,,,315.0,275.0,household_agent_10,1010.0,991.0,household_agent_0,1843.0,536.0,2118.0
58,,,316.0,275.0,household_agent_11,1011.0,991.0,household_agent_0,7200.0,536.0,7475.0
59,,,316.0,275.0,household_agent_11,1011.0,991.0,household_agent_0,7966.0,536.0,8241.0
60,,,317.0,275.0,household_agent_12,1012.0,991.0,household_agent_0,5550.0,536.0,5825.0
61,,,317.0,275.0,household_agent_12,1012.0,991.0,household_agent_0,5954.0,536.0,6229.0
62,,,318.0,275.0,generation_agent_0,1013.0,991.0,household_agent_0,7387.0,536.0,7662.0
63,,,318.0,275.0,generation_agent_0,1013.0,991.0,household_agent_0,8336.0,536.0,8611.0
64,,,319.0,275.0,generation_agent_1,1014.0,991.0,household_agent_0,6108.0,536.0,6383.0
65,,,319.0,275.0,generation_agent_1,1014.0,991.0,household_agent_0,6717.0,536.0,6992.0
66,,,320.0,275.0,generation_agent_2,1015.0,991.0,household_agent_0,7594.0,536.0,7869.0
67,,,320.0,275.0,generation_agent_2,1015.0,991.0,household_agent_0,7884.0,536.0,8159.0
68,,,321.0,275.0,generation_agent_3,1016.0,991.0,household_agent_0,7799.0,536.0,8074.0
69,,,321.0,275.0,generation_agent_3,1016.0,991.0,household_agent_0,7937.0,536.0,8212.0
70,,,578.0,326.0,household_agent_1,1001.0,991.0,household_agent_0,530.0,536.0,856.0
71,,,578.0,326.0,household_agent_1,1001.0,991.0,household_agent_0,764.0,455.0,1090.0
72,,,579.0,326.0,household_agent_2,1002.0,991.0,household_agent_0,1093.0,536.0,1419.0
73,,,579.0,326.0,household_agent_2,1002.0,991.0,household_agent_0,2042.0,536.0,2368.0
74,,,580.0,326.0,household_agent_3,1003.0,991.0,household_agent_0,665.0,536.0,991.0
75,,,580.0,326.0,household_agent_3,1003.0,991.0,household_agent_0,974.0,455.0,1300.0
76,,,581.0,326.0,household_agent_4,1004.0,991.0,household_agent_0,423.0,536.0,749.0
77,,,581.0,326.0,household_agent_4,1004.0,991.0,household_agent_0,1209.0,455.0,1535.0
