,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 09:18:41.478837,,,,,,,,,
1,Simulation configuration ID,354c59a0-8268-4b14-b030-0f5dfc0fbf6f,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,33.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,52.0
1,,,1.0,139.0,household_agent_12,1012.0,191.0,aggregator_agent,47.0,191.0,186.0
2,,,35.0,23333.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,23384.0
3,,,33.0,23333.0,household_agent_0,1000.0,191.0,household_agent_1,48.0,191.0,23381.0
4,,,34.0,23333.0,household_agent_2,1002.0,191.0,household_agent_1,62.0,191.0,23395.0
5,,,31.0,23333.0,household_agent_1,1001.0,191.0,household_agent_2,55.0,191.0,23388.0
6,,,32.0,23333.0,household_agent_3,1003.0,191.0,household_agent_2,66.0,191.0,23399.0
7,,,29.0,23333.0,household_agent_2,1002.0,191.0,household_agent_3,50.0,191.0,23383.0
8,,,30.0,23333.0,household_agent_4,1004.0,191.0,household_agent_3,60.0,191.0,23393.0
9,,,27.0,23333.0,household_agent_3,1003.0,191.0,household_agent_4,47.0,191.0,23380.0
10,,,28.0,23333.0,household_agent_5,1005.0,191.0,household_agent_4,58.0,191.0,23391.0
11,,,25.0,23333.0,household_agent_4,1004.0,191.0,household_agent_5,51.0,191.0,23384.0
12,,,26.0,23333.0,household_agent_6,1006.0,191.0,household_agent_5,61.0,191.0,23394.0
13,,,23.0,23333.0,household_agent_5,1005.0,191.0,household_agent_6,71.0,191.0,23404.0
14,,,24.0,23333.0,household_agent_7,1007.0,191.0,household_agent_6,76.0,191.0,23409.0
15,,,21.0,23333.0,household_agent_6,1006.0,191.0,household_agent_7,65.0,191.0,23398.0
16,,,22.0,23333.0,household_agent_8,1008.0,191.0,household_agent_7,69.0,191.0,23402.0
17,,,18.0,23333.0,household_agent_7,1007.0,191.0,household_agent_8,54.0,191.0,23387.0
18,,,19.0,23333.0,household_agent_9,1009.0,191.0,household_agent_8,67.0,191.0,23400.0
19,,,14.0,23333.0,household_agent_8,1008.0,191.0,household_agent_9,52.0,191.0,23385.0
20,,,15.0,23333.0,household_agent_10,1010.0,191.0,household_agent_9,64.0,191.0,23397.0
21,,,10.0,23333.0,household_agent_9,1009.0,191.0,household_agent_10,49.0,191.0,23382.0
22,,,11.0,23333.0,household_agent_11,1011.0,191.0,household_agent_10,64.0,191.0,23397.0
23,,,6.0,23333.0,household_agent_10,1010.0,191.0,household_agent_11,68.0,191.0,23401.0
24,,,7.0,23333.0,household_agent_12,1012.0,191.0,household_agent_11,62.0,191.0,23395.0
25,,,2.0,6411.0,household_agent_11,1011.0,191.0,household_agent_12,47.0,191.0,6458.0
26,,,3.0,6411.0,generation_agent_0,1013.0,191.0,household_agent_12,58.0,191.0,6469.0
27,,,4.0,23333.0,household_agent_11,1011.0,191.0,household_agent_12,57.0,191.0,23390.0
28,,,5.0,23333.0,generation_agent_0,1013.0,191.0,household_agent_12,69.0,191.0,23402.0
29,,,8.0,23333.0,household_agent_12,1012.0,191.0,generation_agent_0,69.0,191.0,23402.0
30,,,9.0,23333.0,generation_agent_1,1014.0,191.0,generation_agent_0,75.0,191.0,23408.0
31,,,12.0,23333.0,generation_agent_0,1013.0,191.0,generation_agent_1,59.0,191.0,23392.0
32,,,13.0,23333.0,generation_agent_2,1015.0,191.0,generation_agent_1,70.0,191.0,23403.0
33,,,16.0,23333.0,generation_agent_1,1014.0,191.0,generation_agent_2,63.0,191.0,23396.0
34,,,17.0,23333.0,generation_agent_3,1016.0,191.0,generation_agent_2,72.0,191.0,23405.0
35,,,20.0,23333.0,generation_agent_2,1015.0,191.0,generation_agent_3,81.0,191.0,23414.0
