,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 12:53:48.725190,,,,,,,,,
1,Simulation configuration ID,370ed370-086d-4fc8-85a3-4aefdb53ed17,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,72.0,household_agent_1,1001.0,991.0,control_center_agent,19.0,536.0,91.0
1,,,0.0,72.0,household_agent_1,1001.0,991.0,control_center_agent,33.0,455.0,105.0
2,,,5.0,26773.0,household_agent_1,1001.0,991.0,household_agent_0,53.0,536.0,26826.0
3,,,5.0,26773.0,household_agent_1,1001.0,991.0,household_agent_0,85.0,455.0,26858.0
4,,,6.0,26773.0,household_agent_4,1004.0,991.0,household_agent_0,60.0,536.0,26833.0
5,,,6.0,26773.0,household_agent_4,1004.0,991.0,household_agent_0,112.0,455.0,26885.0
6,,,7.0,26773.0,generation_agent_1,1014.0,991.0,household_agent_0,69.0,536.0,26842.0
7,,,7.0,26773.0,generation_agent_1,1014.0,991.0,household_agent_0,123.0,455.0,26896.0
8,,,8.0,26773.0,generation_agent_3,1016.0,991.0,household_agent_0,91.0,536.0,26864.0
9,,,8.0,26773.0,generation_agent_3,1016.0,991.0,household_agent_0,134.0,455.0,26907.0
10,,,1.0,10788.0,household_agent_0,1000.0,991.0,household_agent_1,47.0,536.0,10835.0
11,,,1.0,10788.0,household_agent_0,1000.0,991.0,household_agent_1,81.0,455.0,10869.0
12,,,2.0,10788.0,household_agent_2,1002.0,991.0,household_agent_1,58.0,536.0,10846.0
13,,,2.0,10788.0,household_agent_2,1002.0,991.0,household_agent_1,92.0,455.0,10880.0
14,,,3.0,26773.0,household_agent_0,1000.0,991.0,household_agent_1,51.0,536.0,26824.0
15,,,3.0,26773.0,household_agent_0,1000.0,991.0,household_agent_1,84.0,455.0,26857.0
16,,,4.0,26773.0,household_agent_2,1002.0,991.0,household_agent_1,62.0,536.0,26835.0
17,,,4.0,26773.0,household_agent_2,1002.0,991.0,household_agent_1,96.0,455.0,26869.0
18,,,55.0,25319.0,control_center_agent,1017.0,991.0,household_agent_1,28.0,536.0,25347.0
19,,,55.0,25319.0,control_center_agent,1017.0,991.0,household_agent_1,48.0,455.0,25367.0
20,,,9.0,26773.0,household_agent_1,1001.0,991.0,household_agent_2,52.0,536.0,26825.0
21,,,9.0,26773.0,household_agent_1,1001.0,991.0,household_agent_2,87.0,455.0,26860.0
22,,,10.0,26773.0,household_agent_3,1003.0,991.0,household_agent_2,60.0,536.0,26833.0
23,,,10.0,26773.0,household_agent_3,1003.0,991.0,household_agent_2,98.0,455.0,26871.0
24,,,11.0,26773.0,household_agent_7,1007.0,991.0,household_agent_2,69.0,536.0,26842.0
25,,,11.0,26773.0,household_agent_7,1007.0,991.0,household_agent_2,116.0,455.0,26889.0
26,,,20.0,26773.0,household_agent_2,1002.0,991.0,household_agent_3,48.0,536.0,26821.0
27,,,20.0,26773.0,household_agent_2,1002.0,991.0,household_agent_3,80.0,455.0,26853.0
28,,,21.0,26773.0,household_agent_4,1004.0,991.0,household_agent_3,59.0,536.0,26832.0
29,,,21.0,26773.0,household_agent_4,1004.0,991.0,household_agent_3,91.0,455.0,26864.0
30,,,12.0,26773.0,household_agent_3,1003.0,991.0,household_agent_4,48.0,536.0,26821.0
