,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 19:52:10.372214,,,,,,,,,
1,Simulation configuration ID,39cfffdb-2227-484e-9f32-5719ce6eef93,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,20.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,39.0
1,,,1.0,140.0,household_agent_9,1009.0,191.0,aggregator_agent,47.0,191.0,187.0
2,,,35.0,14859.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,14909.0
3,,,67.0,26214.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,26262.0
4,,,33.0,14859.0,household_agent_0,1000.0,191.0,household_agent_1,51.0,191.0,14910.0
5,,,34.0,14859.0,household_agent_2,1002.0,191.0,household_agent_1,62.0,191.0,14921.0
6,,,65.0,26214.0,household_agent_0,1000.0,191.0,household_agent_1,47.0,191.0,26261.0
7,,,66.0,26214.0,household_agent_2,1002.0,191.0,household_agent_1,58.0,191.0,26272.0
8,,,30.0,14859.0,household_agent_1,1001.0,191.0,household_agent_2,53.0,191.0,14912.0
9,,,31.0,14859.0,household_agent_3,1003.0,191.0,household_agent_2,66.0,191.0,14925.0
10,,,62.0,26214.0,household_agent_1,1001.0,191.0,household_agent_2,53.0,191.0,26267.0
