,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 17:25:25.757974,,,,,,,,,
1,Simulation configuration ID,3eaf9d44-1131-409f-9e00-b3dacdc222ad,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,2.0,aggregator_agent,1019.0,991.0,control_center_agent,19.0,536.0,21.0
1,,,0.0,2.0,aggregator_agent,1019.0,991.0,control_center_agent,33.0,455.0,35.0
2,,,1.0,133.0,generation_agent_2,1015.0,991.0,aggregator_agent,125.0,536.0,258.0
3,,,1.0,133.0,generation_agent_2,1015.0,991.0,aggregator_agent,179.0,455.0,312.0
4,,,6779.0,5115.0,control_center_agent,1017.0,991.0,aggregator_agent,36.0,536.0,5151.0
5,,,6779.0,5115.0,control_center_agent,1017.0,991.0,aggregator_agent,56.0,455.0,5171.0
6,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,47.0,536.0,133.0
7,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,82.0,455.0,168.0
8,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,86.0,536.0,207.0
9,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,122.0,455.0,243.0
10,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,5738.0,536.0,5951.0
11,,,18.0,121.0,household_agent_1,1001.0,991.0,household_agent_2,5810.0,536.0,6023.0
12,,,19.0,121.0,household_agent_0,1000.0,991.0,household_agent_2,5308.0,536.0,5521.0
13,,,19.0,121.0,household_agent_0,1000.0,991.0,household_agent_2,5518.0,536.0,5731.0
14,,,19.0,121.0,household_agent_0,1000.0,991.0,household_agent_2,51.0,536.0,172.0
15,,,19.0,121.0,household_agent_0,1000.0,991.0,household_agent_2,102.0,455.0,223.0
16,,,20.0,121.0,household_agent_3,1003.0,991.0,household_agent_2,68.0,536.0,189.0
17,,,20.0,121.0,household_agent_3,1003.0,991.0,household_agent_2,106.0,455.0,227.0
18,,,21.0,121.0,household_agent_4,1004.0,991.0,household_agent_2,188.0,536.0,309.0
19,,,21.0,121.0,household_agent_4,1004.0,991.0,household_agent_2,250.0,455.0,371.0
20,,,21.0,121.0,household_agent_4,1004.0,991.0,household_agent_2,5259.0,536.0,5494.0
21,,,21.0,121.0,household_agent_4,1004.0,991.0,household_agent_2,5293.0,536.0,5528.0
22,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,5217.0,536.0,5342.0
23,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,5353.0,374.0,5478.0
24,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,2207.0,536.0,2328.0
25,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,2625.0,455.0,2746.0
26,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,5670.0,536.0,5883.0
27,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,5704.0,536.0,5917.0
28,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,63.0,536.0,298.0
29,,,22.0,121.0,generation_agent_0,1013.0,991.0,household_agent_2,97.0,536.0,332.0
30,,,23.0,121.0,generation_agent_1,1014.0,991.0,household_agent_2,476.0,536.0,689.0
31,,,23.0,121.0,generation_agent_1,1014.0,991.0,household_agent_2,2470.0,536.0,2683.0
32,,,23.0,121.0,generation_agent_1,1014.0,991.0,household_agent_2,5269.0,536.0,5390.0
33,,,23.0,121.0,generation_agent_1,1014.0,991.0,household_agent_2,5304.0,455.0,5425.0
34,,,24.0,121.0,generation_agent_2,1015.0,991.0,household_agent_2,332.0,536.0,545.0
35,,,24.0,121.0,generation_agent_2,1015.0,991.0,household_agent_2,496.0,455.0,709.0
36,,,24.0,121.0,generation_agent_2,1015.0,991.0,household_agent_2,5539.0,536.0,5660.0
37,,,24.0,121.0,generation_agent_2,1015.0,991.0,household_agent_2,5568.0,455.0,5689.0
38,,,25.0,121.0,generation_agent_3,1016.0,991.0,household_agent_2,408.0,536.0,621.0
39,,,25.0,121.0,generation_agent_3,1016.0,991.0,household_agent_2,495.0,455.0,708.0
40,,,25.0,121.0,generation_agent_3,1016.0,991.0,household_agent_2,6075.0,536.0,6196.0
41,,,25.0,121.0,generation_agent_3,1016.0,991.0,household_agent_2,6298.0,536.0,6419.0
42,,,90.0,203.0,household_agent_1,1001.0,991.0,household_agent_2,68.0,536.0,271.0
43,,,90.0,203.0,household_agent_1,1001.0,991.0,household_agent_2,111.0,455.0,314.0
44,,,90.0,203.0,household_agent_1,1001.0,991.0,household_agent_2,5761.0,536.0,6023.0
45,,,90.0,203.0,household_agent_1,1001.0,991.0,household_agent_2,5791.0,536.0,6053.0
46,,,91.0,203.0,household_agent_0,1000.0,991.0,household_agent_2,5469.0,536.0,5731.0
47,,,91.0,203.0,household_agent_0,1000.0,991.0,household_agent_2,5521.0,536.0,5783.0
48,,,91.0,203.0,household_agent_0,1000.0,991.0,household_agent_2,46.0,536.0,249.0
49,,,91.0,203.0,household_agent_0,1000.0,991.0,household_agent_2,79.0,455.0,282.0
50,,,92.0,203.0,household_agent_3,1003.0,991.0,household_agent_2,79.0,536.0,282.0
51,,,92.0,203.0,household_agent_3,1003.0,991.0,household_agent_2,112.0,455.0,315.0
52,,,93.0,203.0,household_agent_4,1004.0,991.0,household_agent_2,5685.0,536.0,5949.0
53,,,93.0,203.0,household_agent_4,1004.0,991.0,household_agent_2,5749.0,536.0,6013.0
54,,,93.0,203.0,household_agent_4,1004.0,991.0,household_agent_2,178.0,536.0,381.0
55,,,93.0,203.0,household_agent_4,1004.0,991.0,household_agent_2,233.0,536.0,436.0
