,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 08:30:53.631625,,,,,,,,,
1,Simulation configuration ID,3fb0e630-aa6d-4e70-a8d3-9edbc7651833,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,96.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,115.0
1,,,1.0,234.0,generation_agent_2,1015.0,191.0,aggregator_agent,47.0,191.0,281.0
2,,,57.0,2125.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,2153.0
3,,,38.0,1119.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,1167.0
4,,,39.0,1119.0,generation_agent_0,1013.0,191.0,household_agent_0,64.0,191.0,1183.0
5,,,40.0,1119.0,generation_agent_3,1016.0,191.0,household_agent_0,69.0,191.0,1188.0
6,,,41.0,1119.0,household_agent_0,1000.0,191.0,household_agent_1,47.0,191.0,1166.0
7,,,42.0,1119.0,household_agent_2,1002.0,191.0,household_agent_1,59.0,191.0,1178.0
8,,,24.0,1119.0,household_agent_1,1001.0,191.0,household_agent_2,50.0,191.0,1169.0
9,,,25.0,1119.0,household_agent_3,1003.0,191.0,household_agent_2,61.0,191.0,1180.0
10,,,26.0,1119.0,generation_agent_1,1014.0,191.0,household_agent_2,79.0,191.0,1198.0
11,,,10.0,1119.0,household_agent_2,1002.0,191.0,household_agent_3,61.0,191.0,1180.0
12,,,11.0,1119.0,household_agent_4,1004.0,191.0,household_agent_3,73.0,191.0,1192.0
13,,,12.0,1119.0,generation_agent_2,1015.0,191.0,household_agent_3,49.0,191.0,1168.0
14,,,13.0,1119.0,generation_agent_3,1016.0,191.0,household_agent_3,89.0,191.0,1208.0
15,,,27.0,1119.0,household_agent_3,1003.0,191.0,household_agent_4,41.0,191.0,1160.0
16,,,28.0,1119.0,household_agent_5,1005.0,191.0,household_agent_4,53.0,191.0,1172.0
17,,,43.0,1119.0,household_agent_4,1004.0,191.0,household_agent_5,50.0,191.0,1169.0
18,,,44.0,1119.0,household_agent_6,1006.0,191.0,household_agent_5,63.0,191.0,1182.0
19,,,45.0,1119.0,household_agent_7,1007.0,191.0,household_agent_5,71.0,191.0,1190.0
20,,,50.0,1119.0,household_agent_5,1005.0,191.0,household_agent_6,76.0,191.0,1195.0
21,,,51.0,1119.0,household_agent_7,1007.0,191.0,household_agent_6,56.0,191.0,1175.0
22,,,52.0,1119.0,generation_agent_0,1013.0,191.0,household_agent_6,87.0,191.0,1206.0
23,,,53.0,1119.0,household_agent_6,1006.0,191.0,household_agent_7,59.0,191.0,1178.0
24,,,54.0,1119.0,household_agent_8,1008.0,191.0,household_agent_7,70.0,191.0,1189.0
25,,,55.0,1119.0,household_agent_5,1005.0,191.0,household_agent_7,81.0,191.0,1200.0
26,,,46.0,1119.0,household_agent_7,1007.0,191.0,household_agent_8,54.0,191.0,1173.0
27,,,47.0,1119.0,household_agent_9,1009.0,191.0,household_agent_8,68.0,191.0,1187.0
28,,,29.0,1119.0,household_agent_8,1008.0,191.0,household_agent_9,56.0,191.0,1175.0
29,,,30.0,1119.0,household_agent_10,1010.0,191.0,household_agent_9,67.0,191.0,1186.0
30,,,31.0,1119.0,generation_agent_1,1014.0,191.0,household_agent_9,81.0,191.0,1200.0
31,,,14.0,1119.0,household_agent_9,1009.0,191.0,household_agent_10,77.0,191.0,1196.0
32,,,15.0,1119.0,household_agent_11,1011.0,191.0,household_agent_10,88.0,191.0,1207.0
33,,,16.0,1119.0,generation_agent_2,1015.0,191.0,household_agent_10,55.0,191.0,1174.0
34,,,32.0,1119.0,household_agent_10,1010.0,191.0,household_agent_11,65.0,191.0,1184.0
35,,,33.0,1119.0,household_agent_12,1012.0,191.0,household_agent_11,74.0,191.0,1193.0
36,,,48.0,1119.0,household_agent_11,1011.0,191.0,household_agent_12,62.0,191.0,1181.0
37,,,49.0,1119.0,generation_agent_0,1013.0,191.0,household_agent_12,73.0,191.0,1192.0
38,,,34.0,1119.0,household_agent_6,1006.0,191.0,generation_agent_0,68.0,191.0,1187.0
39,,,35.0,1119.0,household_agent_12,1012.0,191.0,generation_agent_0,78.0,191.0,1197.0
40,,,36.0,1119.0,generation_agent_1,1014.0,191.0,generation_agent_0,89.0,191.0,1208.0
41,,,37.0,1119.0,household_agent_0,1000.0,191.0,generation_agent_0,100.0,191.0,1219.0
42,,,17.0,1119.0,household_agent_2,1002.0,191.0,generation_agent_1,72.0,191.0,1191.0
43,,,18.0,1119.0,household_agent_9,1009.0,191.0,generation_agent_1,90.0,191.0,1209.0
44,,,19.0,1119.0,generation_agent_0,1013.0,191.0,generation_agent_1,104.0,191.0,1223.0
45,,,20.0,1119.0,generation_agent_2,1015.0,191.0,generation_agent_1,60.0,191.0,1179.0
46,,,2.0,324.0,household_agent_3,1003.0,191.0,generation_agent_2,47.0,191.0,371.0
47,,,3.0,324.0,household_agent_10,1010.0,191.0,generation_agent_2,58.0,191.0,382.0
48,,,4.0,324.0,generation_agent_1,1014.0,191.0,generation_agent_2,69.0,191.0,393.0
49,,,5.0,324.0,generation_agent_3,1016.0,191.0,generation_agent_2,80.0,191.0,404.0
50,,,6.0,1119.0,household_agent_3,1003.0,191.0,generation_agent_2,69.0,191.0,1188.0
51,,,7.0,1119.0,household_agent_10,1010.0,191.0,generation_agent_2,80.0,191.0,1199.0
52,,,8.0,1119.0,generation_agent_1,1014.0,191.0,generation_agent_2,90.0,191.0,1209.0
53,,,9.0,1119.0,generation_agent_3,1016.0,191.0,generation_agent_2,101.0,191.0,1220.0
54,,,56.0,1128.0,aggregator_agent,1019.0,191.0,generation_agent_2,48.0,191.0,1176.0
55,,,21.0,1119.0,generation_agent_2,1015.0,191.0,generation_agent_3,66.0,191.0,1185.0
56,,,22.0,1119.0,household_agent_0,1000.0,191.0,generation_agent_3,79.0,191.0,1198.0
57,,,23.0,1119.0,household_agent_3,1003.0,191.0,generation_agent_3,97.0,191.0,1216.0
