,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 18:26:48.550953,,,,,,,,,
1,Simulation configuration ID,4147ca12-a702-40ce-bcb4-adcb652f492c,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,18.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,38.0
1,,,0.0,18.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,52.0
2,,,1.0,102.0,generation_agent_1,1014.0,991.0,aggregator_agent,49.0,536.0,151.0
3,,,1.0,102.0,generation_agent_1,1014.0,991.0,aggregator_agent,83.0,455.0,185.0
4,,,240.0,6213.0,control_center_agent,1017.0,991.0,aggregator_agent,29.0,536.0,6242.0
5,,,240.0,6213.0,control_center_agent,1017.0,991.0,aggregator_agent,49.0,455.0,6262.0
6,,,22.0,840.0,household_agent_9,1009.0,991.0,household_agent_4,49.0,536.0,889.0
7,,,22.0,840.0,household_agent_9,1009.0,991.0,household_agent_4,84.0,455.0,924.0
8,,,23.0,840.0,generation_agent_2,1015.0,991.0,household_agent_4,60.0,536.0,900.0
9,,,23.0,840.0,generation_agent_2,1015.0,991.0,household_agent_4,95.0,455.0,935.0
10,,,24.0,840.0,generation_agent_3,1016.0,991.0,household_agent_4,59.0,536.0,318.0
11,,,24.0,840.0,generation_agent_3,1016.0,991.0,household_agent_4,92.0,455.0,351.0
12,,,24.0,840.0,generation_agent_3,1016.0,991.0,household_agent_4,77.0,536.0,917.0
13,,,24.0,840.0,generation_agent_3,1016.0,991.0,household_agent_4,118.0,455.0,958.0
14,,,48.0,1059.0,household_agent_9,1009.0,991.0,household_agent_4,46.0,536.0,1105.0
15,,,48.0,1059.0,household_agent_9,1009.0,991.0,household_agent_4,80.0,455.0,1139.0
16,,,48.0,1059.0,household_agent_9,1009.0,991.0,household_agent_4,223.0,536.0,690.0
17,,,48.0,1059.0,household_agent_9,1009.0,991.0,household_agent_4,258.0,455.0,725.0
18,,,49.0,1059.0,generation_agent_2,1015.0,991.0,household_agent_4,58.0,536.0,1117.0
19,,,49.0,1059.0,generation_agent_2,1015.0,991.0,household_agent_4,102.0,455.0,1161.0
20,,,49.0,1059.0,generation_agent_2,1015.0,991.0,household_agent_4,235.0,536.0,702.0
21,,,49.0,1059.0,generation_agent_2,1015.0,991.0,household_agent_4,270.0,455.0,737.0
22,,,50.0,1059.0,generation_agent_3,1016.0,991.0,household_agent_4,59.0,536.0,588.0
23,,,50.0,1059.0,generation_agent_3,1016.0,991.0,household_agent_4,93.0,455.0,622.0
24,,,50.0,1059.0,generation_agent_3,1016.0,991.0,household_agent_4,84.0,536.0,1143.0
25,,,50.0,1059.0,generation_agent_3,1016.0,991.0,household_agent_4,124.0,455.0,1183.0
26,,,74.0,1905.0,household_agent_9,1009.0,991.0,household_agent_4,57.0,536.0,1962.0
27,,,74.0,1905.0,household_agent_9,1009.0,991.0,household_agent_4,90.0,455.0,1995.0
28,,,75.0,1905.0,generation_agent_2,1015.0,991.0,household_agent_4,61.0,536.0,2190.0
29,,,75.0,1905.0,generation_agent_2,1015.0,991.0,household_agent_4,96.0,455.0,2225.0
30,,,75.0,1905.0,generation_agent_2,1015.0,991.0,household_agent_4,76.0,536.0,1981.0
31,,,75.0,1905.0,generation_agent_2,1015.0,991.0,household_agent_4,118.0,455.0,2023.0
32,,,76.0,1905.0,generation_agent_3,1016.0,991.0,household_agent_4,59.0,536.0,1009.0
33,,,76.0,1905.0,generation_agent_3,1016.0,991.0,household_agent_4,91.0,455.0,1041.0
34,,,76.0,1905.0,generation_agent_3,1016.0,991.0,household_agent_4,84.0,536.0,1989.0
35,,,76.0,1905.0,generation_agent_3,1016.0,991.0,household_agent_4,127.0,455.0,2032.0
36,,,100.0,2655.0,household_agent_9,1009.0,991.0,household_agent_4,48.0,536.0,2703.0
37,,,100.0,2655.0,household_agent_9,1009.0,991.0,household_agent_4,73.0,455.0,2728.0
38,,,101.0,2655.0,generation_agent_2,1015.0,991.0,household_agent_4,66.0,536.0,2721.0
39,,,101.0,2655.0,generation_agent_2,1015.0,991.0,household_agent_4,99.0,455.0,2754.0
40,,,102.0,2655.0,generation_agent_3,1016.0,991.0,household_agent_4,61.0,536.0,1757.0
41,,,102.0,2655.0,generation_agent_3,1016.0,991.0,household_agent_4,93.0,455.0,1789.0
42,,,102.0,2655.0,generation_agent_3,1016.0,991.0,household_agent_4,83.0,536.0,2738.0
43,,,102.0,2655.0,generation_agent_3,1016.0,991.0,household_agent_4,127.0,455.0,2782.0
44,,,126.0,3478.0,household_agent_9,1009.0,991.0,household_agent_4,48.0,536.0,3526.0
45,,,126.0,3478.0,household_agent_9,1009.0,991.0,household_agent_4,96.0,455.0,3574.0
46,,,127.0,3478.0,generation_agent_2,1015.0,991.0,household_agent_4,70.0,536.0,3548.0
47,,,127.0,3478.0,generation_agent_2,1015.0,991.0,household_agent_4,107.0,455.0,3585.0
48,,,128.0,3478.0,generation_agent_3,1016.0,991.0,household_agent_4,72.0,536.0,3550.0
49,,,128.0,3478.0,generation_agent_3,1016.0,991.0,household_agent_4,118.0,455.0,3596.0
50,,,152.0,4325.0,household_agent_9,1009.0,991.0,household_agent_4,47.0,536.0,4372.0
51,,,152.0,4325.0,household_agent_9,1009.0,991.0,household_agent_4,79.0,455.0,4404.0
