,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 00:22:12.111002,,,,,,,,,
1,Simulation configuration ID,419a0def-b4db-42e6-968e-db8c3334300b,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,10.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,30.0
1,,,0.0,10.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,44.0
2,,,1.0,133.0,household_agent_8,1008.0,991.0,aggregator_agent,135.0,536.0,268.0
3,,,1.0,133.0,household_agent_8,1008.0,991.0,aggregator_agent,207.0,455.0,340.0
4,,,4999.0,5175.0,control_center_agent,1017.0,991.0,aggregator_agent,63.0,536.0,5238.0
5,,,4999.0,5175.0,control_center_agent,1017.0,991.0,aggregator_agent,101.0,455.0,5276.0
6,,,45.0,132.0,household_agent_1,1001.0,991.0,household_agent_0,49.0,536.0,181.0
7,,,45.0,132.0,household_agent_1,1001.0,991.0,household_agent_0,95.0,455.0,227.0
8,,,46.0,132.0,generation_agent_3,1016.0,991.0,household_agent_0,129.0,536.0,261.0
9,,,46.0,132.0,generation_agent_3,1016.0,991.0,household_agent_0,200.0,455.0,332.0
10,,,97.0,187.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,239.0
11,,,97.0,187.0,household_agent_1,1001.0,991.0,household_agent_0,210.0,455.0,397.0
12,,,98.0,187.0,generation_agent_3,1016.0,991.0,household_agent_0,214.0,536.0,401.0
13,,,98.0,187.0,generation_agent_3,1016.0,991.0,household_agent_0,304.0,455.0,491.0
14,,,149.0,245.0,household_agent_1,1001.0,991.0,household_agent_0,271.0,536.0,516.0
15,,,149.0,245.0,household_agent_1,1001.0,991.0,household_agent_0,344.0,455.0,589.0
16,,,150.0,245.0,generation_agent_3,1016.0,991.0,household_agent_0,202.0,536.0,447.0
17,,,150.0,245.0,generation_agent_3,1016.0,991.0,household_agent_0,393.0,536.0,638.0
18,,,201.0,345.0,household_agent_1,1001.0,991.0,household_agent_0,177.0,536.0,522.0
19,,,201.0,345.0,household_agent_1,1001.0,991.0,household_agent_0,260.0,536.0,605.0
20,,,202.0,345.0,generation_agent_3,1016.0,991.0,household_agent_0,294.0,536.0,639.0
21,,,202.0,345.0,generation_agent_3,1016.0,991.0,household_agent_0,415.0,374.0,760.0
22,,,253.0,409.0,household_agent_1,1001.0,991.0,household_agent_0,199.0,536.0,608.0
23,,,253.0,409.0,household_agent_1,1001.0,991.0,household_agent_0,265.0,374.0,674.0
24,,,254.0,409.0,generation_agent_3,1016.0,991.0,household_agent_0,342.0,536.0,751.0
25,,,254.0,409.0,generation_agent_3,1016.0,991.0,household_agent_0,394.0,536.0,803.0
26,,,305.0,501.0,household_agent_1,1001.0,991.0,household_agent_0,144.0,536.0,645.0
27,,,305.0,501.0,household_agent_1,1001.0,991.0,household_agent_0,233.0,536.0,734.0
28,,,306.0,501.0,generation_agent_3,1016.0,991.0,household_agent_0,316.0,536.0,817.0
29,,,306.0,501.0,generation_agent_3,1016.0,991.0,household_agent_0,422.0,536.0,923.0
30,,,357.0,527.0,household_agent_1,1001.0,991.0,household_agent_0,220.0,536.0,747.0
31,,,357.0,527.0,household_agent_1,1001.0,991.0,household_agent_0,295.0,374.0,822.0
32,,,358.0,527.0,generation_agent_3,1016.0,991.0,household_agent_0,402.0,536.0,929.0
33,,,358.0,527.0,generation_agent_3,1016.0,991.0,household_agent_0,404.0,536.0,931.0
34,,,409.0,598.0,household_agent_1,1001.0,991.0,household_agent_0,223.0,536.0,821.0
35,,,409.0,598.0,household_agent_1,1001.0,991.0,household_agent_0,330.0,455.0,928.0
36,,,410.0,598.0,generation_agent_3,1016.0,991.0,household_agent_0,337.0,536.0,935.0
37,,,410.0,598.0,generation_agent_3,1016.0,991.0,household_agent_0,474.0,212.0,1072.0
38,,,461.0,666.0,household_agent_1,1001.0,991.0,household_agent_0,247.0,536.0,913.0
39,,,461.0,666.0,household_agent_1,1001.0,991.0,household_agent_0,459.0,536.0,1125.0
40,,,462.0,666.0,generation_agent_3,1016.0,991.0,household_agent_0,251.0,536.0,917.0
41,,,462.0,666.0,generation_agent_3,1016.0,991.0,household_agent_0,343.0,455.0,1009.0
42,,,513.0,741.0,household_agent_1,1001.0,991.0,household_agent_0,406.0,536.0,1147.0
43,,,513.0,741.0,household_agent_1,1001.0,991.0,household_agent_0,543.0,536.0,1284.0
44,,,514.0,741.0,generation_agent_3,1016.0,991.0,household_agent_0,216.0,536.0,957.0
45,,,514.0,741.0,generation_agent_3,1016.0,991.0,household_agent_0,375.0,536.0,1116.0
46,,,565.0,750.0,household_agent_1,1001.0,991.0,household_agent_0,537.0,536.0,1287.0
47,,,565.0,750.0,household_agent_1,1001.0,991.0,household_agent_0,717.0,293.0,1467.0
48,,,566.0,750.0,generation_agent_3,1016.0,991.0,household_agent_0,380.0,536.0,1130.0
49,,,566.0,750.0,generation_agent_3,1016.0,991.0,household_agent_0,553.0,536.0,1303.0
50,,,617.0,790.0,household_agent_1,1001.0,991.0,household_agent_0,287.0,536.0,1077.0
51,,,617.0,790.0,household_agent_1,1001.0,991.0,household_agent_0,394.0,455.0,1184.0
52,,,618.0,790.0,generation_agent_3,1016.0,991.0,household_agent_0,517.0,536.0,1307.0
53,,,618.0,790.0,generation_agent_3,1016.0,991.0,household_agent_0,720.0,293.0,1510.0
54,,,669.0,835.0,household_agent_1,1001.0,991.0,household_agent_0,340.0,536.0,1175.0
55,,,669.0,835.0,household_agent_1,1001.0,991.0,household_agent_0,571.0,455.0,1406.0
56,,,670.0,835.0,generation_agent_3,1016.0,991.0,household_agent_0,246.0,536.0,1081.0
57,,,670.0,835.0,generation_agent_3,1016.0,991.0,household_agent_0,459.0,455.0,1294.0
58,,,721.0,907.0,household_agent_1,1001.0,991.0,household_agent_0,413.0,536.0,1320.0
59,,,721.0,907.0,household_agent_1,1001.0,991.0,household_agent_0,673.0,536.0,1580.0
60,,,722.0,907.0,generation_agent_3,1016.0,991.0,household_agent_0,386.0,536.0,1293.0
61,,,722.0,907.0,generation_agent_3,1016.0,991.0,household_agent_0,540.0,536.0,1447.0
62,,,773.0,910.0,household_agent_1,1001.0,991.0,household_agent_0,684.0,536.0,1594.0
63,,,773.0,910.0,household_agent_1,1001.0,991.0,household_agent_0,773.0,536.0,1683.0
64,,,774.0,910.0,generation_agent_3,1016.0,991.0,household_agent_0,558.0,536.0,1468.0
65,,,774.0,910.0,generation_agent_3,1016.0,991.0,household_agent_0,675.0,374.0,1585.0
66,,,825.0,927.0,household_agent_1,1001.0,991.0,household_agent_0,770.0,536.0,1697.0
67,,,825.0,927.0,household_agent_1,1001.0,991.0,household_agent_0,784.0,536.0,1711.0
68,,,826.0,927.0,generation_agent_3,1016.0,991.0,household_agent_0,390.0,536.0,1317.0
69,,,826.0,927.0,generation_agent_3,1016.0,991.0,household_agent_0,617.0,536.0,1544.0
70,,,877.0,956.0,household_agent_1,1001.0,991.0,household_agent_0,769.0,536.0,1725.0
71,,,877.0,956.0,household_agent_1,1001.0,991.0,household_agent_0,1069.0,536.0,2025.0
72,,,878.0,956.0,generation_agent_3,1016.0,991.0,household_agent_0,610.0,536.0,1566.0
73,,,878.0,956.0,generation_agent_3,1016.0,991.0,household_agent_0,705.0,374.0,1661.0
74,,,929.0,1035.0,household_agent_1,1001.0,991.0,household_agent_0,996.0,536.0,2031.0
75,,,929.0,1035.0,household_agent_1,1001.0,991.0,household_agent_0,1234.0,131.0,2269.0
76,,,930.0,1035.0,generation_agent_3,1016.0,991.0,household_agent_0,295.0,536.0,1330.0
77,,,930.0,1035.0,generation_agent_3,1016.0,991.0,household_agent_0,535.0,455.0,1570.0
78,,,981.0,1106.0,household_agent_1,1001.0,991.0,household_agent_0,389.0,536.0,1495.0
79,,,981.0,1106.0,household_agent_1,1001.0,991.0,household_agent_0,574.0,455.0,1680.0
80,,,982.0,1106.0,generation_agent_3,1016.0,991.0,household_agent_0,365.0,536.0,1471.0
81,,,982.0,1106.0,generation_agent_3,1016.0,991.0,household_agent_0,491.0,536.0,1597.0
82,,,1033.0,1150.0,household_agent_1,1001.0,991.0,household_agent_0,485.0,536.0,1635.0
83,,,1033.0,1150.0,household_agent_1,1001.0,991.0,household_agent_0,791.0,455.0,1941.0
84,,,1034.0,1150.0,generation_agent_3,1016.0,991.0,household_agent_0,456.0,536.0,1606.0
85,,,1034.0,1150.0,generation_agent_3,1016.0,991.0,household_agent_0,620.0,374.0,1770.0
86,,,1085.0,1193.0,household_agent_1,1001.0,991.0,household_agent_0,470.0,536.0,1663.0
87,,,1085.0,1193.0,household_agent_1,1001.0,991.0,household_agent_0,778.0,536.0,1971.0
88,,,1086.0,1193.0,generation_agent_3,1016.0,991.0,household_agent_0,396.0,536.0,1589.0
89,,,1086.0,1193.0,generation_agent_3,1016.0,991.0,household_agent_0,568.0,536.0,1761.0
90,,,1137.0,1263.0,household_agent_1,1001.0,991.0,household_agent_0,756.0,536.0,2019.0
91,,,1137.0,1263.0,household_agent_1,1001.0,991.0,household_agent_0,937.0,374.0,2200.0
92,,,1138.0,1263.0,generation_agent_3,1016.0,991.0,household_agent_0,504.0,536.0,1767.0
93,,,1138.0,1263.0,generation_agent_3,1016.0,991.0,household_agent_0,794.0,374.0,2057.0
94,,,1189.0,1363.0,household_agent_1,1001.0,991.0,household_agent_0,467.0,536.0,1830.0
95,,,1189.0,1363.0,household_agent_1,1001.0,991.0,household_agent_0,784.0,536.0,2147.0
96,,,1190.0,1363.0,generation_agent_3,1016.0,991.0,household_agent_0,379.0,536.0,1742.0
97,,,1190.0,1363.0,generation_agent_3,1016.0,991.0,household_agent_0,534.0,536.0,1897.0
98,,,1241.0,1372.0,household_agent_1,1001.0,991.0,household_agent_0,813.0,536.0,2185.0
99,,,1241.0,1372.0,household_agent_1,1001.0,991.0,household_agent_0,1003.0,536.0,2375.0
100,,,1242.0,1372.0,generation_agent_3,1016.0,991.0,household_agent_0,527.0,536.0,1899.0
101,,,1242.0,1372.0,generation_agent_3,1016.0,991.0,household_agent_0,768.0,536.0,2140.0
102,,,1293.0,1392.0,household_agent_1,1001.0,991.0,household_agent_0,1029.0,536.0,2421.0
103,,,1293.0,1392.0,household_agent_1,1001.0,991.0,household_agent_0,1274.0,293.0,2666.0
104,,,1294.0,1392.0,generation_agent_3,1016.0,991.0,household_agent_0,803.0,536.0,2195.0
105,,,1294.0,1392.0,generation_agent_3,1016.0,991.0,household_agent_0,1147.0,293.0,2539.0
106,,,1345.0,1476.0,household_agent_1,1001.0,991.0,household_agent_0,653.0,536.0,2129.0
107,,,1345.0,1476.0,household_agent_1,1001.0,991.0,household_agent_0,836.0,455.0,2312.0
108,,,1346.0,1476.0,generation_agent_3,1016.0,991.0,household_agent_0,298.0,536.0,1774.0
109,,,1346.0,1476.0,generation_agent_3,1016.0,991.0,household_agent_0,605.0,455.0,2081.0
110,,,1397.0,1560.0,household_agent_1,1001.0,991.0,household_agent_0,657.0,536.0,2217.0
111,,,1397.0,1560.0,household_agent_1,1001.0,991.0,household_agent_0,973.0,536.0,2533.0
112,,,1398.0,1560.0,generation_agent_3,1016.0,991.0,household_agent_0,344.0,536.0,1904.0
113,,,1398.0,1560.0,generation_agent_3,1016.0,991.0,household_agent_0,668.0,455.0,2228.0
114,,,1449.0,1658.0,household_agent_1,1001.0,991.0,household_agent_0,909.0,536.0,2567.0
115,,,1449.0,1658.0,household_agent_1,1001.0,991.0,household_agent_0,1143.0,536.0,2801.0
116,,,1450.0,1658.0,generation_agent_3,1016.0,991.0,household_agent_0,568.0,536.0,2226.0
117,,,1450.0,1658.0,generation_agent_3,1016.0,991.0,household_agent_0,896.0,455.0,2554.0
118,,,1501.0,1753.0,household_agent_1,1001.0,991.0,household_agent_0,1070.0,536.0,2823.0
119,,,1501.0,1753.0,household_agent_1,1001.0,991.0,household_agent_0,1295.0,293.0,3048.0
120,,,1502.0,1753.0,generation_agent_3,1016.0,991.0,household_agent_0,657.0,536.0,2410.0
121,,,1502.0,1753.0,generation_agent_3,1016.0,991.0,household_agent_0,1024.0,536.0,2777.0
122,,,1553.0,1774.0,household_agent_1,1001.0,991.0,household_agent_0,599.0,536.0,2373.0
123,,,1553.0,1774.0,household_agent_1,1001.0,991.0,household_agent_0,874.0,455.0,2648.0
124,,,1554.0,1774.0,generation_agent_3,1016.0,991.0,household_agent_0,1008.0,536.0,2782.0
125,,,1554.0,1774.0,generation_agent_3,1016.0,991.0,household_agent_0,1332.0,536.0,3106.0
126,,,1605.0,1855.0,household_agent_1,1001.0,991.0,household_agent_0,581.0,536.0,2436.0
127,,,1605.0,1855.0,household_agent_1,1001.0,991.0,household_agent_0,847.0,536.0,2702.0
128,,,1606.0,1855.0,generation_agent_3,1016.0,991.0,household_agent_0,1262.0,536.0,3117.0
129,,,1606.0,1855.0,generation_agent_3,1016.0,991.0,household_agent_0,1484.0,293.0,3339.0
130,,,1657.0,1894.0,household_agent_1,1001.0,991.0,household_agent_0,816.0,536.0,2710.0
131,,,1657.0,1894.0,household_agent_1,1001.0,991.0,household_agent_0,1092.0,536.0,2986.0
132,,,1658.0,1894.0,generation_agent_3,1016.0,991.0,household_agent_0,668.0,536.0,2562.0
133,,,1658.0,1894.0,generation_agent_3,1016.0,991.0,household_agent_0,949.0,455.0,2843.0
134,,,1709.0,1909.0,household_agent_1,1001.0,991.0,household_agent_0,1084.0,536.0,2993.0
135,,,1709.0,1909.0,household_agent_1,1001.0,991.0,household_agent_0,1561.0,293.0,3470.0
136,,,1710.0,1909.0,generation_agent_3,1016.0,991.0,household_agent_0,700.0,536.0,2609.0
137,,,1710.0,1909.0,generation_agent_3,1016.0,991.0,household_agent_0,1116.0,536.0,3025.0
138,,,1761.0,1944.0,household_agent_1,1001.0,991.0,household_agent_0,545.0,536.0,2489.0
139,,,1761.0,1944.0,household_agent_1,1001.0,991.0,household_agent_0,820.0,455.0,2764.0
140,,,1762.0,1944.0,generation_agent_3,1016.0,991.0,household_agent_0,1085.0,536.0,3029.0
141,,,1762.0,1944.0,generation_agent_3,1016.0,991.0,household_agent_0,1261.0,374.0,3205.0
142,,,1813.0,2006.0,household_agent_1,1001.0,991.0,household_agent_0,572.0,536.0,2578.0
143,,,1813.0,2006.0,household_agent_1,1001.0,991.0,household_agent_0,842.0,455.0,2848.0
144,,,1814.0,2006.0,generation_agent_3,1016.0,991.0,household_agent_0,738.0,536.0,2744.0
145,,,1814.0,2006.0,generation_agent_3,1016.0,991.0,household_agent_0,1043.0,536.0,3049.0
146,,,1865.0,2044.0,household_agent_1,1001.0,991.0,household_agent_0,642.0,536.0,2686.0
147,,,1865.0,2044.0,household_agent_1,1001.0,991.0,household_agent_0,873.0,536.0,2917.0
148,,,1866.0,2044.0,generation_agent_3,1016.0,991.0,household_agent_0,1034.0,536.0,3078.0
149,,,1866.0,2044.0,generation_agent_3,1016.0,991.0,household_agent_0,1241.0,374.0,3285.0
150,,,1917.0,2114.0,household_agent_1,1001.0,991.0,household_agent_0,816.0,536.0,2930.0
151,,,1917.0,2114.0,household_agent_1,1001.0,991.0,household_agent_0,1314.0,374.0,3428.0
152,,,1918.0,2114.0,generation_agent_3,1016.0,991.0,household_agent_0,669.0,536.0,2783.0
153,,,1918.0,2114.0,generation_agent_3,1016.0,991.0,household_agent_0,1004.0,455.0,3118.0
154,,,1969.0,2132.0,household_agent_1,1001.0,991.0,household_agent_0,618.0,536.0,2750.0
155,,,1969.0,2132.0,household_agent_1,1001.0,991.0,household_agent_0,865.0,455.0,2997.0
156,,,1970.0,2132.0,generation_agent_3,1016.0,991.0,household_agent_0,745.0,536.0,2877.0
157,,,1970.0,2132.0,generation_agent_3,1016.0,991.0,household_agent_0,1031.0,536.0,3163.0
158,,,2021.0,2198.0,household_agent_1,1001.0,991.0,household_agent_0,578.0,536.0,2776.0
159,,,2021.0,2198.0,household_agent_1,1001.0,991.0,household_agent_0,806.0,455.0,3004.0
160,,,2022.0,2198.0,generation_agent_3,1016.0,991.0,household_agent_0,1002.0,536.0,3200.0
161,,,2022.0,2198.0,generation_agent_3,1016.0,991.0,household_agent_0,1374.0,536.0,3572.0
162,,,2073.0,2261.0,household_agent_1,1001.0,991.0,household_agent_0,605.0,536.0,2866.0
163,,,2073.0,2261.0,household_agent_1,1001.0,991.0,household_agent_0,880.0,536.0,3141.0
164,,,2074.0,2261.0,generation_agent_3,1016.0,991.0,household_agent_0,1389.0,536.0,3650.0
165,,,2074.0,2261.0,generation_agent_3,1016.0,991.0,household_agent_0,1821.0,293.0,4082.0
166,,,2125.0,2325.0,household_agent_1,1001.0,991.0,household_agent_0,860.0,536.0,3185.0
167,,,2125.0,2325.0,household_agent_1,1001.0,991.0,household_agent_0,1345.0,536.0,3670.0
168,,,2126.0,2325.0,generation_agent_3,1016.0,991.0,household_agent_0,708.0,536.0,3033.0
169,,,2126.0,2325.0,generation_agent_3,1016.0,991.0,household_agent_0,947.0,536.0,3272.0
170,,,2177.0,2335.0,household_agent_1,1001.0,991.0,household_agent_0,1351.0,536.0,3686.0
171,,,2177.0,2335.0,household_agent_1,1001.0,991.0,household_agent_0,1403.0,536.0,3738.0
172,,,2178.0,2335.0,generation_agent_3,1016.0,991.0,household_agent_0,941.0,536.0,3276.0
173,,,2178.0,2335.0,generation_agent_3,1016.0,991.0,household_agent_0,1439.0,374.0,3774.0
174,,,2229.0,2395.0,household_agent_1,1001.0,991.0,household_agent_0,1358.0,536.0,3753.0
175,,,2229.0,2395.0,household_agent_1,1001.0,991.0,household_agent_0,1683.0,536.0,4078.0
176,,,2230.0,2395.0,generation_agent_3,1016.0,991.0,household_agent_0,684.0,536.0,3079.0
177,,,2230.0,2395.0,generation_agent_3,1016.0,991.0,household_agent_0,929.0,536.0,3324.0
178,,,2281.0,2430.0,household_agent_1,1001.0,991.0,household_agent_0,1690.0,536.0,4120.0
179,,,2281.0,2430.0,household_agent_1,1001.0,991.0,household_agent_0,1848.0,131.0,4278.0
180,,,2282.0,2430.0,generation_agent_3,1016.0,991.0,household_agent_0,908.0,536.0,3338.0
181,,,2282.0,2430.0,generation_agent_3,1016.0,991.0,household_agent_0,1369.0,374.0,3799.0
