,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 07:56:33.011644,,,,,,,,,
1,Simulation configuration ID,4b04ada2-a770-4c87-9c39-7c5e3df1a8e3,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,70.0,generation_agent_3,1016.0,991.0,control_center_agent,20.0,536.0,90.0
1,,,0.0,70.0,generation_agent_3,1016.0,991.0,control_center_agent,34.0,455.0,104.0
2,,,33.0,120.0,household_agent_1,1001.0,991.0,household_agent_0,126.0,536.0,246.0
3,,,33.0,120.0,household_agent_1,1001.0,991.0,household_agent_0,354.0,455.0,474.0
4,,,34.0,120.0,household_agent_2,1002.0,991.0,household_agent_0,64.0,536.0,184.0
5,,,34.0,120.0,household_agent_2,1002.0,991.0,household_agent_0,317.0,455.0,437.0
6,,,35.0,120.0,household_agent_3,1003.0,991.0,household_agent_0,178.0,536.0,298.0
7,,,35.0,120.0,household_agent_3,1003.0,991.0,household_agent_0,421.0,455.0,541.0
8,,,36.0,120.0,household_agent_4,1004.0,991.0,household_agent_0,333.0,536.0,453.0
9,,,36.0,120.0,household_agent_4,1004.0,991.0,household_agent_0,508.0,455.0,628.0
10,,,37.0,120.0,household_agent_5,1005.0,991.0,household_agent_0,274.0,536.0,394.0
11,,,37.0,120.0,household_agent_5,1005.0,991.0,household_agent_0,446.0,455.0,566.0
12,,,38.0,120.0,household_agent_6,1006.0,991.0,household_agent_0,385.0,536.0,505.0
13,,,38.0,120.0,household_agent_6,1006.0,991.0,household_agent_0,736.0,455.0,856.0
14,,,39.0,120.0,household_agent_7,1007.0,991.0,household_agent_0,160.0,536.0,280.0
15,,,39.0,120.0,household_agent_7,1007.0,991.0,household_agent_0,257.0,455.0,377.0
16,,,40.0,120.0,household_agent_8,1008.0,991.0,household_agent_0,705.0,536.0,825.0
17,,,40.0,120.0,household_agent_8,1008.0,991.0,household_agent_0,17304.0,536.0,17424.0
18,,,41.0,120.0,household_agent_9,1009.0,991.0,household_agent_0,759.0,536.0,879.0
19,,,41.0,120.0,household_agent_9,1009.0,991.0,household_agent_0,21522.0,455.0,21642.0
20,,,305.0,219.0,household_agent_1,1001.0,991.0,household_agent_0,1164.0,536.0,1383.0
21,,,305.0,219.0,household_agent_1,1001.0,991.0,household_agent_0,1518.0,455.0,1737.0
22,,,306.0,219.0,household_agent_2,1002.0,991.0,household_agent_0,434.0,536.0,653.0
23,,,306.0,219.0,household_agent_2,1002.0,991.0,household_agent_0,824.0,536.0,1043.0
24,,,307.0,219.0,household_agent_3,1003.0,991.0,household_agent_0,865.0,536.0,1084.0
25,,,307.0,219.0,household_agent_3,1003.0,991.0,household_agent_0,1145.0,455.0,1364.0
26,,,308.0,219.0,household_agent_4,1004.0,991.0,household_agent_0,889.0,536.0,1108.0
27,,,308.0,219.0,household_agent_4,1004.0,991.0,household_agent_0,1510.0,536.0,1729.0
28,,,309.0,219.0,household_agent_5,1005.0,991.0,household_agent_0,477.0,536.0,696.0
29,,,309.0,219.0,household_agent_5,1005.0,991.0,household_agent_0,1127.0,455.0,1346.0
30,,,310.0,219.0,household_agent_6,1006.0,991.0,household_agent_0,605.0,536.0,824.0
31,,,310.0,219.0,household_agent_6,1006.0,991.0,household_agent_0,1241.0,536.0,1460.0
32,,,311.0,219.0,household_agent_7,1007.0,991.0,household_agent_0,543.0,536.0,762.0
33,,,311.0,219.0,household_agent_7,1007.0,991.0,household_agent_0,2171.0,536.0,2390.0
34,,,312.0,219.0,household_agent_8,1008.0,991.0,household_agent_0,17248.0,536.0,17467.0
35,,,312.0,219.0,household_agent_8,1008.0,991.0,household_agent_0,25022.0,536.0,25241.0
36,,,313.0,219.0,household_agent_9,1009.0,991.0,household_agent_0,21400.0,536.0,21619.0
37,,,313.0,219.0,household_agent_9,1009.0,991.0,household_agent_0,29352.0,536.0,29571.0
38,,,577.0,252.0,household_agent_1,1001.0,991.0,household_agent_0,1246.0,536.0,1498.0
39,,,577.0,252.0,household_agent_1,1001.0,991.0,household_agent_0,1570.0,536.0,1822.0
40,,,578.0,252.0,household_agent_2,1002.0,991.0,household_agent_0,840.0,536.0,1092.0
41,,,578.0,252.0,household_agent_2,1002.0,991.0,household_agent_0,1302.0,536.0,1554.0
42,,,579.0,252.0,household_agent_3,1003.0,991.0,household_agent_0,843.0,536.0,1095.0
43,,,579.0,252.0,household_agent_3,1003.0,991.0,household_agent_0,1176.0,455.0,1428.0
44,,,580.0,252.0,household_agent_4,1004.0,991.0,household_agent_0,1556.0,536.0,1808.0
45,,,580.0,252.0,household_agent_4,1004.0,991.0,household_agent_0,2904.0,536.0,3156.0
46,,,581.0,252.0,household_agent_5,1005.0,991.0,household_agent_0,582.0,536.0,834.0
47,,,581.0,252.0,household_agent_5,1005.0,991.0,household_agent_0,1116.0,536.0,1368.0
48,,,582.0,252.0,household_agent_6,1006.0,991.0,household_agent_0,1330.0,536.0,1582.0
49,,,582.0,252.0,household_agent_6,1006.0,991.0,household_agent_0,2053.0,536.0,2305.0
50,,,583.0,252.0,household_agent_7,1007.0,991.0,household_agent_0,2203.0,536.0,2455.0
51,,,583.0,252.0,household_agent_7,1007.0,991.0,household_agent_0,14017.0,374.0,14269.0
52,,,584.0,252.0,household_agent_8,1008.0,991.0,household_agent_0,25070.0,536.0,25322.0
53,,,585.0,252.0,household_agent_9,1009.0,991.0,household_agent_0,29435.0,536.0,29687.0
54,,,849.0,308.0,household_agent_1,1001.0,991.0,household_agent_0,1519.0,536.0,1827.0
55,,,849.0,308.0,household_agent_1,1001.0,991.0,household_agent_0,3601.0,536.0,3909.0
56,,,850.0,308.0,household_agent_2,1002.0,991.0,household_agent_0,1295.0,536.0,1603.0
57,,,850.0,308.0,household_agent_2,1002.0,991.0,household_agent_0,2113.0,293.0,2421.0
58,,,851.0,308.0,household_agent_3,1003.0,991.0,household_agent_0,887.0,536.0,1195.0
59,,,851.0,308.0,household_agent_3,1003.0,991.0,household_agent_0,1420.0,455.0,1728.0
60,,,852.0,308.0,household_agent_4,1004.0,991.0,household_agent_0,2852.0,536.0,3160.0
61,,,852.0,308.0,household_agent_4,1004.0,991.0,household_agent_0,2934.0,536.0,3242.0
62,,,853.0,308.0,household_agent_5,1005.0,991.0,household_agent_0,1095.0,536.0,1403.0
63,,,853.0,308.0,household_agent_5,1005.0,991.0,household_agent_0,1642.0,536.0,1950.0
64,,,854.0,308.0,household_agent_6,1006.0,991.0,household_agent_0,2073.0,536.0,2381.0
65,,,854.0,308.0,household_agent_6,1006.0,991.0,household_agent_0,2112.0,536.0,2420.0
66,,,855.0,308.0,household_agent_7,1007.0,991.0,household_agent_0,1976.0,536.0,2284.0
67,,,855.0,308.0,household_agent_7,1007.0,991.0,household_agent_0,13427.0,536.0,13735.0
68,,,856.0,308.0,household_agent_8,1008.0,991.0,household_agent_0,17076.0,536.0,17384.0
69,,,856.0,308.0,household_agent_8,1008.0,991.0,household_agent_0,24165.0,536.0,24473.0
70,,,857.0,308.0,household_agent_9,1009.0,991.0,household_agent_0,21315.0,536.0,21623.0
