,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 22:33:03.283733,,,,,,,,,
1,Simulation configuration ID,4bf325e0-13aa-4c09-9370-7c7418632e5b,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,79.0,generation_agent_3,1016.0,191.0,control_center_agent,19.0,191.0,98.0
1,,,10.0,5963.0,household_agent_1,1001.0,191.0,household_agent_0,68.0,191.0,6031.0
2,,,11.0,5963.0,household_agent_2,1002.0,191.0,household_agent_0,78.0,191.0,6041.0
3,,,12.0,5963.0,generation_agent_3,1016.0,191.0,household_agent_0,58.0,191.0,6021.0
4,,,62.0,17628.0,household_agent_1,1001.0,191.0,household_agent_0,68.0,191.0,17696.0
5,,,63.0,17628.0,household_agent_2,1002.0,191.0,household_agent_0,76.0,191.0,17704.0
6,,,64.0,17628.0,generation_agent_3,1016.0,191.0,household_agent_0,62.0,191.0,17690.0
7,,,25.0,5963.0,household_agent_0,1000.0,191.0,household_agent_1,51.0,191.0,6014.0
8,,,26.0,5963.0,household_agent_2,1002.0,191.0,household_agent_1,67.0,191.0,6030.0
9,,,27.0,5963.0,household_agent_11,1011.0,191.0,household_agent_1,73.0,191.0,6036.0
10,,,77.0,17628.0,household_agent_0,1000.0,191.0,household_agent_1,50.0,191.0,17678.0
11,,,78.0,17628.0,household_agent_2,1002.0,191.0,household_agent_1,65.0,191.0,17693.0
12,,,79.0,17628.0,household_agent_11,1011.0,191.0,household_agent_1,73.0,191.0,17701.0
13,,,28.0,5963.0,household_agent_0,1000.0,191.0,household_agent_2,54.0,191.0,6017.0
14,,,29.0,5963.0,household_agent_1,1001.0,191.0,household_agent_2,76.0,191.0,6039.0
