,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 18:28:08.028567,,,,,,,,,
1,Simulation configuration ID,4dc85751-3671-4df0-bb35-c6947ced2cd5,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,77.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,97.0
1,,,0.0,77.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,111.0
2,,,1.0,206.0,generation_agent_0,1013.0,991.0,aggregator_agent,661.0,536.0,867.0
3,,,1.0,206.0,generation_agent_0,1013.0,991.0,aggregator_agent,713.0,455.0,919.0
4,,,225.0,277.0,control_center_agent,1017.0,991.0,aggregator_agent,43.0,536.0,320.0
5,,,225.0,277.0,control_center_agent,1017.0,991.0,aggregator_agent,73.0,455.0,350.0
6,,,27.0,185.0,household_agent_1,1001.0,991.0,household_agent_0,55.0,536.0,240.0
7,,,27.0,185.0,household_agent_1,1001.0,991.0,household_agent_0,100.0,455.0,285.0
8,,,28.0,185.0,household_agent_3,1003.0,991.0,household_agent_0,105.0,536.0,290.0
9,,,28.0,185.0,household_agent_3,1003.0,991.0,household_agent_0,138.0,455.0,323.0
10,,,29.0,185.0,generation_agent_3,1016.0,991.0,household_agent_0,157.0,536.0,342.0
11,,,29.0,185.0,generation_agent_3,1016.0,991.0,household_agent_0,219.0,455.0,404.0
12,,,71.0,226.0,household_agent_1,1001.0,991.0,household_agent_0,96.0,536.0,322.0
13,,,71.0,226.0,household_agent_1,1001.0,991.0,household_agent_0,179.0,455.0,405.0
14,,,72.0,226.0,household_agent_3,1003.0,991.0,household_agent_0,131.0,536.0,357.0
15,,,72.0,226.0,household_agent_3,1003.0,991.0,household_agent_0,185.0,536.0,411.0
16,,,73.0,226.0,generation_agent_3,1016.0,991.0,household_agent_0,281.0,536.0,507.0
17,,,73.0,226.0,generation_agent_3,1016.0,991.0,household_agent_0,335.0,536.0,561.0
18,,,115.0,247.0,household_agent_1,1001.0,991.0,household_agent_0,156.0,536.0,403.0
19,,,115.0,247.0,household_agent_1,1001.0,991.0,household_agent_0,240.0,536.0,487.0
20,,,116.0,247.0,household_agent_3,1003.0,991.0,household_agent_0,165.0,536.0,412.0
21,,,116.0,247.0,household_agent_3,1003.0,991.0,household_agent_0,256.0,536.0,503.0
22,,,117.0,247.0,generation_agent_3,1016.0,991.0,household_agent_0,315.0,536.0,562.0
23,,,117.0,247.0,generation_agent_3,1016.0,991.0,household_agent_0,390.0,536.0,637.0
24,,,159.0,275.0,household_agent_1,1001.0,991.0,household_agent_0,231.0,536.0,506.0
25,,,159.0,275.0,household_agent_1,1001.0,991.0,household_agent_0,298.0,374.0,573.0
