,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 15:38:00.649108,,,,,,,,,
1,Simulation configuration ID,550fc47e-a684-4a0f-a24d-35f9fe002885,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,45.0,household_agent_4,1004.0,191.0,control_center_agent,19.0,191.0,64.0
1,,,17.0,1023.0,household_agent_9,1009.0,191.0,household_agent_6,53.0,191.0,1076.0
2,,,17.0,1023.0,household_agent_9,1009.0,191.0,household_agent_6,76.0,191.0,1137.0
3,,,18.0,1023.0,household_agent_4,1004.0,191.0,household_agent_6,42.0,191.0,1065.0
4,,,18.0,1023.0,household_agent_4,1004.0,191.0,household_agent_6,69.0,191.0,651.0
5,,,19.0,1023.0,household_agent_3,1003.0,191.0,household_agent_6,65.0,191.0,1088.0
6,,,20.0,1023.0,household_agent_12,1012.0,191.0,household_agent_6,47.0,191.0,695.0
7,,,20.0,1023.0,household_agent_12,1012.0,191.0,household_agent_6,82.0,191.0,1105.0
8,,,21.0,1023.0,generation_agent_0,1013.0,191.0,household_agent_6,88.0,191.0,1111.0
9,,,22.0,1023.0,generation_agent_1,1014.0,191.0,household_agent_6,69.0,191.0,717.0
10,,,22.0,1023.0,generation_agent_1,1014.0,191.0,household_agent_6,135.0,191.0,1158.0
11,,,23.0,1023.0,generation_agent_2,1015.0,191.0,household_agent_6,145.0,191.0,1168.0
12,,,24.0,1023.0,generation_agent_3,1016.0,191.0,household_agent_6,157.0,191.0,1180.0
13,,,89.0,1561.0,household_agent_9,1009.0,191.0,household_agent_6,63.0,191.0,1624.0
14,,,89.0,1561.0,household_agent_9,1009.0,191.0,household_agent_6,76.0,191.0,2603.0
15,,,90.0,1561.0,household_agent_4,1004.0,191.0,household_agent_6,52.0,191.0,1613.0
16,,,91.0,1561.0,household_agent_3,1003.0,191.0,household_agent_6,74.0,191.0,1635.0
17,,,92.0,1561.0,household_agent_12,1012.0,191.0,household_agent_6,91.0,191.0,1652.0
18,,,93.0,1561.0,generation_agent_0,1013.0,191.0,household_agent_6,103.0,191.0,1664.0
19,,,94.0,1561.0,generation_agent_1,1014.0,191.0,household_agent_6,147.0,191.0,1708.0
20,,,95.0,1561.0,generation_agent_2,1015.0,191.0,household_agent_6,158.0,191.0,1719.0
21,,,96.0,1561.0,generation_agent_3,1016.0,191.0,household_agent_6,47.0,191.0,3014.0
22,,,96.0,1561.0,generation_agent_3,1016.0,191.0,household_agent_6,171.0,191.0,1732.0
23,,,161.0,2280.0,household_agent_9,1009.0,191.0,household_agent_6,67.0,191.0,2347.0
24,,,161.0,2280.0,household_agent_9,1009.0,191.0,household_agent_6,91.0,191.0,4860.0
25,,,162.0,2280.0,household_agent_4,1004.0,191.0,household_agent_6,56.0,191.0,2336.0
