,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 03:02:30.399675,,,,,,,,,
1,Simulation configuration ID,585124c6-fe6c-44e6-a1a9-362b5f31b030,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,54.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,74.0
1,,,0.0,54.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,88.0
2,,,1.0,176.0,household_agent_3,1003.0,991.0,aggregator_agent,2473.0,536.0,2649.0
3,,,1.0,176.0,household_agent_3,1003.0,991.0,aggregator_agent,3508.0,455.0,3684.0
4,,,5112.0,1161.0,control_center_agent,1017.0,991.0,aggregator_agent,50.0,536.0,1211.0
5,,,5112.0,1161.0,control_center_agent,1017.0,991.0,aggregator_agent,88.0,455.0,1249.0
6,,,28.0,152.0,household_agent_6,1006.0,991.0,household_agent_4,58.0,536.0,210.0
7,,,28.0,152.0,household_agent_6,1006.0,991.0,household_agent_4,126.0,455.0,278.0
8,,,29.0,152.0,household_agent_10,1010.0,991.0,household_agent_4,71.0,536.0,223.0
9,,,29.0,152.0,household_agent_10,1010.0,991.0,household_agent_4,153.0,455.0,305.0
10,,,30.0,152.0,household_agent_5,1005.0,991.0,household_agent_4,102.0,536.0,254.0
11,,,30.0,152.0,household_agent_5,1005.0,991.0,household_agent_4,276.0,455.0,428.0
12,,,31.0,152.0,household_agent_1,1001.0,991.0,household_agent_4,553.0,536.0,705.0
13,,,31.0,152.0,household_agent_1,1001.0,991.0,household_agent_4,972.0,455.0,1124.0
14,,,32.0,152.0,household_agent_9,1009.0,991.0,household_agent_4,462.0,536.0,614.0
15,,,32.0,152.0,household_agent_9,1009.0,991.0,household_agent_4,800.0,455.0,952.0
16,,,33.0,152.0,household_agent_3,1003.0,991.0,household_agent_4,3884.0,536.0,4047.0
17,,,33.0,152.0,household_agent_3,1003.0,991.0,household_agent_4,4338.0,536.0,4501.0
18,,,33.0,152.0,household_agent_3,1003.0,991.0,household_agent_4,836.0,536.0,988.0
19,,,33.0,152.0,household_agent_3,1003.0,991.0,household_agent_4,1103.0,536.0,1255.0
20,,,34.0,152.0,household_agent_11,1011.0,991.0,household_agent_4,3064.0,536.0,3216.0
21,,,34.0,152.0,household_agent_11,1011.0,991.0,household_agent_4,5221.0,455.0,5373.0
22,,,35.0,152.0,household_agent_2,1002.0,991.0,household_agent_4,3344.0,536.0,3496.0
23,,,35.0,152.0,household_agent_2,1002.0,991.0,household_agent_4,3575.0,536.0,3727.0
24,,,36.0,152.0,household_agent_7,1007.0,991.0,household_agent_4,3608.0,536.0,3760.0
25,,,36.0,152.0,household_agent_7,1007.0,991.0,household_agent_4,4163.0,536.0,4315.0
26,,,37.0,152.0,generation_agent_0,1013.0,991.0,household_agent_4,4819.0,536.0,4971.0
27,,,37.0,152.0,generation_agent_0,1013.0,991.0,household_agent_4,6748.0,536.0,6900.0
28,,,38.0,152.0,generation_agent_1,1014.0,991.0,household_agent_4,3705.0,536.0,3857.0
29,,,38.0,152.0,generation_agent_1,1014.0,991.0,household_agent_4,3892.0,536.0,4044.0
30,,,39.0,152.0,generation_agent_2,1015.0,991.0,household_agent_4,4275.0,536.0,4427.0
31,,,39.0,152.0,generation_agent_2,1015.0,991.0,household_agent_4,5209.0,536.0,5361.0
32,,,40.0,152.0,generation_agent_3,1016.0,991.0,household_agent_4,3793.0,536.0,3945.0
33,,,40.0,152.0,generation_agent_3,1016.0,991.0,household_agent_4,4213.0,536.0,4365.0
34,,,210.0,212.0,household_agent_6,1006.0,991.0,household_agent_4,135.0,536.0,347.0
35,,,210.0,212.0,household_agent_6,1006.0,991.0,household_agent_4,233.0,455.0,445.0
36,,,211.0,212.0,household_agent_10,1010.0,991.0,household_agent_4,118.0,536.0,330.0
37,,,211.0,212.0,household_agent_10,1010.0,991.0,household_agent_4,208.0,536.0,420.0
38,,,212.0,212.0,household_agent_5,1005.0,991.0,household_agent_4,340.0,536.0,552.0
39,,,212.0,212.0,household_agent_5,1005.0,991.0,household_agent_4,875.0,536.0,1087.0
40,,,213.0,212.0,household_agent_1,1001.0,991.0,household_agent_4,1250.0,536.0,1462.0
41,,,213.0,212.0,household_agent_1,1001.0,991.0,household_agent_4,1524.0,536.0,1736.0
42,,,214.0,212.0,household_agent_9,1009.0,991.0,household_agent_4,892.0,536.0,1104.0
43,,,214.0,212.0,household_agent_9,1009.0,991.0,household_agent_4,1176.0,536.0,1388.0
44,,,215.0,212.0,household_agent_3,1003.0,991.0,household_agent_4,1134.0,536.0,1346.0
45,,,215.0,212.0,household_agent_3,1003.0,991.0,household_agent_4,3064.0,536.0,3276.0
46,,,216.0,212.0,household_agent_11,1011.0,991.0,household_agent_4,10339.0,536.0,10891.0
47,,,216.0,212.0,household_agent_11,1011.0,991.0,household_agent_4,3047.0,536.0,3259.0
48,,,216.0,212.0,household_agent_11,1011.0,991.0,household_agent_4,5924.0,536.0,6136.0
49,,,217.0,212.0,household_agent_2,1002.0,991.0,household_agent_4,4505.0,536.0,5057.0
50,,,217.0,212.0,household_agent_2,1002.0,991.0,household_agent_4,3545.0,536.0,3757.0
51,,,217.0,212.0,household_agent_2,1002.0,991.0,household_agent_4,3844.0,536.0,4056.0
52,,,218.0,212.0,household_agent_7,1007.0,991.0,household_agent_4,4149.0,536.0,4361.0
53,,,218.0,212.0,household_agent_7,1007.0,991.0,household_agent_4,4497.0,536.0,4709.0
54,,,219.0,212.0,generation_agent_0,1013.0,991.0,household_agent_4,10648.0,536.0,11200.0
55,,,219.0,212.0,generation_agent_0,1013.0,991.0,household_agent_4,10651.0,536.0,11203.0
56,,,219.0,212.0,generation_agent_0,1013.0,991.0,household_agent_4,6719.0,536.0,6931.0
57,,,219.0,212.0,generation_agent_0,1013.0,991.0,household_agent_4,6801.0,536.0,7013.0
58,,,220.0,212.0,generation_agent_1,1014.0,991.0,household_agent_4,3889.0,536.0,4101.0
59,,,220.0,212.0,generation_agent_1,1014.0,991.0,household_agent_4,4097.0,536.0,4309.0
60,,,221.0,212.0,generation_agent_2,1015.0,991.0,household_agent_4,5309.0,536.0,5521.0
61,,,221.0,212.0,generation_agent_2,1015.0,991.0,household_agent_4,5700.0,536.0,5912.0
62,,,222.0,212.0,generation_agent_3,1016.0,991.0,household_agent_4,4179.0,536.0,4391.0
63,,,222.0,212.0,generation_agent_3,1016.0,991.0,household_agent_4,4405.0,536.0,4617.0
64,,,392.0,225.0,household_agent_6,1006.0,991.0,household_agent_4,205.0,536.0,430.0
65,,,392.0,225.0,household_agent_6,1006.0,991.0,household_agent_4,319.0,536.0,544.0
66,,,393.0,225.0,household_agent_10,1010.0,991.0,household_agent_4,217.0,536.0,442.0
