,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 21:29:46.013362,,,,,,,,,
1,Simulation configuration ID,596f278f-542b-425c-9dcc-79339e32b395,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 20 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,79.0,household_agent_11,1011.0,41.0,control_center_agent,19.0,41.0,98.0
1,,,12.0,869.0,household_agent_9,1009.0,41.0,household_agent_1,46.0,41.0,915.0
2,,,13.0,869.0,household_agent_3,1003.0,41.0,household_agent_1,57.0,41.0,926.0
3,,,14.0,869.0,household_agent_6,1006.0,41.0,household_agent_1,47.0,41.0,682.0
4,,,14.0,869.0,household_agent_6,1006.0,41.0,household_agent_1,73.0,41.0,942.0
5,,,15.0,869.0,generation_agent_3,1016.0,41.0,household_agent_1,52.0,41.0,687.0
6,,,15.0,869.0,generation_agent_3,1016.0,41.0,household_agent_1,79.0,41.0,948.0
7,,,56.0,1691.0,household_agent_9,1009.0,41.0,household_agent_1,44.0,41.0,1735.0
8,,,56.0,1691.0,household_agent_9,1009.0,41.0,household_agent_1,52.0,41.0,1681.0
9,,,57.0,1691.0,household_agent_3,1003.0,41.0,household_agent_1,57.0,41.0,1748.0
10,,,58.0,1691.0,household_agent_6,1006.0,41.0,household_agent_1,73.0,41.0,1764.0
11,,,59.0,1691.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,1769.0
12,,,100.0,2507.0,household_agent_9,1009.0,41.0,household_agent_1,47.0,41.0,2554.0
13,,,101.0,2507.0,household_agent_3,1003.0,41.0,household_agent_1,57.0,41.0,2564.0
14,,,102.0,2507.0,household_agent_6,1006.0,41.0,household_agent_1,72.0,41.0,2579.0
15,,,103.0,2507.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,2585.0
16,,,144.0,3052.0,household_agent_9,1009.0,41.0,household_agent_1,47.0,41.0,3071.0
17,,,144.0,3052.0,household_agent_9,1009.0,41.0,household_agent_1,45.0,41.0,3097.0
18,,,145.0,3052.0,household_agent_3,1003.0,41.0,household_agent_1,53.0,41.0,3077.0
19,,,145.0,3052.0,household_agent_3,1003.0,41.0,household_agent_1,56.0,41.0,3108.0
20,,,146.0,3052.0,household_agent_6,1006.0,41.0,household_agent_1,67.0,41.0,3119.0
21,,,147.0,3052.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,3130.0
22,,,188.0,3888.0,household_agent_9,1009.0,41.0,household_agent_1,52.0,41.0,3940.0
23,,,189.0,3888.0,household_agent_3,1003.0,41.0,household_agent_1,57.0,41.0,3945.0
24,,,190.0,3888.0,household_agent_6,1006.0,41.0,household_agent_1,62.0,41.0,3950.0
25,,,191.0,3888.0,generation_agent_3,1016.0,41.0,household_agent_1,73.0,41.0,3961.0
26,,,232.0,4051.0,household_agent_9,1009.0,41.0,household_agent_1,47.0,41.0,4098.0
27,,,233.0,4051.0,household_agent_3,1003.0,41.0,household_agent_1,56.0,41.0,4107.0
28,,,234.0,4051.0,household_agent_6,1006.0,41.0,household_agent_1,72.0,41.0,4123.0
29,,,235.0,4051.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,4129.0
30,,,276.0,4438.0,household_agent_9,1009.0,41.0,household_agent_1,44.0,41.0,4482.0
31,,,277.0,4438.0,household_agent_3,1003.0,41.0,household_agent_1,55.0,41.0,4493.0
32,,,278.0,4438.0,household_agent_6,1006.0,41.0,household_agent_1,71.0,41.0,4509.0
33,,,279.0,4438.0,generation_agent_3,1016.0,41.0,household_agent_1,77.0,41.0,4515.0
34,,,320.0,4555.0,household_agent_9,1009.0,41.0,household_agent_1,56.0,41.0,4611.0
35,,,321.0,4555.0,household_agent_3,1003.0,41.0,household_agent_1,56.0,41.0,4611.0
36,,,322.0,4555.0,household_agent_6,1006.0,41.0,household_agent_1,73.0,41.0,4628.0
37,,,323.0,4555.0,generation_agent_3,1016.0,41.0,household_agent_1,79.0,41.0,4634.0
38,,,364.0,4783.0,household_agent_9,1009.0,41.0,household_agent_1,47.0,41.0,4830.0
39,,,365.0,4783.0,household_agent_3,1003.0,41.0,household_agent_1,55.0,41.0,4838.0
40,,,366.0,4783.0,household_agent_6,1006.0,41.0,household_agent_1,71.0,41.0,4854.0
41,,,367.0,4783.0,generation_agent_3,1016.0,41.0,household_agent_1,77.0,41.0,4860.0
42,,,367.0,4783.0,generation_agent_3,1016.0,41.0,household_agent_1,28.0,41.0,5641.0
43,,,408.0,5041.0,household_agent_9,1009.0,41.0,household_agent_1,46.0,41.0,5087.0
44,,,409.0,5041.0,household_agent_3,1003.0,41.0,household_agent_1,56.0,41.0,5097.0
45,,,410.0,5041.0,household_agent_6,1006.0,41.0,household_agent_1,72.0,41.0,5113.0
46,,,411.0,5041.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,5119.0
47,,,452.0,5226.0,household_agent_9,1009.0,41.0,household_agent_1,46.0,41.0,5272.0
48,,,453.0,5226.0,household_agent_3,1003.0,41.0,household_agent_1,56.0,41.0,5282.0
49,,,454.0,5226.0,household_agent_6,1006.0,41.0,household_agent_1,72.0,41.0,5298.0
50,,,455.0,5226.0,generation_agent_3,1016.0,41.0,household_agent_1,78.0,41.0,5304.0
51,,,496.0,6221.0,household_agent_9,1009.0,41.0,household_agent_1,45.0,41.0,6266.0
52,,,497.0,6221.0,household_agent_3,1003.0,41.0,household_agent_1,55.0,41.0,6276.0
53,,,498.0,6221.0,household_agent_6,1006.0,41.0,household_agent_1,71.0,41.0,6292.0
54,,,499.0,6221.0,generation_agent_3,1016.0,41.0,household_agent_1,77.0,41.0,6298.0
55,,,5.0,869.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,925.0
56,,,6.0,869.0,household_agent_11,1011.0,41.0,household_agent_9,51.0,41.0,920.0
57,,,7.0,869.0,household_agent_6,1006.0,41.0,household_agent_9,74.0,41.0,943.0
58,,,49.0,1691.0,household_agent_1,1001.0,41.0,household_agent_9,55.0,41.0,1746.0
59,,,50.0,1691.0,household_agent_11,1011.0,41.0,household_agent_9,50.0,41.0,1741.0
60,,,51.0,1691.0,household_agent_6,1006.0,41.0,household_agent_9,75.0,41.0,1766.0
61,,,93.0,2507.0,household_agent_1,1001.0,41.0,household_agent_9,55.0,41.0,2562.0
62,,,93.0,2507.0,household_agent_1,1001.0,41.0,household_agent_9,52.0,41.0,2182.0
63,,,94.0,2507.0,household_agent_11,1011.0,41.0,household_agent_9,50.0,41.0,2557.0
64,,,95.0,2507.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,2580.0
65,,,137.0,3052.0,household_agent_1,1001.0,41.0,household_agent_9,59.0,41.0,3111.0
66,,,138.0,3052.0,household_agent_11,1011.0,41.0,household_agent_9,49.0,41.0,3101.0
67,,,139.0,3052.0,household_agent_6,1006.0,41.0,household_agent_9,70.0,41.0,3122.0
68,,,181.0,3888.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,3944.0
69,,,182.0,3888.0,household_agent_11,1011.0,41.0,household_agent_9,52.0,41.0,3940.0
70,,,183.0,3888.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,3961.0
71,,,225.0,4051.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,4107.0
72,,,226.0,4051.0,household_agent_11,1011.0,41.0,household_agent_9,51.0,41.0,4102.0
73,,,227.0,4051.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,4124.0
74,,,269.0,4438.0,household_agent_1,1001.0,41.0,household_agent_9,55.0,41.0,4493.0
75,,,270.0,4438.0,household_agent_11,1011.0,41.0,household_agent_9,53.0,41.0,4491.0
76,,,271.0,4438.0,household_agent_6,1006.0,41.0,household_agent_9,72.0,41.0,4510.0
77,,,313.0,4555.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,4611.0
78,,,314.0,4555.0,household_agent_11,1011.0,41.0,household_agent_9,54.0,41.0,4609.0
79,,,315.0,4555.0,household_agent_6,1006.0,41.0,household_agent_9,77.0,41.0,4632.0
80,,,357.0,4783.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,4839.0
81,,,358.0,4783.0,household_agent_11,1011.0,41.0,household_agent_9,51.0,41.0,4834.0
82,,,359.0,4783.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,4856.0
83,,,401.0,5041.0,household_agent_1,1001.0,41.0,household_agent_9,55.0,41.0,5096.0
84,,,402.0,5041.0,household_agent_11,1011.0,41.0,household_agent_9,50.0,41.0,5091.0
85,,,403.0,5041.0,household_agent_6,1006.0,41.0,household_agent_9,71.0,41.0,5112.0
86,,,445.0,5226.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,5282.0
87,,,446.0,5226.0,household_agent_11,1011.0,41.0,household_agent_9,51.0,41.0,5277.0
88,,,447.0,5226.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,5299.0
89,,,489.0,6221.0,household_agent_1,1001.0,41.0,household_agent_9,56.0,41.0,6277.0
90,,,490.0,6221.0,household_agent_11,1011.0,41.0,household_agent_9,52.0,41.0,6273.0
91,,,491.0,6221.0,household_agent_6,1006.0,41.0,household_agent_9,73.0,41.0,6294.0
92,,,1.0,530.0,household_agent_9,1009.0,41.0,household_agent_11,47.0,41.0,577.0
93,,,2.0,530.0,household_agent_6,1006.0,41.0,household_agent_11,58.0,41.0,834.0
94,,,2.0,530.0,household_agent_6,1006.0,41.0,household_agent_11,58.0,41.0,588.0
95,,,3.0,869.0,household_agent_9,1009.0,41.0,household_agent_11,51.0,41.0,920.0
96,,,4.0,869.0,household_agent_6,1006.0,41.0,household_agent_11,52.0,41.0,687.0
97,,,4.0,869.0,household_agent_6,1006.0,41.0,household_agent_11,66.0,41.0,935.0
98,,,47.0,1691.0,household_agent_9,1009.0,41.0,household_agent_11,49.0,41.0,1740.0
99,,,48.0,1691.0,household_agent_6,1006.0,41.0,household_agent_11,66.0,41.0,1757.0
100,,,91.0,2507.0,household_agent_9,1009.0,41.0,household_agent_11,51.0,41.0,2558.0
101,,,92.0,2507.0,household_agent_6,1006.0,41.0,household_agent_11,47.0,41.0,2177.0
102,,,92.0,2507.0,household_agent_6,1006.0,41.0,household_agent_11,66.0,41.0,2573.0
