,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 12:39:41.798639,,,,,,,,,
1,Simulation configuration ID,5aeca92c-fb32-4239-83a6-1c9fda079b7b,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,59.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,78.0
1,,,1.0,165.0,household_agent_6,1006.0,41.0,aggregator_agent,47.0,41.0,212.0
2,,,37.0,2711.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,2739.0
3,,,10.0,700.0,household_agent_12,1012.0,41.0,household_agent_4,53.0,41.0,753.0
4,,,26.0,1556.0,household_agent_12,1012.0,41.0,household_agent_4,54.0,41.0,1610.0
5,,,6.0,700.0,household_agent_4,1004.0,41.0,household_agent_12,47.0,41.0,266.0
6,,,6.0,700.0,household_agent_4,1004.0,41.0,household_agent_12,52.0,41.0,752.0
7,,,6.0,700.0,household_agent_4,1004.0,41.0,household_agent_12,69.0,41.0,1108.0
8,,,7.0,700.0,household_agent_6,1006.0,41.0,household_agent_12,47.0,41.0,747.0
9,,,7.0,700.0,household_agent_6,1006.0,41.0,household_agent_12,74.0,41.0,1113.0
10,,,22.0,1556.0,household_agent_4,1004.0,41.0,household_agent_12,47.0,41.0,1219.0
11,,,22.0,1556.0,household_agent_4,1004.0,41.0,household_agent_12,52.0,41.0,1608.0
12,,,22.0,1556.0,household_agent_4,1004.0,41.0,household_agent_12,129.0,41.0,589.0
13,,,23.0,1556.0,household_agent_6,1006.0,41.0,household_agent_12,49.0,41.0,1605.0
14,,,23.0,1556.0,household_agent_6,1006.0,41.0,household_agent_12,135.0,41.0,595.0
15,,,2.0,494.0,household_agent_12,1012.0,41.0,household_agent_6,47.0,41.0,541.0
16,,,3.0,494.0,household_agent_9,1009.0,41.0,household_agent_6,52.0,41.0,546.0
17,,,4.0,700.0,household_agent_12,1012.0,41.0,household_agent_6,47.0,41.0,747.0
18,,,5.0,700.0,household_agent_9,1009.0,41.0,household_agent_6,52.0,41.0,752.0
19,,,5.0,700.0,household_agent_9,1009.0,41.0,household_agent_6,63.0,41.0,1102.0
20,,,20.0,1556.0,household_agent_12,1012.0,41.0,household_agent_6,48.0,41.0,1604.0
21,,,20.0,1556.0,household_agent_12,1012.0,41.0,household_agent_6,53.0,41.0,612.0
22,,,20.0,1556.0,household_agent_12,1012.0,41.0,household_agent_6,74.0,41.0,534.0
23,,,21.0,1556.0,household_agent_9,1009.0,41.0,household_agent_6,52.0,41.0,1608.0
24,,,36.0,1886.0,aggregator_agent,1019.0,41.0,household_agent_6,68.0,41.0,528.0
25,,,36.0,1886.0,aggregator_agent,1019.0,41.0,household_agent_6,47.0,41.0,1933.0
26,,,8.0,700.0,household_agent_6,1006.0,41.0,household_agent_9,53.0,41.0,753.0
27,,,8.0,700.0,household_agent_6,1006.0,41.0,household_agent_9,80.0,41.0,1119.0
28,,,9.0,700.0,household_agent_3,1003.0,41.0,household_agent_9,58.0,41.0,758.0
29,,,9.0,700.0,household_agent_3,1003.0,41.0,household_agent_9,85.0,41.0,1124.0
30,,,24.0,1556.0,household_agent_6,1006.0,41.0,household_agent_9,53.0,41.0,1609.0
31,,,24.0,1556.0,household_agent_6,1006.0,41.0,household_agent_9,147.0,41.0,607.0
32,,,25.0,1556.0,household_agent_3,1003.0,41.0,household_agent_9,58.0,41.0,1614.0
33,,,25.0,1556.0,household_agent_3,1003.0,41.0,household_agent_9,158.0,41.0,618.0
34,,,11.0,700.0,household_agent_9,1009.0,41.0,household_agent_3,49.0,41.0,749.0
35,,,12.0,700.0,generation_agent_0,1013.0,41.0,household_agent_3,53.0,41.0,753.0
36,,,27.0,1556.0,household_agent_9,1009.0,41.0,household_agent_3,49.0,41.0,1605.0
37,,,28.0,1556.0,generation_agent_0,1013.0,41.0,household_agent_3,64.0,41.0,524.0
38,,,28.0,1556.0,generation_agent_0,1013.0,41.0,household_agent_3,53.0,41.0,1609.0
39,,,13.0,700.0,household_agent_3,1003.0,41.0,generation_agent_0,47.0,41.0,606.0
40,,,13.0,700.0,household_agent_3,1003.0,41.0,generation_agent_0,69.0,41.0,529.0
41,,,13.0,700.0,household_agent_3,1003.0,41.0,generation_agent_0,43.0,41.0,743.0
42,,,14.0,700.0,generation_agent_1,1014.0,41.0,generation_agent_0,73.0,41.0,533.0
43,,,14.0,700.0,generation_agent_1,1014.0,41.0,generation_agent_0,49.0,41.0,749.0
44,,,29.0,1556.0,household_agent_3,1003.0,41.0,generation_agent_0,43.0,41.0,1599.0
45,,,30.0,1556.0,generation_agent_1,1014.0,41.0,generation_agent_0,85.0,41.0,545.0
46,,,30.0,1556.0,generation_agent_1,1014.0,41.0,generation_agent_0,49.0,41.0,1605.0
47,,,15.0,700.0,generation_agent_0,1013.0,41.0,generation_agent_1,69.0,41.0,769.0
48,,,15.0,700.0,generation_agent_0,1013.0,41.0,generation_agent_1,84.0,41.0,544.0
49,,,16.0,700.0,generation_agent_2,1015.0,41.0,generation_agent_1,95.0,41.0,555.0
50,,,16.0,700.0,generation_agent_2,1015.0,41.0,generation_agent_1,58.0,41.0,758.0
51,,,16.0,700.0,generation_agent_2,1015.0,41.0,generation_agent_1,58.0,41.0,617.0
52,,,31.0,1556.0,generation_agent_0,1013.0,41.0,generation_agent_1,69.0,41.0,1625.0
53,,,31.0,1556.0,generation_agent_0,1013.0,41.0,generation_agent_1,98.0,41.0,558.0
54,,,32.0,1556.0,generation_agent_2,1015.0,41.0,generation_agent_1,136.0,41.0,596.0
55,,,32.0,1556.0,generation_agent_2,1015.0,41.0,generation_agent_1,58.0,41.0,1614.0
56,,,17.0,700.0,generation_agent_1,1014.0,41.0,generation_agent_2,58.0,41.0,758.0
57,,,17.0,700.0,generation_agent_1,1014.0,41.0,generation_agent_2,103.0,41.0,563.0
58,,,18.0,700.0,generation_agent_3,1016.0,41.0,generation_agent_2,63.0,41.0,763.0
59,,,33.0,1556.0,generation_agent_1,1014.0,41.0,generation_agent_2,58.0,41.0,1614.0
60,,,33.0,1556.0,generation_agent_1,1014.0,41.0,generation_agent_2,140.0,41.0,600.0
61,,,34.0,1556.0,generation_agent_3,1016.0,41.0,generation_agent_2,63.0,41.0,1619.0
62,,,19.0,700.0,generation_agent_2,1015.0,41.0,generation_agent_3,53.0,41.0,753.0
63,,,35.0,1556.0,generation_agent_2,1015.0,41.0,generation_agent_3,52.0,41.0,1608.0
