,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 06:53:57.119968,,,,,,,,,
1,Simulation configuration ID,601c9428-7f98-4ae1-bec3-fe68dcd8be09,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,2.0,household_agent_12,1012.0,191.0,control_center_agent,19.0,191.0,21.0
1,,,34.0,8234.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,8281.0
2,,,32.0,8234.0,household_agent_0,1000.0,191.0,household_agent_1,49.0,191.0,8283.0
3,,,33.0,8234.0,household_agent_2,1002.0,191.0,household_agent_1,62.0,191.0,8296.0
4,,,30.0,8234.0,household_agent_1,1001.0,191.0,household_agent_2,53.0,191.0,8287.0
5,,,31.0,8234.0,household_agent_3,1003.0,191.0,household_agent_2,65.0,191.0,8299.0
6,,,28.0,8234.0,household_agent_2,1002.0,191.0,household_agent_3,48.0,191.0,8282.0
7,,,29.0,8234.0,household_agent_4,1004.0,191.0,household_agent_3,62.0,191.0,8296.0
8,,,26.0,8234.0,household_agent_3,1003.0,191.0,household_agent_4,51.0,191.0,8285.0
9,,,27.0,8234.0,household_agent_5,1005.0,191.0,household_agent_4,60.0,191.0,8294.0
10,,,24.0,8234.0,household_agent_4,1004.0,191.0,household_agent_5,50.0,191.0,8284.0
11,,,25.0,8234.0,household_agent_6,1006.0,191.0,household_agent_5,62.0,191.0,8296.0
12,,,22.0,8234.0,household_agent_5,1005.0,191.0,household_agent_6,70.0,191.0,8304.0
13,,,23.0,8234.0,household_agent_7,1007.0,191.0,household_agent_6,58.0,191.0,8292.0
14,,,20.0,8234.0,household_agent_6,1006.0,191.0,household_agent_7,63.0,191.0,8297.0
15,,,21.0,8234.0,household_agent_8,1008.0,191.0,household_agent_7,72.0,191.0,8306.0
16,,,17.0,8234.0,household_agent_7,1007.0,191.0,household_agent_8,52.0,191.0,8286.0
17,,,18.0,8234.0,household_agent_9,1009.0,191.0,household_agent_8,67.0,191.0,8301.0
18,,,13.0,8234.0,household_agent_8,1008.0,191.0,household_agent_9,54.0,191.0,8288.0
19,,,14.0,8234.0,household_agent_10,1010.0,191.0,household_agent_9,65.0,191.0,8299.0
20,,,9.0,8234.0,household_agent_9,1009.0,191.0,household_agent_10,55.0,191.0,8289.0
21,,,10.0,8234.0,household_agent_11,1011.0,191.0,household_agent_10,66.0,191.0,8300.0
22,,,5.0,8234.0,household_agent_10,1010.0,191.0,household_agent_11,74.0,191.0,8308.0
23,,,6.0,8234.0,household_agent_12,1012.0,191.0,household_agent_11,78.0,191.0,8312.0
24,,,1.0,10967.0,household_agent_11,1011.0,191.0,household_agent_12,47.0,191.0,11014.0
25,,,2.0,10967.0,generation_agent_0,1013.0,191.0,household_agent_12,58.0,191.0,11025.0
26,,,3.0,8234.0,household_agent_11,1011.0,191.0,household_agent_12,64.0,191.0,8298.0
27,,,4.0,8234.0,generation_agent_0,1013.0,191.0,household_agent_12,74.0,191.0,8308.0
28,,,7.0,8234.0,household_agent_12,1012.0,191.0,generation_agent_0,61.0,191.0,8295.0
29,,,8.0,8234.0,generation_agent_1,1014.0,191.0,generation_agent_0,68.0,191.0,8302.0
30,,,11.0,8234.0,generation_agent_0,1013.0,191.0,generation_agent_1,59.0,191.0,8293.0
31,,,12.0,8234.0,generation_agent_2,1015.0,191.0,generation_agent_1,70.0,191.0,8304.0
32,,,15.0,8234.0,generation_agent_1,1014.0,191.0,generation_agent_2,79.0,191.0,8313.0
33,,,16.0,8234.0,generation_agent_3,1016.0,191.0,generation_agent_2,66.0,191.0,8300.0
34,,,19.0,8234.0,generation_agent_2,1015.0,191.0,generation_agent_3,69.0,191.0,8303.0
