,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 11:09:03.345918,,,,,,,,,
1,Simulation configuration ID,61a8586d-ae8c-4dee-a11b-0165da7772a4,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,26.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,45.0
1,,,1.0,69.0,generation_agent_3,1016.0,41.0,aggregator_agent,64.0,41.0,133.0
2,,,2890.0,5184.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,5212.0
3,,,10.0,121.0,household_agent_1,1001.0,41.0,household_agent_8,55.0,41.0,176.0
4,,,11.0,121.0,household_agent_10,1010.0,41.0,household_agent_8,77.0,41.0,198.0
5,,,12.0,121.0,household_agent_11,1011.0,41.0,household_agent_8,267.0,41.0,388.0
6,,,12.0,121.0,household_agent_11,1011.0,41.0,household_agent_8,52.0,41.0,109.0
7,,,13.0,121.0,generation_agent_3,1016.0,41.0,household_agent_8,47.0,41.0,104.0
8,,,13.0,121.0,generation_agent_3,1016.0,41.0,household_agent_8,44.0,41.0,165.0
9,,,38.0,167.0,household_agent_1,1001.0,41.0,household_agent_8,53.0,41.0,220.0
10,,,39.0,167.0,household_agent_10,1010.0,41.0,household_agent_8,143.0,41.0,310.0
11,,,40.0,167.0,household_agent_11,1011.0,41.0,household_agent_8,264.0,164.0,431.0
12,,,41.0,167.0,generation_agent_3,1016.0,41.0,household_agent_8,42.0,41.0,209.0
