,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 15:51:38.763291,,,,,,,,,
1,Simulation configuration ID,6896e22a-db49-4047-b424-88008263f6a8,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,34.0,household_agent_7,1007.0,41.0,control_center_agent,19.0,41.0,53.0
1,,,29.0,295.0,household_agent_1,1001.0,41.0,household_agent_0,49.0,41.0,344.0
2,,,61.0,868.0,household_agent_1,1001.0,41.0,household_agent_0,44.0,41.0,912.0
3,,,93.0,1469.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,1514.0
4,,,125.0,1687.0,household_agent_1,1001.0,41.0,household_agent_0,46.0,41.0,1733.0
5,,,157.0,2449.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,2496.0
6,,,189.0,2825.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,2872.0
7,,,221.0,3676.0,household_agent_1,1001.0,41.0,household_agent_0,49.0,41.0,3725.0
8,,,253.0,4041.0,household_agent_1,1001.0,41.0,household_agent_0,46.0,41.0,4087.0
9,,,285.0,4294.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,4342.0
10,,,317.0,5235.0,household_agent_1,1001.0,41.0,household_agent_0,46.0,41.0,5281.0
11,,,25.0,295.0,household_agent_0,1000.0,41.0,household_agent_1,41.0,41.0,336.0
12,,,26.0,295.0,household_agent_2,1002.0,41.0,household_agent_1,47.0,41.0,342.0
13,,,57.0,868.0,household_agent_0,1000.0,41.0,household_agent_1,48.0,41.0,916.0
14,,,58.0,868.0,household_agent_2,1002.0,41.0,household_agent_1,59.0,41.0,927.0
15,,,89.0,1469.0,household_agent_0,1000.0,41.0,household_agent_1,46.0,41.0,1515.0
16,,,90.0,1469.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,1521.0
17,,,121.0,1687.0,household_agent_0,1000.0,41.0,household_agent_1,45.0,41.0,1732.0
18,,,122.0,1687.0,household_agent_2,1002.0,41.0,household_agent_1,51.0,41.0,1738.0
19,,,153.0,2449.0,household_agent_0,1000.0,41.0,household_agent_1,43.0,41.0,2492.0
20,,,154.0,2449.0,household_agent_2,1002.0,41.0,household_agent_1,48.0,41.0,2497.0
21,,,185.0,2825.0,household_agent_0,1000.0,41.0,household_agent_1,44.0,41.0,2869.0
22,,,186.0,2825.0,household_agent_2,1002.0,41.0,household_agent_1,50.0,41.0,2875.0
23,,,217.0,3676.0,household_agent_0,1000.0,41.0,household_agent_1,41.0,41.0,3717.0
24,,,218.0,3676.0,household_agent_2,1002.0,41.0,household_agent_1,48.0,41.0,3724.0
25,,,249.0,4041.0,household_agent_0,1000.0,41.0,household_agent_1,45.0,41.0,4086.0
26,,,250.0,4041.0,household_agent_2,1002.0,41.0,household_agent_1,51.0,41.0,4092.0
27,,,281.0,4294.0,household_agent_0,1000.0,41.0,household_agent_1,46.0,41.0,4340.0
28,,,282.0,4294.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,4346.0
29,,,313.0,5235.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,5282.0
30,,,314.0,5235.0,household_agent_2,1002.0,41.0,household_agent_1,42.0,41.0,5277.0
31,,,21.0,295.0,household_agent_1,1001.0,41.0,household_agent_2,46.0,41.0,341.0
32,,,22.0,295.0,household_agent_3,1003.0,41.0,household_agent_2,41.0,41.0,336.0
33,,,53.0,868.0,household_agent_1,1001.0,41.0,household_agent_2,46.0,41.0,914.0
34,,,54.0,868.0,household_agent_3,1003.0,41.0,household_agent_2,52.0,41.0,920.0
35,,,85.0,1469.0,household_agent_1,1001.0,41.0,household_agent_2,42.0,41.0,1511.0
36,,,86.0,1469.0,household_agent_3,1003.0,41.0,household_agent_2,48.0,41.0,1517.0
37,,,117.0,1687.0,household_agent_1,1001.0,41.0,household_agent_2,42.0,41.0,1729.0
38,,,118.0,1687.0,household_agent_3,1003.0,41.0,household_agent_2,48.0,41.0,1735.0
39,,,149.0,2449.0,household_agent_1,1001.0,41.0,household_agent_2,43.0,41.0,2492.0
40,,,150.0,2449.0,household_agent_3,1003.0,41.0,household_agent_2,49.0,41.0,2498.0
41,,,181.0,2825.0,household_agent_1,1001.0,41.0,household_agent_2,44.0,41.0,2869.0
42,,,182.0,2825.0,household_agent_3,1003.0,41.0,household_agent_2,50.0,41.0,2875.0
43,,,213.0,3676.0,household_agent_1,1001.0,41.0,household_agent_2,50.0,41.0,3726.0
44,,,214.0,3676.0,household_agent_3,1003.0,41.0,household_agent_2,43.0,41.0,3719.0
