,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 04:23:44.739673,,,,,,,,,
1,Simulation configuration ID,78ce9945-ef5c-44fe-af8d-89c47af0b013,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,56.0,household_agent_3,1003.0,191.0,control_center_agent,19.0,191.0,75.0
1,,,16.0,66.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,114.0
2,,,17.0,66.0,household_agent_2,1002.0,191.0,household_agent_0,109.0,191.0,175.0
3,,,18.0,66.0,household_agent_8,1008.0,191.0,household_agent_0,172.0,191.0,238.0
4,,,19.0,66.0,generation_agent_3,1016.0,191.0,household_agent_0,311.0,191.0,377.0
5,,,62.0,95.0,household_agent_1,1001.0,191.0,household_agent_0,63.0,191.0,158.0
6,,,63.0,95.0,household_agent_2,1002.0,191.0,household_agent_0,110.0,191.0,205.0
7,,,64.0,95.0,household_agent_8,1008.0,191.0,household_agent_0,148.0,191.0,243.0
8,,,65.0,95.0,generation_agent_3,1016.0,191.0,household_agent_0,299.0,191.0,394.0
9,,,108.0,148.0,household_agent_1,1001.0,191.0,household_agent_0,42.0,191.0,190.0
10,,,109.0,148.0,household_agent_2,1002.0,191.0,household_agent_0,64.0,191.0,212.0
11,,,110.0,148.0,household_agent_8,1008.0,191.0,household_agent_0,326.0,191.0,474.0
12,,,111.0,148.0,generation_agent_3,1016.0,191.0,household_agent_0,283.0,191.0,431.0
13,,,154.0,211.0,household_agent_1,1001.0,191.0,household_agent_0,133.0,536.0,344.0
14,,,155.0,211.0,household_agent_2,1002.0,191.0,household_agent_0,105.0,191.0,316.0
15,,,156.0,211.0,household_agent_8,1008.0,191.0,household_agent_0,282.0,536.0,493.0
16,,,157.0,211.0,generation_agent_3,1016.0,191.0,household_agent_0,328.0,536.0,539.0
17,,,201.0,222.0,household_agent_2,1002.0,191.0,household_agent_0,132.0,382.0,354.0
18,,,246.0,242.0,household_agent_1,1001.0,191.0,household_agent_0,131.0,37.0,373.0
19,,,248.0,242.0,household_agent_8,1008.0,191.0,household_agent_0,389.0,536.0,631.0
20,,,249.0,242.0,generation_agent_3,1016.0,191.0,household_agent_0,393.0,228.0,635.0
21,,,292.0,261.0,household_agent_1,1001.0,191.0,household_agent_0,86.0,191.0,347.0
22,,,293.0,261.0,household_agent_2,1002.0,191.0,household_agent_0,99.0,191.0,360.0
23,,,338.0,280.0,household_agent_1,1001.0,191.0,household_agent_0,117.0,191.0,397.0
