,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 04:23:51.857357,,,,,,,,,
1,Simulation configuration ID,79fd35cb-df5d-41ae-b22c-c23310fabc12,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,88.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,108.0
1,,,0.0,88.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,122.0
2,,,1.0,251.0,household_agent_10,1010.0,991.0,aggregator_agent,49.0,536.0,300.0
3,,,1.0,251.0,household_agent_10,1010.0,991.0,aggregator_agent,85.0,455.0,336.0
4,,,109.0,2415.0,control_center_agent,1017.0,991.0,aggregator_agent,29.0,536.0,2444.0
5,,,109.0,2415.0,control_center_agent,1017.0,991.0,aggregator_agent,49.0,455.0,2464.0
6,,,29.0,477.0,household_agent_8,1008.0,991.0,household_agent_6,52.0,536.0,529.0
7,,,29.0,477.0,household_agent_8,1008.0,991.0,household_agent_6,92.0,455.0,569.0
8,,,55.0,996.0,household_agent_8,1008.0,991.0,household_agent_6,56.0,536.0,1052.0
9,,,55.0,996.0,household_agent_8,1008.0,991.0,household_agent_6,106.0,455.0,1102.0
10,,,81.0,1728.0,household_agent_8,1008.0,991.0,household_agent_6,53.0,536.0,1781.0
11,,,81.0,1728.0,household_agent_8,1008.0,991.0,household_agent_6,87.0,455.0,1815.0
12,,,107.0,2250.0,household_agent_8,1008.0,991.0,household_agent_6,56.0,536.0,2306.0
13,,,107.0,2250.0,household_agent_8,1008.0,991.0,household_agent_6,91.0,455.0,2341.0
14,,,26.0,477.0,household_agent_6,1006.0,991.0,household_agent_8,52.0,536.0,529.0
15,,,26.0,477.0,household_agent_6,1006.0,991.0,household_agent_8,91.0,455.0,568.0
16,,,26.0,477.0,household_agent_6,1006.0,991.0,household_agent_8,368.0,536.0,671.0
17,,,26.0,477.0,household_agent_6,1006.0,991.0,household_agent_8,859.0,455.0,1162.0
18,,,27.0,477.0,household_agent_2,1002.0,991.0,household_agent_8,65.0,536.0,542.0
19,,,27.0,477.0,household_agent_2,1002.0,991.0,household_agent_8,119.0,455.0,596.0
20,,,27.0,477.0,household_agent_2,1002.0,991.0,household_agent_8,971.0,536.0,1274.0
21,,,27.0,477.0,household_agent_2,1002.0,991.0,household_agent_8,1007.0,536.0,1310.0
22,,,52.0,996.0,household_agent_6,1006.0,991.0,household_agent_8,51.0,536.0,1047.0
23,,,52.0,996.0,household_agent_6,1006.0,991.0,household_agent_8,102.0,455.0,1098.0
24,,,52.0,996.0,household_agent_6,1006.0,991.0,household_agent_8,294.0,536.0,597.0
25,,,52.0,996.0,household_agent_6,1006.0,991.0,household_agent_8,365.0,455.0,668.0
26,,,53.0,996.0,household_agent_2,1002.0,991.0,household_agent_8,61.0,536.0,1057.0
27,,,53.0,996.0,household_agent_2,1002.0,991.0,household_agent_8,117.0,455.0,1113.0
28,,,53.0,996.0,household_agent_2,1002.0,991.0,household_agent_8,309.0,536.0,612.0
29,,,53.0,996.0,household_agent_2,1002.0,991.0,household_agent_8,377.0,455.0,680.0
30,,,78.0,1728.0,household_agent_6,1006.0,991.0,household_agent_8,50.0,536.0,1778.0
31,,,78.0,1728.0,household_agent_6,1006.0,991.0,household_agent_8,86.0,455.0,1814.0
32,,,79.0,1728.0,household_agent_2,1002.0,991.0,household_agent_8,61.0,536.0,1789.0
33,,,79.0,1728.0,household_agent_2,1002.0,991.0,household_agent_8,97.0,455.0,1825.0
34,,,104.0,2250.0,household_agent_6,1006.0,991.0,household_agent_8,50.0,536.0,2300.0
35,,,104.0,2250.0,household_agent_6,1006.0,991.0,household_agent_8,83.0,455.0,2333.0
36,,,105.0,2250.0,household_agent_2,1002.0,991.0,household_agent_8,64.0,536.0,2314.0
37,,,105.0,2250.0,household_agent_2,1002.0,991.0,household_agent_8,96.0,455.0,2346.0
38,,,22.0,477.0,household_agent_8,1008.0,991.0,household_agent_2,57.0,536.0,534.0
39,,,22.0,477.0,household_agent_8,1008.0,991.0,household_agent_2,94.0,455.0,571.0
40,,,22.0,477.0,household_agent_8,1008.0,991.0,household_agent_2,173.0,536.0,476.0
41,,,22.0,477.0,household_agent_8,1008.0,991.0,household_agent_2,285.0,455.0,588.0
42,,,23.0,477.0,household_agent_12,1012.0,991.0,household_agent_2,72.0,536.0,549.0
43,,,23.0,477.0,household_agent_12,1012.0,991.0,household_agent_2,122.0,455.0,599.0
44,,,23.0,477.0,household_agent_12,1012.0,991.0,household_agent_2,197.0,536.0,500.0
45,,,23.0,477.0,household_agent_12,1012.0,991.0,household_agent_2,299.0,455.0,602.0
46,,,48.0,996.0,household_agent_8,1008.0,991.0,household_agent_2,63.0,536.0,1059.0
47,,,48.0,996.0,household_agent_8,1008.0,991.0,household_agent_2,99.0,455.0,1095.0
48,,,49.0,996.0,household_agent_12,1012.0,991.0,household_agent_2,75.0,536.0,1071.0
49,,,49.0,996.0,household_agent_12,1012.0,991.0,household_agent_2,131.0,455.0,1127.0
50,,,49.0,996.0,household_agent_12,1012.0,991.0,household_agent_2,265.0,536.0,568.0
51,,,49.0,996.0,household_agent_12,1012.0,991.0,household_agent_2,321.0,455.0,624.0
52,,,74.0,1728.0,household_agent_8,1008.0,991.0,household_agent_2,55.0,536.0,1783.0
53,,,74.0,1728.0,household_agent_8,1008.0,991.0,household_agent_2,88.0,455.0,1816.0
54,,,75.0,1728.0,household_agent_12,1012.0,991.0,household_agent_2,72.0,536.0,1800.0
55,,,75.0,1728.0,household_agent_12,1012.0,991.0,household_agent_2,113.0,455.0,1841.0
