,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 19:11:57.770592,,,,,,,,,
1,Simulation configuration ID,805e8c60-0dc9-45ae-aeac-4438f07bd74b,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,15.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,34.0
1,,,1.0,182.0,household_agent_10,1010.0,41.0,aggregator_agent,47.0,41.0,229.0
2,,,120.0,24648.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,24676.0
3,,,29.0,4482.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,4527.0
4,,,30.0,4482.0,generation_agent_3,1016.0,41.0,household_agent_0,55.0,41.0,4537.0
5,,,85.0,26259.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,26304.0
6,,,86.0,26259.0,generation_agent_3,1016.0,41.0,household_agent_0,55.0,41.0,26314.0
7,,,12.0,4482.0,household_agent_0,1000.0,41.0,household_agent_1,46.0,41.0,4528.0
8,,,13.0,4482.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,4534.0
9,,,14.0,4482.0,household_agent_10,1010.0,41.0,household_agent_1,68.0,41.0,4550.0
10,,,15.0,4482.0,household_agent_4,1004.0,41.0,household_agent_1,79.0,41.0,4561.0
11,,,16.0,4482.0,household_agent_8,1008.0,41.0,household_agent_1,90.0,41.0,4572.0
12,,,17.0,4482.0,generation_agent_1,1014.0,41.0,household_agent_1,129.0,41.0,4611.0
13,,,68.0,26259.0,household_agent_0,1000.0,41.0,household_agent_1,46.0,41.0,26305.0
14,,,69.0,26259.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,26311.0
15,,,70.0,26259.0,household_agent_10,1010.0,41.0,household_agent_1,65.0,41.0,26324.0
16,,,71.0,26259.0,household_agent_4,1004.0,41.0,household_agent_1,74.0,41.0,26333.0
17,,,72.0,26259.0,household_agent_8,1008.0,41.0,household_agent_1,85.0,41.0,26344.0
18,,,73.0,26259.0,generation_agent_1,1014.0,41.0,household_agent_1,124.0,41.0,26383.0
