,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 18:34:23.651458,,,,,,,,,
1,Simulation configuration ID,8bfc8742-c104-4725-91f1-bbdd5ecdefde,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,73.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,92.0
1,,,1.0,169.0,household_agent_6,1006.0,41.0,aggregator_agent,41.0,41.0,210.0
2,,,109.0,1679.0,control_center_agent,1017.0,41.0,aggregator_agent,22.0,41.0,1701.0
3,,,31.0,644.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,692.0
4,,,32.0,644.0,household_agent_3,1003.0,41.0,household_agent_0,53.0,41.0,697.0
5,,,33.0,644.0,household_agent_11,1011.0,41.0,household_agent_0,58.0,41.0,702.0
6,,,34.0,644.0,generation_agent_3,1016.0,41.0,household_agent_0,69.0,41.0,713.0
7,,,83.0,1584.0,household_agent_1,1001.0,41.0,household_agent_0,52.0,41.0,1636.0
8,,,84.0,1584.0,household_agent_3,1003.0,41.0,household_agent_0,41.0,41.0,1625.0
9,,,85.0,1584.0,household_agent_11,1011.0,41.0,household_agent_0,48.0,41.0,1632.0
10,,,86.0,1584.0,generation_agent_3,1016.0,41.0,household_agent_0,58.0,41.0,1642.0
11,,,44.0,644.0,household_agent_0,1000.0,41.0,household_agent_1,53.0,41.0,697.0
12,,,45.0,644.0,household_agent_2,1002.0,41.0,household_agent_1,64.0,41.0,708.0
13,,,46.0,644.0,household_agent_10,1010.0,41.0,household_agent_1,70.0,41.0,714.0
14,,,96.0,1584.0,household_agent_0,1000.0,41.0,household_agent_1,51.0,41.0,1635.0
15,,,97.0,1584.0,household_agent_2,1002.0,41.0,household_agent_1,57.0,41.0,1641.0
16,,,98.0,1584.0,household_agent_10,1010.0,41.0,household_agent_1,68.0,41.0,1652.0
17,,,35.0,644.0,household_agent_1,1001.0,41.0,household_agent_2,54.0,41.0,698.0
18,,,36.0,644.0,household_agent_3,1003.0,41.0,household_agent_2,47.0,41.0,691.0
19,,,37.0,644.0,generation_agent_2,1015.0,41.0,household_agent_2,58.0,41.0,702.0
20,,,87.0,1584.0,household_agent_1,1001.0,41.0,household_agent_2,51.0,41.0,1635.0
21,,,88.0,1584.0,household_agent_3,1003.0,41.0,household_agent_2,43.0,41.0,1627.0
22,,,89.0,1584.0,generation_agent_2,1015.0,41.0,household_agent_2,56.0,41.0,1640.0
23,,,16.0,644.0,household_agent_0,1000.0,41.0,household_agent_3,49.0,41.0,693.0
24,,,17.0,644.0,household_agent_2,1002.0,41.0,household_agent_3,43.0,41.0,687.0
25,,,18.0,644.0,household_agent_4,1004.0,41.0,household_agent_3,54.0,41.0,698.0
26,,,19.0,644.0,household_agent_11,1011.0,41.0,household_agent_3,65.0,41.0,709.0
27,,,20.0,644.0,household_agent_5,1005.0,41.0,household_agent_3,71.0,41.0,715.0
28,,,68.0,1584.0,household_agent_0,1000.0,41.0,household_agent_3,48.0,41.0,1632.0
29,,,69.0,1584.0,household_agent_2,1002.0,41.0,household_agent_3,58.0,41.0,1642.0
30,,,70.0,1584.0,household_agent_4,1004.0,41.0,household_agent_3,41.0,41.0,1625.0
31,,,71.0,1584.0,household_agent_11,1011.0,41.0,household_agent_3,64.0,41.0,1648.0
32,,,72.0,1584.0,household_agent_5,1005.0,41.0,household_agent_3,69.0,41.0,1653.0
33,,,13.0,644.0,household_agent_3,1003.0,41.0,household_agent_4,42.0,41.0,686.0
34,,,14.0,644.0,household_agent_5,1005.0,41.0,household_agent_4,48.0,41.0,692.0
35,,,15.0,644.0,household_agent_12,1012.0,41.0,household_agent_4,53.0,41.0,697.0
36,,,65.0,1584.0,household_agent_3,1003.0,41.0,household_agent_4,42.0,41.0,1626.0
37,,,66.0,1584.0,household_agent_5,1005.0,41.0,household_agent_4,48.0,41.0,1632.0
38,,,67.0,1584.0,household_agent_12,1012.0,41.0,household_agent_4,53.0,41.0,1637.0
39,,,6.0,644.0,household_agent_4,1004.0,41.0,household_agent_5,41.0,41.0,685.0
40,,,7.0,644.0,household_agent_6,1006.0,41.0,household_agent_5,47.0,41.0,691.0
41,,,8.0,644.0,household_agent_3,1003.0,41.0,household_agent_5,52.0,41.0,696.0
42,,,58.0,1584.0,household_agent_4,1004.0,41.0,household_agent_5,48.0,41.0,1632.0
43,,,59.0,1584.0,household_agent_6,1006.0,41.0,household_agent_5,41.0,41.0,1625.0
44,,,60.0,1584.0,household_agent_3,1003.0,41.0,household_agent_5,52.0,41.0,1636.0
45,,,2.0,338.0,household_agent_5,1005.0,41.0,household_agent_6,41.0,41.0,379.0
46,,,3.0,338.0,household_agent_7,1007.0,41.0,household_agent_6,47.0,41.0,385.0
47,,,4.0,644.0,household_agent_5,1005.0,41.0,household_agent_6,45.0,41.0,689.0
48,,,5.0,644.0,household_agent_7,1007.0,41.0,household_agent_6,51.0,41.0,695.0
49,,,56.0,1584.0,household_agent_5,1005.0,41.0,household_agent_6,42.0,41.0,1626.0
50,,,57.0,1584.0,household_agent_7,1007.0,41.0,household_agent_6,48.0,41.0,1632.0
51,,,108.0,1562.0,aggregator_agent,1019.0,41.0,household_agent_6,41.0,41.0,1603.0
52,,,9.0,644.0,household_agent_6,1006.0,41.0,household_agent_7,45.0,41.0,689.0
53,,,10.0,644.0,household_agent_8,1008.0,41.0,household_agent_7,51.0,41.0,695.0
54,,,11.0,644.0,household_agent_10,1010.0,41.0,household_agent_7,56.0,41.0,700.0
55,,,12.0,644.0,household_agent_12,1012.0,41.0,household_agent_7,67.0,41.0,711.0
56,,,61.0,1584.0,household_agent_6,1006.0,41.0,household_agent_7,43.0,41.0,1627.0
57,,,62.0,1584.0,household_agent_8,1008.0,41.0,household_agent_7,49.0,41.0,1633.0
58,,,63.0,1584.0,household_agent_10,1010.0,41.0,household_agent_7,54.0,41.0,1638.0
59,,,64.0,1584.0,household_agent_12,1012.0,41.0,household_agent_7,65.0,41.0,1649.0
60,,,21.0,644.0,household_agent_7,1007.0,41.0,household_agent_8,43.0,41.0,687.0
61,,,22.0,644.0,household_agent_9,1009.0,41.0,household_agent_8,49.0,41.0,693.0
62,,,73.0,1584.0,household_agent_7,1007.0,41.0,household_agent_8,43.0,41.0,1627.0
63,,,74.0,1584.0,household_agent_9,1009.0,41.0,household_agent_8,49.0,41.0,1633.0
64,,,42.0,644.0,household_agent_8,1008.0,41.0,household_agent_9,41.0,41.0,685.0
65,,,43.0,644.0,household_agent_10,1010.0,41.0,household_agent_9,48.0,41.0,692.0
66,,,94.0,1584.0,household_agent_8,1008.0,41.0,household_agent_9,44.0,41.0,1628.0
67,,,95.0,1584.0,household_agent_10,1010.0,41.0,household_agent_9,51.0,41.0,1635.0
68,,,23.0,644.0,household_agent_7,1007.0,41.0,household_agent_10,45.0,41.0,689.0
69,,,24.0,644.0,household_agent_9,1009.0,41.0,household_agent_10,51.0,41.0,695.0
70,,,25.0,644.0,household_agent_11,1011.0,41.0,household_agent_10,56.0,41.0,700.0
71,,,26.0,644.0,household_agent_1,1001.0,41.0,household_agent_10,67.0,41.0,711.0
72,,,75.0,1584.0,household_agent_7,1007.0,41.0,household_agent_10,45.0,41.0,1629.0
73,,,76.0,1584.0,household_agent_9,1009.0,41.0,household_agent_10,51.0,41.0,1635.0
74,,,77.0,1584.0,household_agent_11,1011.0,41.0,household_agent_10,56.0,41.0,1640.0
75,,,78.0,1584.0,household_agent_1,1001.0,41.0,household_agent_10,67.0,41.0,1651.0
76,,,38.0,644.0,household_agent_3,1003.0,41.0,household_agent_11,48.0,41.0,692.0
77,,,39.0,644.0,household_agent_10,1010.0,41.0,household_agent_11,42.0,41.0,686.0
78,,,40.0,644.0,household_agent_12,1012.0,41.0,household_agent_11,54.0,41.0,698.0
79,,,41.0,644.0,household_agent_0,1000.0,41.0,household_agent_11,58.0,41.0,702.0
80,,,90.0,1584.0,household_agent_3,1003.0,41.0,household_agent_11,44.0,41.0,1628.0
81,,,91.0,1584.0,household_agent_10,1010.0,41.0,household_agent_11,50.0,41.0,1634.0
82,,,92.0,1584.0,household_agent_12,1012.0,41.0,household_agent_11,55.0,41.0,1639.0
83,,,93.0,1584.0,household_agent_0,1000.0,41.0,household_agent_11,61.0,41.0,1645.0
84,,,27.0,644.0,household_agent_4,1004.0,41.0,household_agent_12,44.0,41.0,688.0
85,,,28.0,644.0,household_agent_11,1011.0,41.0,household_agent_12,50.0,41.0,694.0
86,,,29.0,644.0,generation_agent_0,1013.0,41.0,household_agent_12,55.0,41.0,699.0
87,,,30.0,644.0,household_agent_7,1007.0,41.0,household_agent_12,61.0,41.0,705.0
88,,,79.0,1584.0,household_agent_4,1004.0,41.0,household_agent_12,42.0,41.0,1626.0
89,,,80.0,1584.0,household_agent_11,1011.0,41.0,household_agent_12,47.0,41.0,1631.0
90,,,81.0,1584.0,generation_agent_0,1013.0,41.0,household_agent_12,52.0,41.0,1636.0
91,,,82.0,1584.0,household_agent_7,1007.0,41.0,household_agent_12,58.0,41.0,1642.0
92,,,47.0,644.0,household_agent_12,1012.0,41.0,generation_agent_0,41.0,41.0,685.0
93,,,48.0,644.0,generation_agent_1,1014.0,41.0,generation_agent_0,47.0,41.0,691.0
94,,,99.0,1584.0,household_agent_12,1012.0,41.0,generation_agent_0,45.0,41.0,1629.0
95,,,100.0,1584.0,generation_agent_1,1014.0,41.0,generation_agent_0,51.0,41.0,1635.0
96,,,54.0,644.0,generation_agent_0,1013.0,41.0,generation_agent_1,45.0,41.0,689.0
97,,,55.0,644.0,generation_agent_2,1015.0,41.0,generation_agent_1,51.0,41.0,695.0
98,,,106.0,1584.0,generation_agent_0,1013.0,41.0,generation_agent_1,46.0,41.0,1630.0
99,,,107.0,1584.0,generation_agent_2,1015.0,41.0,generation_agent_1,52.0,41.0,1636.0
100,,,51.0,644.0,household_agent_2,1002.0,41.0,generation_agent_2,56.0,41.0,700.0
101,,,52.0,644.0,generation_agent_1,1014.0,41.0,generation_agent_2,61.0,41.0,705.0
102,,,53.0,644.0,generation_agent_3,1016.0,41.0,generation_agent_2,67.0,41.0,711.0
103,,,103.0,1584.0,household_agent_2,1002.0,41.0,generation_agent_2,54.0,41.0,1638.0
104,,,104.0,1584.0,generation_agent_1,1014.0,41.0,generation_agent_2,53.0,41.0,1637.0
105,,,105.0,1584.0,generation_agent_3,1016.0,41.0,generation_agent_2,59.0,41.0,1643.0
106,,,49.0,644.0,generation_agent_2,1015.0,41.0,generation_agent_3,55.0,41.0,699.0
107,,,50.0,644.0,household_agent_0,1000.0,41.0,generation_agent_3,42.0,41.0,686.0
108,,,101.0,1584.0,generation_agent_2,1015.0,41.0,generation_agent_3,67.0,41.0,1651.0
109,,,102.0,1584.0,household_agent_0,1000.0,41.0,generation_agent_3,49.0,41.0,1633.0
