,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 12:42:01.233633,,,,,,,,,
1,Simulation configuration ID,9c062912-7e9a-4756-baea-e8e0b9d09fac,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,32.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,52.0
1,,,0.0,32.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,66.0
2,,,1.0,212.0,household_agent_7,1007.0,991.0,aggregator_agent,49.0,536.0,261.0
3,,,1.0,212.0,household_agent_7,1007.0,991.0,aggregator_agent,83.0,455.0,295.0
4,,,30.0,23946.0,household_agent_1,1001.0,991.0,household_agent_0,51.0,536.0,23997.0
5,,,30.0,23946.0,household_agent_1,1001.0,991.0,household_agent_0,89.0,455.0,24035.0
6,,,26.0,23946.0,household_agent_0,1000.0,991.0,household_agent_1,52.0,536.0,23998.0
7,,,26.0,23946.0,household_agent_0,1000.0,991.0,household_agent_1,91.0,455.0,24037.0
8,,,27.0,23946.0,household_agent_2,1002.0,991.0,household_agent_1,71.0,536.0,24017.0
9,,,27.0,23946.0,household_agent_2,1002.0,991.0,household_agent_1,109.0,455.0,24055.0
10,,,22.0,23946.0,household_agent_1,1001.0,991.0,household_agent_2,59.0,536.0,24005.0
11,,,22.0,23946.0,household_agent_1,1001.0,991.0,household_agent_2,101.0,455.0,24047.0
12,,,23.0,23946.0,household_agent_3,1003.0,991.0,household_agent_2,74.0,536.0,24020.0
13,,,23.0,23946.0,household_agent_3,1003.0,991.0,household_agent_2,112.0,455.0,24058.0
14,,,18.0,23946.0,household_agent_2,1002.0,991.0,household_agent_3,49.0,536.0,23995.0
15,,,18.0,23946.0,household_agent_2,1002.0,991.0,household_agent_3,95.0,455.0,24041.0
16,,,19.0,23946.0,household_agent_4,1004.0,991.0,household_agent_3,66.0,536.0,24012.0
17,,,19.0,23946.0,household_agent_4,1004.0,991.0,household_agent_3,108.0,455.0,24054.0
18,,,14.0,23946.0,household_agent_3,1003.0,991.0,household_agent_4,65.0,536.0,24011.0
19,,,14.0,23946.0,household_agent_3,1003.0,991.0,household_agent_4,103.0,455.0,24049.0
20,,,15.0,23946.0,household_agent_5,1005.0,991.0,household_agent_4,82.0,536.0,24028.0
21,,,15.0,23946.0,household_agent_5,1005.0,991.0,household_agent_4,125.0,455.0,24071.0
22,,,10.0,23946.0,household_agent_4,1004.0,991.0,household_agent_5,46.0,536.0,23992.0
23,,,10.0,23946.0,household_agent_4,1004.0,991.0,household_agent_5,102.0,455.0,24048.0
24,,,11.0,23946.0,household_agent_6,1006.0,991.0,household_agent_5,64.0,536.0,24010.0
25,,,11.0,23946.0,household_agent_6,1006.0,991.0,household_agent_5,113.0,455.0,24059.0
26,,,6.0,23946.0,household_agent_5,1005.0,991.0,household_agent_6,67.0,536.0,24013.0
27,,,6.0,23946.0,household_agent_5,1005.0,991.0,household_agent_6,114.0,455.0,24060.0
28,,,7.0,23946.0,household_agent_7,1007.0,991.0,household_agent_6,65.0,536.0,24011.0
29,,,7.0,23946.0,household_agent_7,1007.0,991.0,household_agent_6,104.0,455.0,24050.0
30,,,2.0,14360.0,household_agent_6,1006.0,991.0,household_agent_7,49.0,536.0,14409.0
31,,,2.0,14360.0,household_agent_6,1006.0,991.0,household_agent_7,83.0,455.0,14443.0
32,,,3.0,14360.0,household_agent_8,1008.0,991.0,household_agent_7,61.0,536.0,14421.0
33,,,3.0,14360.0,household_agent_8,1008.0,991.0,household_agent_7,95.0,455.0,14455.0
34,,,4.0,23946.0,household_agent_6,1006.0,991.0,household_agent_7,83.0,536.0,24029.0
35,,,4.0,23946.0,household_agent_6,1006.0,991.0,household_agent_7,122.0,455.0,24068.0
36,,,5.0,23946.0,household_agent_8,1008.0,991.0,household_agent_7,96.0,536.0,24042.0
37,,,5.0,23946.0,household_agent_8,1008.0,991.0,household_agent_7,131.0,455.0,24077.0
38,,,8.0,23946.0,household_agent_7,1007.0,991.0,household_agent_8,75.0,536.0,24021.0
39,,,8.0,23946.0,household_agent_7,1007.0,991.0,household_agent_8,115.0,455.0,24061.0
40,,,9.0,23946.0,household_agent_9,1009.0,991.0,household_agent_8,78.0,536.0,24024.0
