,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 00:09:28.271384,,,,,,,,,
1,Simulation configuration ID,9c2e69d5-e7fc-4585-9690-36b94ff6b413,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 20 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,1.0,aggregator_agent,1019.0,191.0,control_center_agent,20.0,191.0,21.0
1,,,1.0,61.0,generation_agent_0,1013.0,191.0,aggregator_agent,47.0,191.0,108.0
2,,,83.0,276.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,304.0
3,,,29.0,35.0,household_agent_11,1011.0,191.0,household_agent_4,49.0,191.0,84.0
4,,,55.0,109.0,household_agent_11,1011.0,191.0,household_agent_4,47.0,191.0,156.0
5,,,81.0,197.0,household_agent_11,1011.0,191.0,household_agent_4,50.0,191.0,247.0
6,,,27.0,35.0,household_agent_4,1004.0,191.0,household_agent_11,48.0,191.0,83.0
7,,,28.0,35.0,household_agent_9,1009.0,191.0,household_agent_11,53.0,191.0,88.0
8,,,53.0,109.0,household_agent_4,1004.0,191.0,household_agent_11,50.0,191.0,159.0
9,,,54.0,109.0,household_agent_9,1009.0,191.0,household_agent_11,52.0,191.0,161.0
10,,,79.0,197.0,household_agent_4,1004.0,191.0,household_agent_11,48.0,191.0,245.0
11,,,80.0,197.0,household_agent_9,1009.0,191.0,household_agent_11,53.0,191.0,250.0
12,,,25.0,35.0,household_agent_11,1011.0,191.0,household_agent_9,47.0,191.0,82.0
13,,,26.0,35.0,household_agent_10,1010.0,191.0,household_agent_9,52.0,191.0,87.0
14,,,51.0,109.0,household_agent_11,1011.0,191.0,household_agent_9,51.0,191.0,160.0
15,,,52.0,109.0,household_agent_10,1010.0,191.0,household_agent_9,52.0,191.0,161.0
16,,,77.0,197.0,household_agent_11,1011.0,191.0,household_agent_9,49.0,191.0,246.0
17,,,78.0,197.0,household_agent_10,1010.0,191.0,household_agent_9,53.0,191.0,250.0
18,,,23.0,35.0,household_agent_9,1009.0,191.0,household_agent_10,49.0,191.0,84.0
19,,,24.0,35.0,household_agent_2,1002.0,191.0,household_agent_10,54.0,191.0,89.0
20,,,49.0,109.0,household_agent_9,1009.0,191.0,household_agent_10,47.0,191.0,156.0
21,,,50.0,109.0,household_agent_2,1002.0,191.0,household_agent_10,52.0,191.0,161.0
22,,,75.0,197.0,household_agent_9,1009.0,191.0,household_agent_10,47.0,191.0,244.0
23,,,76.0,197.0,household_agent_2,1002.0,191.0,household_agent_10,52.0,191.0,249.0
24,,,21.0,35.0,household_agent_10,1010.0,191.0,household_agent_2,47.0,191.0,82.0
25,,,22.0,35.0,household_agent_7,1007.0,191.0,household_agent_2,58.0,191.0,93.0
26,,,47.0,109.0,household_agent_10,1010.0,191.0,household_agent_2,48.0,191.0,157.0
27,,,48.0,109.0,household_agent_7,1007.0,191.0,household_agent_2,59.0,191.0,168.0
28,,,73.0,197.0,household_agent_10,1010.0,191.0,household_agent_2,48.0,191.0,245.0
29,,,74.0,197.0,household_agent_7,1007.0,191.0,household_agent_2,59.0,191.0,256.0
30,,,19.0,35.0,household_agent_2,1002.0,191.0,household_agent_7,48.0,191.0,83.0
31,,,20.0,35.0,household_agent_5,1005.0,191.0,household_agent_7,59.0,191.0,94.0
32,,,45.0,109.0,household_agent_2,1002.0,191.0,household_agent_7,51.0,191.0,160.0
33,,,46.0,109.0,household_agent_5,1005.0,191.0,household_agent_7,58.0,191.0,167.0
34,,,71.0,197.0,household_agent_2,1002.0,191.0,household_agent_7,49.0,191.0,246.0
35,,,72.0,197.0,household_agent_5,1005.0,191.0,household_agent_7,58.0,191.0,255.0
36,,,17.0,35.0,household_agent_7,1007.0,191.0,household_agent_5,47.0,191.0,82.0
37,,,18.0,35.0,household_agent_3,1003.0,191.0,household_agent_5,58.0,191.0,93.0
38,,,43.0,109.0,household_agent_7,1007.0,191.0,household_agent_5,49.0,191.0,158.0
39,,,44.0,109.0,household_agent_3,1003.0,191.0,household_agent_5,59.0,191.0,168.0
40,,,69.0,197.0,household_agent_7,1007.0,191.0,household_agent_5,48.0,191.0,245.0
41,,,70.0,197.0,household_agent_3,1003.0,191.0,household_agent_5,59.0,191.0,256.0
42,,,14.0,35.0,household_agent_5,1005.0,191.0,household_agent_3,48.0,191.0,83.0
43,,,15.0,35.0,household_agent_12,1012.0,191.0,household_agent_3,58.0,191.0,93.0
44,,,40.0,109.0,household_agent_5,1005.0,191.0,household_agent_3,50.0,191.0,159.0
45,,,41.0,109.0,household_agent_12,1012.0,191.0,household_agent_3,58.0,191.0,167.0
46,,,66.0,197.0,household_agent_5,1005.0,191.0,household_agent_3,49.0,191.0,246.0
47,,,67.0,197.0,household_agent_12,1012.0,191.0,household_agent_3,58.0,191.0,255.0
48,,,10.0,35.0,household_agent_3,1003.0,191.0,household_agent_12,49.0,191.0,84.0
49,,,11.0,35.0,household_agent_0,1000.0,191.0,household_agent_12,60.0,191.0,95.0
50,,,36.0,109.0,household_agent_3,1003.0,191.0,household_agent_12,49.0,191.0,158.0
51,,,37.0,109.0,household_agent_0,1000.0,191.0,household_agent_12,60.0,191.0,169.0
52,,,62.0,197.0,household_agent_3,1003.0,191.0,household_agent_12,47.0,191.0,244.0
53,,,63.0,197.0,household_agent_0,1000.0,191.0,household_agent_12,58.0,191.0,255.0
54,,,6.0,35.0,household_agent_12,1012.0,191.0,household_agent_0,48.0,191.0,83.0
55,,,7.0,35.0,generation_agent_0,1013.0,191.0,household_agent_0,58.0,191.0,93.0
56,,,32.0,109.0,household_agent_12,1012.0,191.0,household_agent_0,43.0,191.0,152.0
57,,,33.0,109.0,generation_agent_0,1013.0,191.0,household_agent_0,54.0,191.0,163.0
58,,,58.0,197.0,household_agent_12,1012.0,191.0,household_agent_0,49.0,191.0,246.0
59,,,59.0,197.0,generation_agent_0,1013.0,191.0,household_agent_0,59.0,191.0,256.0
60,,,2.0,57.0,household_agent_0,1000.0,191.0,generation_agent_0,81.0,191.0,138.0
61,,,3.0,57.0,generation_agent_1,1014.0,191.0,generation_agent_0,102.0,191.0,159.0
62,,,4.0,35.0,household_agent_0,1000.0,191.0,generation_agent_0,69.0,191.0,104.0
63,,,5.0,35.0,generation_agent_1,1014.0,191.0,generation_agent_0,75.0,191.0,110.0
64,,,30.0,109.0,household_agent_0,1000.0,191.0,generation_agent_0,45.0,191.0,154.0
65,,,31.0,109.0,generation_agent_1,1014.0,191.0,generation_agent_0,56.0,191.0,165.0
66,,,56.0,197.0,household_agent_0,1000.0,191.0,generation_agent_0,47.0,191.0,244.0
67,,,57.0,197.0,generation_agent_1,1014.0,191.0,generation_agent_0,52.0,191.0,249.0
68,,,82.0,229.0,aggregator_agent,1019.0,191.0,generation_agent_0,60.0,191.0,289.0
69,,,8.0,35.0,generation_agent_0,1013.0,191.0,generation_agent_1,49.0,191.0,84.0
70,,,9.0,35.0,generation_agent_2,1015.0,191.0,generation_agent_1,60.0,191.0,95.0
71,,,34.0,109.0,generation_agent_0,1013.0,191.0,generation_agent_1,49.0,191.0,158.0
72,,,35.0,109.0,generation_agent_2,1015.0,191.0,generation_agent_1,54.0,191.0,163.0
73,,,60.0,197.0,generation_agent_0,1013.0,191.0,generation_agent_1,51.0,191.0,248.0
74,,,61.0,197.0,generation_agent_2,1015.0,191.0,generation_agent_1,56.0,191.0,253.0
75,,,12.0,35.0,generation_agent_1,1014.0,191.0,generation_agent_2,50.0,191.0,85.0
76,,,13.0,35.0,generation_agent_3,1016.0,191.0,generation_agent_2,61.0,191.0,96.0
77,,,38.0,109.0,generation_agent_1,1014.0,191.0,generation_agent_2,47.0,191.0,156.0
78,,,39.0,109.0,generation_agent_3,1016.0,191.0,generation_agent_2,58.0,191.0,167.0
79,,,64.0,197.0,generation_agent_1,1014.0,191.0,generation_agent_2,48.0,191.0,245.0
80,,,65.0,197.0,generation_agent_3,1016.0,191.0,generation_agent_2,59.0,191.0,256.0
81,,,16.0,35.0,generation_agent_2,1015.0,191.0,generation_agent_3,50.0,191.0,85.0
82,,,42.0,109.0,generation_agent_2,1015.0,191.0,generation_agent_3,52.0,191.0,161.0
83,,,68.0,197.0,generation_agent_2,1015.0,191.0,generation_agent_3,52.0,191.0,249.0
