,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 22:33:45.184697,,,,,,,,,
1,Simulation configuration ID,9eacff27-959a-477d-afbb-99c889673d0b,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,56.0,aggregator_agent,1019.0,991.0,control_center_agent,19.0,536.0,75.0
1,,,0.0,56.0,aggregator_agent,1019.0,991.0,control_center_agent,33.0,455.0,89.0
2,,,1.0,252.0,household_agent_10,1010.0,991.0,aggregator_agent,47.0,536.0,299.0
3,,,1.0,252.0,household_agent_10,1010.0,991.0,aggregator_agent,81.0,455.0,333.0
4,,,101.0,3217.0,control_center_agent,1017.0,991.0,aggregator_agent,28.0,536.0,3245.0
5,,,101.0,3217.0,control_center_agent,1017.0,991.0,aggregator_agent,48.0,455.0,3265.0
6,,,35.0,705.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,757.0
7,,,35.0,705.0,household_agent_1,1001.0,991.0,household_agent_0,84.0,455.0,789.0
8,,,67.0,908.0,household_agent_1,1001.0,991.0,household_agent_0,53.0,536.0,961.0
9,,,67.0,908.0,household_agent_1,1001.0,991.0,household_agent_0,87.0,455.0,995.0
10,,,99.0,1844.0,household_agent_1,1001.0,991.0,household_agent_0,54.0,536.0,1898.0
11,,,99.0,1844.0,household_agent_1,1001.0,991.0,household_agent_0,88.0,455.0,1932.0
12,,,33.0,705.0,household_agent_0,1000.0,991.0,household_agent_1,52.0,536.0,757.0
