,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 16:08:35.231177,,,,,,,,,
1,Simulation configuration ID,9f823996-1505-45e1-a99c-ecf2d570d4df,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,85.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,104.0
1,,,1.0,235.0,household_agent_4,1004.0,191.0,aggregator_agent,47.0,191.0,282.0
2,,,3011.0,7679.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,7707.0
3,,,34.0,979.0,household_agent_1,1001.0,191.0,household_agent_0,118.0,191.0,1097.0
4,,,35.0,979.0,household_agent_2,1002.0,191.0,household_agent_0,167.0,191.0,1146.0
5,,,36.0,979.0,household_agent_3,1003.0,191.0,household_agent_0,99.0,191.0,1078.0
6,,,37.0,979.0,household_agent_4,1004.0,191.0,household_agent_0,67.0,191.0,1046.0
7,,,38.0,979.0,household_agent_5,1005.0,191.0,household_agent_0,145.0,191.0,1124.0
8,,,39.0,979.0,household_agent_6,1006.0,191.0,household_agent_0,124.0,191.0,1103.0
9,,,40.0,979.0,household_agent_7,1007.0,191.0,household_agent_0,159.0,191.0,1138.0
10,,,41.0,979.0,household_agent_8,1008.0,191.0,household_agent_0,255.0,191.0,1234.0
11,,,42.0,979.0,household_agent_9,1009.0,191.0,household_agent_0,250.0,191.0,1229.0
12,,,43.0,979.0,household_agent_10,1010.0,191.0,household_agent_0,392.0,191.0,1371.0
13,,,44.0,979.0,household_agent_11,1011.0,191.0,household_agent_0,355.0,191.0,1334.0
14,,,45.0,979.0,household_agent_12,1012.0,191.0,household_agent_0,429.0,191.0,1408.0
15,,,46.0,979.0,generation_agent_0,1013.0,191.0,household_agent_0,223.0,191.0,1202.0
16,,,47.0,979.0,generation_agent_1,1014.0,191.0,household_agent_0,510.0,191.0,1489.0
17,,,48.0,979.0,generation_agent_2,1015.0,191.0,household_agent_0,447.0,191.0,1426.0
18,,,49.0,979.0,generation_agent_3,1016.0,191.0,household_agent_0,584.0,191.0,1563.0
19,,,306.0,1192.0,household_agent_1,1001.0,191.0,household_agent_0,177.0,191.0,1369.0
20,,,307.0,1192.0,household_agent_2,1002.0,191.0,household_agent_0,151.0,191.0,1343.0
21,,,308.0,1192.0,household_agent_3,1003.0,191.0,household_agent_0,117.0,191.0,1309.0
22,,,309.0,1192.0,household_agent_4,1004.0,191.0,household_agent_0,170.0,191.0,1362.0
23,,,310.0,1192.0,household_agent_5,1005.0,191.0,household_agent_0,206.0,191.0,1398.0
24,,,311.0,1192.0,household_agent_6,1006.0,191.0,household_agent_0,247.0,191.0,1439.0
25,,,312.0,1192.0,household_agent_7,1007.0,191.0,household_agent_0,114.0,191.0,1306.0
26,,,313.0,1192.0,household_agent_8,1008.0,191.0,household_agent_0,105.0,191.0,1297.0
27,,,314.0,1192.0,household_agent_9,1009.0,191.0,household_agent_0,148.0,191.0,1340.0
28,,,315.0,1192.0,household_agent_10,1010.0,191.0,household_agent_0,300.0,191.0,1492.0
29,,,316.0,1192.0,household_agent_11,1011.0,191.0,household_agent_0,211.0,191.0,1403.0
30,,,317.0,1192.0,household_agent_12,1012.0,191.0,household_agent_0,286.0,191.0,1478.0
31,,,318.0,1192.0,generation_agent_0,1013.0,191.0,household_agent_0,201.0,191.0,1393.0
32,,,319.0,1192.0,generation_agent_1,1014.0,191.0,household_agent_0,358.0,191.0,1550.0
33,,,320.0,1192.0,generation_agent_2,1015.0,191.0,household_agent_0,356.0,191.0,1548.0
34,,,321.0,1192.0,generation_agent_3,1016.0,191.0,household_agent_0,421.0,191.0,1613.0
35,,,578.0,2122.0,household_agent_1,1001.0,191.0,household_agent_0,68.0,191.0,2190.0
36,,,579.0,2122.0,household_agent_2,1002.0,191.0,household_agent_0,173.0,191.0,2295.0
37,,,580.0,2122.0,household_agent_3,1003.0,191.0,household_agent_0,123.0,191.0,2245.0
38,,,581.0,2122.0,household_agent_4,1004.0,191.0,household_agent_0,90.0,191.0,2212.0
39,,,582.0,2122.0,household_agent_5,1005.0,191.0,household_agent_0,168.0,191.0,2290.0
40,,,583.0,2122.0,household_agent_6,1006.0,191.0,household_agent_0,137.0,191.0,2259.0
41,,,584.0,2122.0,household_agent_7,1007.0,191.0,household_agent_0,135.0,191.0,2257.0
42,,,585.0,2122.0,household_agent_8,1008.0,191.0,household_agent_0,265.0,191.0,2387.0
43,,,586.0,2122.0,household_agent_9,1009.0,191.0,household_agent_0,231.0,191.0,2353.0
44,,,587.0,2122.0,household_agent_10,1010.0,191.0,household_agent_0,235.0,191.0,2357.0
45,,,588.0,2122.0,household_agent_11,1011.0,191.0,household_agent_0,270.0,191.0,2392.0
46,,,589.0,2122.0,household_agent_12,1012.0,191.0,household_agent_0,310.0,191.0,2432.0
47,,,590.0,2122.0,generation_agent_0,1013.0,191.0,household_agent_0,306.0,191.0,2428.0
48,,,591.0,2122.0,generation_agent_1,1014.0,191.0,household_agent_0,292.0,191.0,2414.0
49,,,592.0,2122.0,generation_agent_2,1015.0,191.0,household_agent_0,271.0,191.0,2393.0
50,,,593.0,2122.0,generation_agent_3,1016.0,191.0,household_agent_0,309.0,191.0,2431.0
51,,,850.0,3050.0,household_agent_1,1001.0,191.0,household_agent_0,108.0,191.0,3158.0
52,,,851.0,3050.0,household_agent_2,1002.0,191.0,household_agent_0,81.0,191.0,3131.0
53,,,852.0,3050.0,household_agent_3,1003.0,191.0,household_agent_0,117.0,191.0,3167.0
54,,,853.0,3050.0,household_agent_4,1004.0,191.0,household_agent_0,69.0,191.0,3119.0
55,,,854.0,3050.0,household_agent_5,1005.0,191.0,household_agent_0,141.0,191.0,3191.0
56,,,855.0,3050.0,household_agent_6,1006.0,191.0,household_agent_0,136.0,191.0,3186.0
57,,,856.0,3050.0,household_agent_7,1007.0,191.0,household_agent_0,203.0,191.0,3253.0
58,,,857.0,3050.0,household_agent_8,1008.0,191.0,household_agent_0,188.0,191.0,3238.0
59,,,858.0,3050.0,household_agent_9,1009.0,191.0,household_agent_0,210.0,191.0,3260.0
60,,,859.0,3050.0,household_agent_10,1010.0,191.0,household_agent_0,444.0,191.0,3494.0
61,,,860.0,3050.0,household_agent_11,1011.0,191.0,household_agent_0,273.0,191.0,3323.0
62,,,861.0,3050.0,household_agent_12,1012.0,191.0,household_agent_0,309.0,191.0,3359.0
63,,,862.0,3050.0,generation_agent_0,1013.0,191.0,household_agent_0,266.0,191.0,3316.0
64,,,863.0,3050.0,generation_agent_1,1014.0,191.0,household_agent_0,358.0,191.0,3408.0
65,,,864.0,3050.0,generation_agent_2,1015.0,191.0,household_agent_0,527.0,191.0,3577.0
66,,,865.0,3050.0,generation_agent_3,1016.0,191.0,household_agent_0,537.0,191.0,3587.0
67,,,1122.0,3316.0,household_agent_1,1001.0,191.0,household_agent_0,160.0,191.0,3476.0
68,,,1123.0,3316.0,household_agent_2,1002.0,191.0,household_agent_0,246.0,191.0,3562.0
69,,,1124.0,3316.0,household_agent_3,1003.0,191.0,household_agent_0,232.0,191.0,3548.0
70,,,1125.0,3316.0,household_agent_4,1004.0,191.0,household_agent_0,230.0,191.0,3546.0
71,,,1126.0,3316.0,household_agent_5,1005.0,191.0,household_agent_0,168.0,191.0,3484.0
72,,,1127.0,3316.0,household_agent_6,1006.0,191.0,household_agent_0,128.0,191.0,3444.0
73,,,1128.0,3316.0,household_agent_7,1007.0,191.0,household_agent_0,112.0,191.0,3428.0
74,,,1129.0,3316.0,household_agent_8,1008.0,191.0,household_agent_0,284.0,191.0,3600.0
75,,,1130.0,3316.0,household_agent_9,1009.0,191.0,household_agent_0,150.0,191.0,3466.0
76,,,1131.0,3316.0,household_agent_10,1010.0,191.0,household_agent_0,237.0,191.0,3553.0
77,,,1132.0,3316.0,household_agent_11,1011.0,191.0,household_agent_0,217.0,191.0,3533.0
78,,,1133.0,3316.0,household_agent_12,1012.0,191.0,household_agent_0,248.0,191.0,3564.0
79,,,1134.0,3316.0,generation_agent_0,1013.0,191.0,household_agent_0,280.0,191.0,3596.0
80,,,1135.0,3316.0,generation_agent_1,1014.0,191.0,household_agent_0,257.0,191.0,3573.0
81,,,1136.0,3316.0,generation_agent_2,1015.0,191.0,household_agent_0,316.0,191.0,3632.0
82,,,1137.0,3316.0,generation_agent_3,1016.0,191.0,household_agent_0,360.0,191.0,3676.0
83,,,1394.0,3755.0,household_agent_1,1001.0,191.0,household_agent_0,156.0,191.0,3911.0
84,,,1395.0,3755.0,household_agent_2,1002.0,191.0,household_agent_0,111.0,191.0,3866.0
85,,,1396.0,3755.0,household_agent_3,1003.0,191.0,household_agent_0,89.0,191.0,3844.0
86,,,1397.0,3755.0,household_agent_4,1004.0,191.0,household_agent_0,83.0,191.0,3838.0
87,,,1398.0,3755.0,household_agent_5,1005.0,191.0,household_agent_0,75.0,191.0,3830.0
88,,,1399.0,3755.0,household_agent_6,1006.0,191.0,household_agent_0,139.0,191.0,3894.0
89,,,1400.0,3755.0,household_agent_7,1007.0,191.0,household_agent_0,151.0,191.0,3906.0
90,,,1401.0,3755.0,household_agent_8,1008.0,191.0,household_agent_0,229.0,191.0,3984.0
91,,,1402.0,3755.0,household_agent_9,1009.0,191.0,household_agent_0,263.0,191.0,4018.0
92,,,1403.0,3755.0,household_agent_10,1010.0,191.0,household_agent_0,270.0,191.0,4025.0
93,,,1404.0,3755.0,household_agent_11,1011.0,191.0,household_agent_0,259.0,191.0,4014.0
94,,,1405.0,3755.0,household_agent_12,1012.0,191.0,household_agent_0,306.0,191.0,4061.0
95,,,1406.0,3755.0,generation_agent_0,1013.0,191.0,household_agent_0,318.0,191.0,4073.0
96,,,1407.0,3755.0,generation_agent_1,1014.0,191.0,household_agent_0,250.0,191.0,4005.0
97,,,1408.0,3755.0,generation_agent_2,1015.0,191.0,household_agent_0,291.0,191.0,4046.0
98,,,1409.0,3755.0,generation_agent_3,1016.0,191.0,household_agent_0,311.0,191.0,4066.0
99,,,1666.0,4217.0,household_agent_1,1001.0,191.0,household_agent_0,101.0,191.0,4318.0
100,,,1667.0,4217.0,household_agent_2,1002.0,191.0,household_agent_0,110.0,191.0,4327.0
101,,,1668.0,4217.0,household_agent_3,1003.0,191.0,household_agent_0,133.0,191.0,4350.0
102,,,1669.0,4217.0,household_agent_4,1004.0,191.0,household_agent_0,86.0,191.0,4303.0
103,,,1670.0,4217.0,household_agent_5,1005.0,191.0,household_agent_0,124.0,191.0,4341.0
104,,,1671.0,4217.0,household_agent_6,1006.0,191.0,household_agent_0,141.0,191.0,4358.0
105,,,1672.0,4217.0,household_agent_7,1007.0,191.0,household_agent_0,241.0,191.0,4458.0
106,,,1673.0,4217.0,household_agent_8,1008.0,191.0,household_agent_0,200.0,191.0,4417.0
107,,,1674.0,4217.0,household_agent_9,1009.0,191.0,household_agent_0,407.0,191.0,4624.0
108,,,1675.0,4217.0,household_agent_10,1010.0,191.0,household_agent_0,225.0,191.0,4442.0
109,,,1676.0,4217.0,household_agent_11,1011.0,191.0,household_agent_0,430.0,191.0,4647.0
110,,,1677.0,4217.0,household_agent_12,1012.0,191.0,household_agent_0,422.0,191.0,4639.0
111,,,1678.0,4217.0,generation_agent_0,1013.0,191.0,household_agent_0,431.0,191.0,4648.0
112,,,1679.0,4217.0,generation_agent_1,1014.0,191.0,household_agent_0,482.0,191.0,4699.0
113,,,1680.0,4217.0,generation_agent_2,1015.0,191.0,household_agent_0,586.0,191.0,4803.0
114,,,1681.0,4217.0,generation_agent_3,1016.0,191.0,household_agent_0,593.0,191.0,4810.0
115,,,1938.0,4454.0,household_agent_1,1001.0,191.0,household_agent_0,171.0,191.0,4625.0
116,,,1939.0,4454.0,household_agent_2,1002.0,191.0,household_agent_0,129.0,191.0,4583.0
117,,,1940.0,4454.0,household_agent_3,1003.0,191.0,household_agent_0,110.0,191.0,4564.0
118,,,1941.0,4454.0,household_agent_4,1004.0,191.0,household_agent_0,96.0,191.0,4550.0
119,,,1942.0,4454.0,household_agent_5,1005.0,191.0,household_agent_0,188.0,191.0,4642.0
120,,,1943.0,4454.0,household_agent_6,1006.0,191.0,household_agent_0,123.0,191.0,4577.0
121,,,1944.0,4454.0,household_agent_7,1007.0,191.0,household_agent_0,274.0,191.0,4728.0
122,,,1945.0,4454.0,household_agent_8,1008.0,191.0,household_agent_0,228.0,191.0,4682.0
123,,,1946.0,4454.0,household_agent_9,1009.0,191.0,household_agent_0,281.0,191.0,4735.0
124,,,1947.0,4454.0,household_agent_10,1010.0,191.0,household_agent_0,205.0,191.0,4659.0
125,,,1948.0,4454.0,household_agent_11,1011.0,191.0,household_agent_0,269.0,191.0,4723.0
126,,,1949.0,4454.0,household_agent_12,1012.0,191.0,household_agent_0,313.0,191.0,4767.0
127,,,1950.0,4454.0,generation_agent_0,1013.0,191.0,household_agent_0,283.0,191.0,4737.0
128,,,1951.0,4454.0,generation_agent_1,1014.0,191.0,household_agent_0,342.0,191.0,4796.0
129,,,1952.0,4454.0,generation_agent_2,1015.0,191.0,household_agent_0,392.0,191.0,4846.0
130,,,1953.0,4454.0,generation_agent_3,1016.0,191.0,household_agent_0,399.0,191.0,4853.0
131,,,2210.0,5148.0,household_agent_1,1001.0,191.0,household_agent_0,101.0,191.0,5249.0
132,,,2211.0,5148.0,household_agent_2,1002.0,191.0,household_agent_0,80.0,191.0,5228.0
133,,,2212.0,5148.0,household_agent_3,1003.0,191.0,household_agent_0,111.0,191.0,5259.0
134,,,2213.0,5148.0,household_agent_4,1004.0,191.0,household_agent_0,93.0,191.0,5241.0
135,,,2214.0,5148.0,household_agent_5,1005.0,191.0,household_agent_0,106.0,191.0,5254.0
136,,,2215.0,5148.0,household_agent_6,1006.0,191.0,household_agent_0,176.0,191.0,5324.0
137,,,2216.0,5148.0,household_agent_7,1007.0,191.0,household_agent_0,130.0,191.0,5278.0
138,,,2217.0,5148.0,household_agent_8,1008.0,191.0,household_agent_0,250.0,191.0,5398.0
139,,,2218.0,5148.0,household_agent_9,1009.0,191.0,household_agent_0,214.0,191.0,5362.0
140,,,2219.0,5148.0,household_agent_10,1010.0,191.0,household_agent_0,242.0,191.0,5390.0
141,,,2220.0,5148.0,household_agent_11,1011.0,191.0,household_agent_0,257.0,191.0,5405.0
142,,,2221.0,5148.0,household_agent_12,1012.0,191.0,household_agent_0,295.0,191.0,5443.0
143,,,2222.0,5148.0,generation_agent_0,1013.0,191.0,household_agent_0,272.0,191.0,5420.0
144,,,2223.0,5148.0,generation_agent_1,1014.0,191.0,household_agent_0,286.0,191.0,5434.0
145,,,2224.0,5148.0,generation_agent_2,1015.0,191.0,household_agent_0,293.0,191.0,5441.0
146,,,2225.0,5148.0,generation_agent_3,1016.0,191.0,household_agent_0,315.0,191.0,5463.0
147,,,2482.0,5476.0,household_agent_1,1001.0,191.0,household_agent_0,71.0,191.0,5547.0
148,,,2483.0,5476.0,household_agent_2,1002.0,191.0,household_agent_0,122.0,191.0,5598.0
149,,,2484.0,5476.0,household_agent_3,1003.0,191.0,household_agent_0,139.0,191.0,5615.0
150,,,2485.0,5476.0,household_agent_4,1004.0,191.0,household_agent_0,108.0,191.0,5584.0
151,,,2486.0,5476.0,household_agent_5,1005.0,191.0,household_agent_0,127.0,191.0,5603.0
152,,,2487.0,5476.0,household_agent_6,1006.0,191.0,household_agent_0,89.0,191.0,5565.0
153,,,2488.0,5476.0,household_agent_7,1007.0,191.0,household_agent_0,174.0,191.0,5650.0
154,,,2489.0,5476.0,household_agent_8,1008.0,191.0,household_agent_0,170.0,191.0,5646.0
155,,,2490.0,5476.0,household_agent_9,1009.0,191.0,household_agent_0,210.0,191.0,5686.0
156,,,2491.0,5476.0,household_agent_10,1010.0,191.0,household_agent_0,259.0,191.0,5735.0
