,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 17:35:56.125345,,,,,,,,,
1,Simulation configuration ID,aa53add1-8a1f-4f66-af34-5abfae106506,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,85.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,104.0
1,,,1.0,158.0,household_agent_1,1001.0,191.0,aggregator_agent,2004.0,191.0,2162.0
2,,,6003.0,1191.0,control_center_agent,1017.0,191.0,aggregator_agent,55.0,191.0,1246.0
3,,,34.0,221.0,household_agent_1,1001.0,191.0,household_agent_0,221.0,191.0,442.0
4,,,35.0,221.0,household_agent_2,1002.0,191.0,household_agent_0,272.0,191.0,493.0
5,,,36.0,221.0,household_agent_3,1003.0,191.0,household_agent_0,113.0,191.0,334.0
6,,,37.0,221.0,household_agent_4,1004.0,191.0,household_agent_0,279.0,191.0,500.0
7,,,38.0,221.0,household_agent_5,1005.0,191.0,household_agent_0,411.0,191.0,632.0
8,,,39.0,221.0,household_agent_6,1006.0,191.0,household_agent_0,455.0,191.0,676.0
9,,,40.0,221.0,household_agent_7,1007.0,191.0,household_agent_0,668.0,191.0,889.0
10,,,41.0,221.0,household_agent_8,1008.0,191.0,household_agent_0,819.0,536.0,1040.0
11,,,42.0,221.0,household_agent_9,1009.0,191.0,household_agent_0,1306.0,536.0,1527.0
12,,,43.0,221.0,household_agent_10,1010.0,191.0,household_agent_0,1272.0,536.0,1493.0
13,,,44.0,221.0,household_agent_11,1011.0,191.0,household_agent_0,1917.0,536.0,2138.0
14,,,45.0,221.0,household_agent_12,1012.0,191.0,household_agent_0,2519.0,536.0,2740.0
15,,,46.0,221.0,generation_agent_0,1013.0,191.0,household_agent_0,2277.0,382.0,2498.0
16,,,47.0,221.0,generation_agent_1,1014.0,191.0,household_agent_0,2197.0,536.0,2418.0
17,,,48.0,221.0,generation_agent_2,1015.0,191.0,household_agent_0,2661.0,536.0,2882.0
18,,,49.0,221.0,generation_agent_3,1016.0,191.0,household_agent_0,2405.0,536.0,2626.0
19,,,306.0,277.0,household_agent_1,1001.0,191.0,household_agent_0,187.0,536.0,464.0
20,,,307.0,277.0,household_agent_2,1002.0,191.0,household_agent_0,282.0,191.0,559.0
21,,,308.0,277.0,household_agent_3,1003.0,191.0,household_agent_0,291.0,191.0,568.0
22,,,309.0,277.0,household_agent_4,1004.0,191.0,household_agent_0,297.0,536.0,574.0
23,,,310.0,277.0,household_agent_5,1005.0,191.0,household_agent_0,419.0,191.0,696.0
24,,,311.0,277.0,household_agent_6,1006.0,191.0,household_agent_0,451.0,191.0,728.0
25,,,312.0,277.0,household_agent_7,1007.0,191.0,household_agent_0,962.0,382.0,1239.0
26,,,579.0,314.0,household_agent_2,1002.0,191.0,household_agent_0,245.0,191.0,559.0
27,,,580.0,314.0,household_agent_3,1003.0,191.0,household_agent_0,255.0,191.0,569.0
28,,,582.0,314.0,household_agent_5,1005.0,191.0,household_agent_0,769.0,382.0,1083.0
29,,,583.0,314.0,household_agent_6,1006.0,191.0,household_agent_0,644.0,536.0,958.0
30,,,585.0,314.0,household_agent_8,1008.0,191.0,household_agent_0,1214.0,536.0,1528.0
31,,,586.0,314.0,household_agent_9,1009.0,191.0,household_agent_0,1599.0,536.0,1913.0
32,,,587.0,314.0,household_agent_10,1010.0,191.0,household_agent_0,2160.0,536.0,2474.0
33,,,588.0,314.0,household_agent_11,1011.0,191.0,household_agent_0,2530.0,419.0,2844.0
34,,,589.0,314.0,household_agent_12,1012.0,191.0,household_agent_0,2646.0,536.0,2960.0
35,,,590.0,314.0,generation_agent_0,1013.0,191.0,household_agent_0,2784.0,536.0,3098.0
36,,,591.0,314.0,generation_agent_1,1014.0,191.0,household_agent_0,2214.0,536.0,2528.0
37,,,592.0,314.0,generation_agent_2,1015.0,191.0,household_agent_0,2788.0,536.0,3102.0
38,,,593.0,314.0,generation_agent_3,1016.0,191.0,household_agent_0,2808.0,536.0,3122.0
39,,,850.0,322.0,household_agent_1,1001.0,191.0,household_agent_0,735.0,228.0,1057.0
40,,,851.0,322.0,household_agent_2,1002.0,191.0,household_agent_0,303.0,191.0,625.0
41,,,852.0,322.0,household_agent_3,1003.0,191.0,household_agent_0,592.0,536.0,914.0
42,,,853.0,322.0,household_agent_4,1004.0,191.0,household_agent_0,675.0,536.0,997.0
43,,,856.0,322.0,household_agent_7,1007.0,191.0,household_agent_0,1215.0,536.0,1537.0
44,,,1123.0,354.0,household_agent_2,1002.0,191.0,household_agent_0,492.0,536.0,846.0
45,,,1126.0,354.0,household_agent_5,1005.0,191.0,household_agent_0,825.0,536.0,1179.0
46,,,1127.0,354.0,household_agent_6,1006.0,191.0,household_agent_0,1097.0,419.0,1451.0
47,,,1134.0,354.0,generation_agent_0,1013.0,191.0,household_agent_0,3049.0,536.0,3403.0
48,,,1394.0,386.0,household_agent_1,1001.0,191.0,household_agent_0,671.0,191.0,1057.0
49,,,1396.0,386.0,household_agent_3,1003.0,191.0,household_agent_0,1448.0,228.0,1834.0
50,,,1400.0,386.0,household_agent_7,1007.0,191.0,household_agent_0,1991.0,536.0,2377.0
51,,,1401.0,386.0,household_agent_8,1008.0,191.0,household_agent_0,1864.0,74.0,2250.0
52,,,1402.0,386.0,household_agent_9,1009.0,191.0,household_agent_0,1699.0,74.0,2085.0
53,,,1403.0,386.0,household_agent_10,1010.0,191.0,household_agent_0,2726.0,74.0,3112.0
54,,,1404.0,386.0,household_agent_11,1011.0,191.0,household_agent_0,2085.0,536.0,2471.0
55,,,1405.0,386.0,household_agent_12,1012.0,191.0,household_agent_0,2824.0,265.0,3210.0
56,,,1407.0,386.0,generation_agent_1,1014.0,191.0,household_agent_0,2159.0,536.0,2545.0
57,,,1408.0,386.0,generation_agent_2,1015.0,191.0,household_agent_0,2773.0,536.0,3159.0
