,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 14:35:43.841875,,,,,,,,,
1,Simulation configuration ID,aac64715-b8a5-4835-bf0e-28ab1353b84d,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,33.0,household_agent_8,1008.0,41.0,control_center_agent,19.0,41.0,52.0
1,,,28.0,60.0,household_agent_1,1001.0,41.0,household_agent_0,44.0,41.0,104.0
2,,,29.0,60.0,household_agent_7,1007.0,41.0,household_agent_0,55.0,41.0,115.0
3,,,30.0,60.0,generation_agent_3,1016.0,41.0,household_agent_0,98.0,41.0,158.0
4,,,72.0,105.0,household_agent_1,1001.0,41.0,household_agent_0,43.0,41.0,148.0
5,,,73.0,105.0,household_agent_7,1007.0,41.0,household_agent_0,48.0,41.0,153.0
6,,,74.0,105.0,generation_agent_3,1016.0,41.0,household_agent_0,93.0,41.0,198.0
7,,,116.0,196.0,household_agent_1,1001.0,41.0,household_agent_0,46.0,41.0,242.0
8,,,117.0,196.0,household_agent_7,1007.0,41.0,household_agent_0,56.0,41.0,252.0
9,,,118.0,196.0,generation_agent_3,1016.0,41.0,household_agent_0,67.0,41.0,263.0
10,,,160.0,268.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,313.0
11,,,161.0,268.0,household_agent_7,1007.0,41.0,household_agent_0,98.0,41.0,366.0
12,,,162.0,268.0,generation_agent_3,1016.0,41.0,household_agent_0,65.0,41.0,333.0
13,,,204.0,303.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,350.0
14,,,205.0,303.0,household_agent_7,1007.0,41.0,household_agent_0,102.0,41.0,405.0
15,,,206.0,303.0,generation_agent_3,1016.0,41.0,household_agent_0,75.0,41.0,378.0
16,,,248.0,384.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,429.0
17,,,249.0,384.0,household_agent_7,1007.0,41.0,household_agent_0,55.0,41.0,439.0
18,,,250.0,384.0,generation_agent_3,1016.0,41.0,household_agent_0,75.0,41.0,459.0
19,,,292.0,467.0,household_agent_1,1001.0,41.0,household_agent_0,67.0,41.0,534.0
20,,,293.0,467.0,household_agent_7,1007.0,41.0,household_agent_0,72.0,41.0,539.0
21,,,294.0,467.0,generation_agent_3,1016.0,41.0,household_agent_0,83.0,41.0,550.0
22,,,336.0,486.0,household_agent_1,1001.0,41.0,household_agent_0,74.0,41.0,560.0
23,,,337.0,486.0,household_agent_7,1007.0,41.0,household_agent_0,87.0,41.0,573.0
24,,,338.0,486.0,generation_agent_3,1016.0,41.0,household_agent_0,108.0,41.0,594.0
25,,,380.0,568.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,613.0
26,,,381.0,568.0,household_agent_7,1007.0,41.0,household_agent_0,61.0,41.0,629.0
27,,,382.0,568.0,generation_agent_3,1016.0,41.0,household_agent_0,71.0,41.0,639.0
28,,,424.0,631.0,household_agent_1,1001.0,41.0,household_agent_0,56.0,41.0,687.0
29,,,425.0,631.0,household_agent_7,1007.0,41.0,household_agent_0,153.0,82.0,784.0
30,,,426.0,631.0,generation_agent_3,1016.0,41.0,household_agent_0,123.0,82.0,754.0
