,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 18:04:00.243080,,,,,,,,,
1,Simulation configuration ID,ab6108a9-7644-4bc0-a9ef-298b55de9349,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,3.0,household_agent_4,1004.0,191.0,control_center_agent,19.0,191.0,22.0
1,,,53.0,17.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,64.0
2,,,54.0,17.0,generation_agent_3,1016.0,191.0,household_agent_0,63.0,191.0,80.0
3,,,103.0,53.0,household_agent_1,1001.0,191.0,household_agent_0,53.0,191.0,106.0
4,,,104.0,53.0,generation_agent_3,1016.0,191.0,household_agent_0,97.0,191.0,150.0
5,,,153.0,54.0,household_agent_1,1001.0,191.0,household_agent_0,87.0,191.0,141.0
6,,,154.0,54.0,generation_agent_3,1016.0,191.0,household_agent_0,133.0,191.0,187.0
7,,,203.0,144.0,household_agent_1,1001.0,191.0,household_agent_0,129.0,191.0,273.0
8,,,204.0,144.0,generation_agent_3,1016.0,191.0,household_agent_0,158.0,191.0,302.0
9,,,303.0,180.0,household_agent_1,1001.0,191.0,household_agent_0,104.0,382.0,284.0
10,,,304.0,180.0,generation_agent_3,1016.0,191.0,household_agent_0,125.0,191.0,305.0
11,,,354.0,201.0,generation_agent_3,1016.0,191.0,household_agent_0,171.0,191.0,372.0
12,,,403.0,285.0,household_agent_1,1001.0,191.0,household_agent_0,64.0,191.0,349.0
13,,,404.0,285.0,generation_agent_3,1016.0,191.0,household_agent_0,92.0,191.0,377.0
14,,,453.0,357.0,household_agent_1,1001.0,191.0,household_agent_0,57.0,191.0,414.0
15,,,454.0,357.0,generation_agent_3,1016.0,191.0,household_agent_0,69.0,191.0,426.0
16,,,503.0,437.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,489.0
17,,,504.0,437.0,generation_agent_3,1016.0,191.0,household_agent_0,64.0,191.0,501.0
18,,,553.0,511.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,563.0
19,,,554.0,511.0,generation_agent_3,1016.0,191.0,household_agent_0,67.0,191.0,578.0
20,,,603.0,557.0,household_agent_1,1001.0,191.0,household_agent_0,45.0,191.0,602.0
21,,,604.0,557.0,generation_agent_3,1016.0,191.0,household_agent_0,64.0,191.0,621.0
22,,,653.0,610.0,household_agent_1,1001.0,191.0,household_agent_0,69.0,191.0,679.0
23,,,654.0,610.0,generation_agent_3,1016.0,191.0,household_agent_0,83.0,191.0,693.0
24,,,703.0,621.0,household_agent_1,1001.0,191.0,household_agent_0,108.0,191.0,729.0
25,,,704.0,621.0,generation_agent_3,1016.0,191.0,household_agent_0,131.0,191.0,752.0
26,,,753.0,687.0,household_agent_1,1001.0,191.0,household_agent_0,62.0,191.0,749.0
27,,,754.0,687.0,generation_agent_3,1016.0,191.0,household_agent_0,72.0,191.0,759.0
28,,,803.0,746.0,household_agent_1,1001.0,191.0,household_agent_0,80.0,382.0,826.0
29,,,804.0,746.0,generation_agent_3,1016.0,191.0,household_agent_0,104.0,382.0,850.0
30,,,903.0,754.0,household_agent_1,1001.0,191.0,household_agent_0,109.0,191.0,863.0
31,,,904.0,754.0,generation_agent_3,1016.0,191.0,household_agent_0,133.0,191.0,887.0
32,,,953.0,854.0,household_agent_1,1001.0,191.0,household_agent_0,63.0,191.0,917.0
33,,,954.0,854.0,generation_agent_3,1016.0,191.0,household_agent_0,51.0,191.0,905.0
34,,,1003.0,913.0,household_agent_1,1001.0,191.0,household_agent_0,101.0,191.0,1014.0
35,,,1004.0,913.0,generation_agent_3,1016.0,191.0,household_agent_0,61.0,191.0,974.0
36,,,1053.0,1005.0,household_agent_1,1001.0,191.0,household_agent_0,73.0,191.0,1078.0
37,,,1054.0,1005.0,generation_agent_3,1016.0,191.0,household_agent_0,117.0,191.0,1122.0
38,,,1103.0,1032.0,household_agent_1,1001.0,191.0,household_agent_0,78.0,191.0,1110.0
39,,,1104.0,1032.0,generation_agent_3,1016.0,191.0,household_agent_0,137.0,191.0,1169.0
40,,,1153.0,1104.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,1155.0
41,,,1154.0,1104.0,generation_agent_3,1016.0,191.0,household_agent_0,67.0,191.0,1171.0
42,,,1203.0,1194.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,1245.0
43,,,1204.0,1194.0,generation_agent_3,1016.0,191.0,household_agent_0,67.0,191.0,1261.0
44,,,1253.0,1239.0,household_agent_1,1001.0,191.0,household_agent_0,60.0,191.0,1299.0
45,,,1254.0,1239.0,generation_agent_3,1016.0,191.0,household_agent_0,70.0,191.0,1309.0
46,,,1303.0,1321.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,1368.0
47,,,1304.0,1321.0,generation_agent_3,1016.0,191.0,household_agent_0,63.0,191.0,1384.0
48,,,1353.0,1396.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,1448.0
49,,,1354.0,1396.0,generation_agent_3,1016.0,191.0,household_agent_0,61.0,191.0,1457.0
50,,,1403.0,1458.0,household_agent_1,1001.0,191.0,household_agent_0,49.0,191.0,1507.0
51,,,1404.0,1458.0,generation_agent_3,1016.0,191.0,household_agent_0,59.0,191.0,1517.0
52,,,1453.0,1543.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,1590.0
53,,,1454.0,1543.0,generation_agent_3,1016.0,191.0,household_agent_0,60.0,191.0,1603.0
54,,,1503.0,1594.0,household_agent_1,1001.0,191.0,household_agent_0,53.0,191.0,1647.0
55,,,1504.0,1594.0,generation_agent_3,1016.0,191.0,household_agent_0,78.0,191.0,1672.0
56,,,1553.0,1643.0,household_agent_1,1001.0,191.0,household_agent_0,80.0,191.0,1723.0
57,,,1554.0,1643.0,generation_agent_3,1016.0,191.0,household_agent_0,91.0,191.0,1734.0
58,,,1603.0,1674.0,household_agent_1,1001.0,191.0,household_agent_0,94.0,191.0,1768.0
59,,,1604.0,1674.0,generation_agent_3,1016.0,191.0,household_agent_0,106.0,191.0,1780.0
60,,,1653.0,1735.0,household_agent_1,1001.0,191.0,household_agent_0,62.0,191.0,1797.0
61,,,1654.0,1735.0,generation_agent_3,1016.0,191.0,household_agent_0,72.0,191.0,1807.0
62,,,1703.0,1802.0,household_agent_1,1001.0,191.0,household_agent_0,64.0,191.0,1866.0
63,,,1704.0,1802.0,generation_agent_3,1016.0,191.0,household_agent_0,75.0,191.0,1877.0
64,,,1753.0,1893.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,1943.0
65,,,1754.0,1893.0,generation_agent_3,1016.0,191.0,household_agent_0,110.0,191.0,2003.0
66,,,1803.0,1929.0,household_agent_1,1001.0,191.0,household_agent_0,59.0,191.0,1988.0
67,,,1804.0,1929.0,generation_agent_3,1016.0,191.0,household_agent_0,108.0,191.0,2037.0
68,,,1853.0,2029.0,household_agent_1,1001.0,191.0,household_agent_0,83.0,191.0,2112.0
69,,,1854.0,2029.0,generation_agent_3,1016.0,191.0,household_agent_0,96.0,191.0,2125.0
70,,,1903.0,2054.0,household_agent_1,1001.0,191.0,household_agent_0,97.0,191.0,2151.0
71,,,1904.0,2054.0,generation_agent_3,1016.0,191.0,household_agent_0,123.0,191.0,2177.0
72,,,1953.0,2120.0,household_agent_1,1001.0,191.0,household_agent_0,107.0,191.0,2227.0
73,,,1954.0,2120.0,generation_agent_3,1016.0,191.0,household_agent_0,136.0,191.0,2256.0
74,,,2003.0,2170.0,household_agent_1,1001.0,191.0,household_agent_0,113.0,191.0,2283.0
75,,,2004.0,2170.0,generation_agent_3,1016.0,191.0,household_agent_0,124.0,191.0,2294.0
76,,,2053.0,2225.0,household_agent_1,1001.0,191.0,household_agent_0,90.0,191.0,2315.0
77,,,2054.0,2225.0,generation_agent_3,1016.0,191.0,household_agent_0,105.0,191.0,2330.0
78,,,2103.0,2253.0,household_agent_1,1001.0,191.0,household_agent_0,95.0,191.0,2348.0
79,,,2104.0,2253.0,generation_agent_3,1016.0,191.0,household_agent_0,148.0,191.0,2401.0
80,,,2153.0,2340.0,household_agent_1,1001.0,191.0,household_agent_0,56.0,191.0,2396.0
81,,,2154.0,2340.0,generation_agent_3,1016.0,191.0,household_agent_0,111.0,191.0,2451.0
82,,,2203.0,2374.0,household_agent_1,1001.0,191.0,household_agent_0,65.0,191.0,2439.0
83,,,2204.0,2374.0,generation_agent_3,1016.0,191.0,household_agent_0,126.0,191.0,2500.0
84,,,2253.0,2451.0,household_agent_1,1001.0,191.0,household_agent_0,61.0,191.0,2512.0
85,,,2254.0,2451.0,generation_agent_3,1016.0,191.0,household_agent_0,50.0,191.0,2501.0
86,,,2303.0,2511.0,household_agent_1,1001.0,191.0,household_agent_0,64.0,191.0,2575.0
87,,,2304.0,2511.0,generation_agent_3,1016.0,191.0,household_agent_0,70.0,191.0,2581.0
88,,,2353.0,2609.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,2657.0
89,,,2354.0,2609.0,generation_agent_3,1016.0,191.0,household_agent_0,65.0,191.0,2674.0
90,,,2403.0,2703.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,2751.0
91,,,2404.0,2703.0,generation_agent_3,1016.0,191.0,household_agent_0,59.0,191.0,2762.0
92,,,2453.0,2767.0,household_agent_1,1001.0,191.0,household_agent_0,58.0,191.0,2825.0
93,,,2454.0,2767.0,generation_agent_3,1016.0,191.0,household_agent_0,123.0,191.0,2890.0
94,,,2503.0,2798.0,household_agent_1,1001.0,191.0,household_agent_0,90.0,191.0,2888.0
95,,,2504.0,2798.0,generation_agent_3,1016.0,191.0,household_agent_0,152.0,536.0,2950.0
96,,,2553.0,2800.0,household_agent_1,1001.0,191.0,household_agent_0,191.0,382.0,2991.0
97,,,2604.0,2812.0,generation_agent_3,1016.0,191.0,household_agent_0,197.0,37.0,3009.0
98,,,2653.0,2885.0,household_agent_1,1001.0,191.0,household_agent_0,106.0,191.0,2991.0
99,,,2654.0,2885.0,generation_agent_3,1016.0,191.0,household_agent_0,79.0,191.0,2964.0
100,,,2703.0,2971.0,household_agent_1,1001.0,191.0,household_agent_0,89.0,191.0,3060.0
101,,,2704.0,2971.0,generation_agent_3,1016.0,191.0,household_agent_0,104.0,191.0,3075.0
102,,,2753.0,2980.0,household_agent_1,1001.0,191.0,household_agent_0,116.0,191.0,3096.0
103,,,2754.0,2980.0,generation_agent_3,1016.0,191.0,household_agent_0,141.0,191.0,3121.0
104,,,2803.0,3065.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,3112.0
105,,,2804.0,3065.0,generation_agent_3,1016.0,191.0,household_agent_0,57.0,191.0,3122.0
106,,,2853.0,3127.0,household_agent_1,1001.0,191.0,household_agent_0,95.0,191.0,3222.0
107,,,2854.0,3127.0,generation_agent_3,1016.0,191.0,household_agent_0,135.0,382.0,3262.0
108,,,2903.0,3149.0,household_agent_1,1001.0,191.0,household_agent_0,75.0,191.0,3224.0
109,,,2953.0,3171.0,household_agent_1,1001.0,191.0,household_agent_0,87.0,191.0,3258.0
110,,,2954.0,3171.0,generation_agent_3,1016.0,191.0,household_agent_0,133.0,191.0,3304.0
111,,,3003.0,3217.0,household_agent_1,1001.0,191.0,household_agent_0,69.0,191.0,3286.0
112,,,3004.0,3217.0,generation_agent_3,1016.0,191.0,household_agent_0,147.0,191.0,3364.0
113,,,3053.0,3294.0,household_agent_1,1001.0,191.0,household_agent_0,176.0,382.0,3470.0
114,,,3054.0,3294.0,generation_agent_3,1016.0,191.0,household_agent_0,172.0,536.0,3466.0
115,,,3153.0,3309.0,household_agent_1,1001.0,191.0,household_agent_0,163.0,191.0,3472.0
116,,,3154.0,3309.0,generation_agent_3,1016.0,191.0,household_agent_0,223.0,37.0,3532.0
117,,,3203.0,3355.0,household_agent_1,1001.0,191.0,household_agent_0,164.0,191.0,3519.0
118,,,3204.0,3355.0,generation_agent_3,1016.0,191.0,household_agent_0,177.0,191.0,3532.0
119,,,3253.0,3410.0,household_agent_1,1001.0,191.0,household_agent_0,125.0,191.0,3535.0
120,,,3254.0,3410.0,generation_agent_3,1016.0,191.0,household_agent_0,128.0,191.0,3538.0
121,,,3303.0,3444.0,household_agent_1,1001.0,191.0,household_agent_0,145.0,191.0,3589.0
122,,,3304.0,3444.0,generation_agent_3,1016.0,191.0,household_agent_0,203.0,191.0,3647.0
123,,,3353.0,3524.0,household_agent_1,1001.0,191.0,household_agent_0,179.0,191.0,3703.0
124,,,3354.0,3524.0,generation_agent_3,1016.0,191.0,household_agent_0,160.0,382.0,3684.0
125,,,3403.0,3575.0,household_agent_1,1001.0,191.0,household_agent_0,172.0,382.0,3747.0
126,,,3454.0,3589.0,generation_agent_3,1016.0,191.0,household_agent_0,161.0,191.0,3750.0
127,,,3503.0,3682.0,household_agent_1,1001.0,191.0,household_agent_0,74.0,191.0,3756.0
128,,,3504.0,3682.0,generation_agent_3,1016.0,191.0,household_agent_0,187.0,382.0,3869.0
129,,,3553.0,3739.0,household_agent_1,1001.0,191.0,household_agent_0,57.0,191.0,3796.0
130,,,3603.0,3783.0,household_agent_1,1001.0,191.0,household_agent_0,110.0,191.0,3893.0
131,,,3604.0,3783.0,generation_agent_3,1016.0,191.0,household_agent_0,169.0,191.0,3952.0
132,,,3653.0,3811.0,household_agent_1,1001.0,191.0,household_agent_0,117.0,382.0,3928.0
133,,,3654.0,3811.0,generation_agent_3,1016.0,191.0,household_agent_0,159.0,536.0,3970.0
134,,,3753.0,3845.0,household_agent_1,1001.0,191.0,household_agent_0,98.0,191.0,3943.0
135,,,3754.0,3845.0,generation_agent_3,1016.0,191.0,household_agent_0,258.0,228.0,4103.0
136,,,3803.0,3864.0,household_agent_1,1001.0,191.0,household_agent_0,121.0,191.0,3985.0
137,,,3853.0,3947.0,household_agent_1,1001.0,191.0,household_agent_0,163.0,382.0,4110.0
138,,,3854.0,3947.0,generation_agent_3,1016.0,191.0,household_agent_0,172.0,382.0,4119.0
139,,,3953.0,3998.0,household_agent_1,1001.0,191.0,household_agent_0,151.0,191.0,4149.0
140,,,3954.0,3998.0,generation_agent_3,1016.0,191.0,household_agent_0,219.0,191.0,4217.0
141,,,4003.0,4084.0,household_agent_1,1001.0,191.0,household_agent_0,159.0,382.0,4243.0
142,,,4004.0,4084.0,generation_agent_3,1016.0,191.0,household_agent_0,237.0,536.0,4321.0
143,,,4103.0,4137.0,household_agent_1,1001.0,191.0,household_agent_0,175.0,191.0,4312.0
144,,,4104.0,4137.0,generation_agent_3,1016.0,191.0,household_agent_0,254.0,37.0,4391.0
145,,,4153.0,4186.0,household_agent_1,1001.0,191.0,household_agent_0,149.0,191.0,4335.0
146,,,4154.0,4186.0,generation_agent_3,1016.0,191.0,household_agent_0,164.0,191.0,4350.0
147,,,4203.0,4238.0,household_agent_1,1001.0,191.0,household_agent_0,165.0,191.0,4403.0
148,,,4204.0,4238.0,generation_agent_3,1016.0,191.0,household_agent_0,195.0,191.0,4433.0
149,,,4253.0,4291.0,household_agent_1,1001.0,191.0,household_agent_0,133.0,191.0,4424.0
150,,,4254.0,4291.0,generation_agent_3,1016.0,191.0,household_agent_0,146.0,191.0,4437.0
151,,,4303.0,4356.0,household_agent_1,1001.0,191.0,household_agent_0,119.0,191.0,4475.0
152,,,4304.0,4356.0,generation_agent_3,1016.0,191.0,household_agent_0,144.0,191.0,4500.0
153,,,4353.0,4414.0,household_agent_1,1001.0,191.0,household_agent_0,76.0,191.0,4490.0
154,,,4354.0,4414.0,generation_agent_3,1016.0,191.0,household_agent_0,137.0,191.0,4551.0
155,,,4403.0,4428.0,household_agent_1,1001.0,191.0,household_agent_0,116.0,382.0,4544.0
156,,,4404.0,4428.0,generation_agent_3,1016.0,191.0,household_agent_0,211.0,382.0,4639.0
157,,,4503.0,4534.0,household_agent_1,1001.0,191.0,household_agent_0,101.0,191.0,4635.0
158,,,4504.0,4534.0,generation_agent_3,1016.0,191.0,household_agent_0,162.0,191.0,4696.0
159,,,4553.0,4565.0,household_agent_1,1001.0,191.0,household_agent_0,139.0,382.0,4704.0
160,,,4554.0,4565.0,generation_agent_3,1016.0,191.0,household_agent_0,162.0,191.0,4727.0
161,,,4604.0,4575.0,generation_agent_3,1016.0,191.0,household_agent_0,181.0,382.0,4756.0
162,,,4653.0,4624.0,household_agent_1,1001.0,191.0,household_agent_0,112.0,191.0,4736.0
163,,,4703.0,4661.0,household_agent_1,1001.0,191.0,household_agent_0,158.0,191.0,4819.0
164,,,4704.0,4661.0,generation_agent_3,1016.0,191.0,household_agent_0,148.0,191.0,4809.0
165,,,4753.0,4742.0,household_agent_1,1001.0,191.0,household_agent_0,82.0,191.0,4824.0
166,,,4754.0,4742.0,generation_agent_3,1016.0,191.0,household_agent_0,101.0,191.0,4843.0
167,,,4803.0,4840.0,household_agent_1,1001.0,191.0,household_agent_0,91.0,191.0,4931.0
168,,,4804.0,4840.0,generation_agent_3,1016.0,191.0,household_agent_0,110.0,191.0,4950.0
169,,,4853.0,4874.0,household_agent_1,1001.0,191.0,household_agent_0,92.0,191.0,4966.0
170,,,4854.0,4874.0,generation_agent_3,1016.0,191.0,household_agent_0,148.0,191.0,5022.0
171,,,4903.0,4934.0,household_agent_1,1001.0,191.0,household_agent_0,53.0,191.0,4987.0
172,,,4904.0,4934.0,generation_agent_3,1016.0,191.0,household_agent_0,114.0,191.0,5048.0
173,,,4953.0,4971.0,household_agent_1,1001.0,191.0,household_agent_0,105.0,191.0,5076.0
174,,,4954.0,4971.0,generation_agent_3,1016.0,191.0,household_agent_0,126.0,191.0,5097.0
175,,,5003.0,5039.0,household_agent_1,1001.0,191.0,household_agent_0,88.0,191.0,5127.0
176,,,5004.0,5039.0,generation_agent_3,1016.0,191.0,household_agent_0,75.0,191.0,5114.0
177,,,43.0,17.0,household_agent_0,1000.0,191.0,household_agent_1,49.0,191.0,66.0
178,,,44.0,17.0,household_agent_2,1002.0,191.0,household_agent_1,71.0,191.0,88.0
179,,,93.0,53.0,household_agent_0,1000.0,191.0,household_agent_1,52.0,191.0,105.0
180,,,94.0,53.0,household_agent_2,1002.0,191.0,household_agent_1,75.0,191.0,128.0
181,,,143.0,54.0,household_agent_0,1000.0,191.0,household_agent_1,89.0,191.0,143.0
182,,,144.0,54.0,household_agent_2,1002.0,191.0,household_agent_1,132.0,191.0,186.0
183,,,193.0,144.0,household_agent_0,1000.0,191.0,household_agent_1,70.0,191.0,214.0
184,,,194.0,144.0,household_agent_2,1002.0,191.0,household_agent_1,141.0,191.0,285.0
185,,,293.0,180.0,household_agent_0,1000.0,191.0,household_agent_1,147.0,191.0,327.0
186,,,294.0,180.0,household_agent_2,1002.0,191.0,household_agent_1,156.0,382.0,336.0
187,,,343.0,201.0,household_agent_0,1000.0,191.0,household_agent_1,179.0,191.0,380.0
188,,,393.0,285.0,household_agent_0,1000.0,191.0,household_agent_1,95.0,191.0,380.0
189,,,394.0,285.0,household_agent_2,1002.0,191.0,household_agent_1,101.0,191.0,386.0
190,,,443.0,357.0,household_agent_0,1000.0,191.0,household_agent_1,63.0,191.0,420.0
191,,,444.0,357.0,household_agent_2,1002.0,191.0,household_agent_1,85.0,191.0,442.0
192,,,493.0,437.0,household_agent_0,1000.0,191.0,household_agent_1,48.0,191.0,485.0
193,,,494.0,437.0,household_agent_2,1002.0,191.0,household_agent_1,58.0,191.0,495.0
194,,,543.0,511.0,household_agent_0,1000.0,191.0,household_agent_1,48.0,191.0,559.0
195,,,544.0,511.0,household_agent_2,1002.0,191.0,household_agent_1,87.0,191.0,598.0
196,,,593.0,557.0,household_agent_0,1000.0,191.0,household_agent_1,59.0,191.0,616.0
197,,,594.0,557.0,household_agent_2,1002.0,191.0,household_agent_1,115.0,191.0,672.0
198,,,643.0,610.0,household_agent_0,1000.0,191.0,household_agent_1,71.0,191.0,681.0
199,,,644.0,610.0,household_agent_2,1002.0,191.0,household_agent_1,82.0,191.0,692.0
200,,,693.0,621.0,household_agent_0,1000.0,191.0,household_agent_1,100.0,191.0,721.0
201,,,694.0,621.0,household_agent_2,1002.0,191.0,household_agent_1,111.0,191.0,732.0
202,,,743.0,687.0,household_agent_0,1000.0,191.0,household_agent_1,100.0,191.0,787.0
203,,,744.0,687.0,household_agent_2,1002.0,191.0,household_agent_1,84.0,191.0,771.0
204,,,793.0,746.0,household_agent_0,1000.0,191.0,household_agent_1,97.0,191.0,843.0
205,,,794.0,746.0,household_agent_2,1002.0,191.0,household_agent_1,113.0,191.0,859.0
206,,,843.0,751.0,household_agent_0,1000.0,191.0,household_agent_1,140.0,382.0,891.0
207,,,844.0,751.0,household_agent_2,1002.0,191.0,household_agent_1,170.0,382.0,921.0
208,,,943.0,854.0,household_agent_0,1000.0,191.0,household_agent_1,53.0,191.0,907.0
209,,,944.0,854.0,household_agent_2,1002.0,191.0,household_agent_1,87.0,191.0,941.0
210,,,993.0,913.0,household_agent_0,1000.0,191.0,household_agent_1,84.0,191.0,997.0
211,,,994.0,913.0,household_agent_2,1002.0,191.0,household_agent_1,102.0,191.0,1015.0
212,,,1043.0,1005.0,household_agent_0,1000.0,191.0,household_agent_1,71.0,191.0,1076.0
213,,,1044.0,1005.0,household_agent_2,1002.0,191.0,household_agent_1,90.0,191.0,1095.0
214,,,1093.0,1032.0,household_agent_0,1000.0,191.0,household_agent_1,84.0,191.0,1116.0
215,,,1094.0,1032.0,household_agent_2,1002.0,191.0,household_agent_1,102.0,191.0,1134.0
216,,,1143.0,1104.0,household_agent_0,1000.0,191.0,household_agent_1,54.0,191.0,1158.0
217,,,1144.0,1104.0,household_agent_2,1002.0,191.0,household_agent_1,70.0,191.0,1174.0
218,,,1193.0,1194.0,household_agent_0,1000.0,191.0,household_agent_1,50.0,191.0,1244.0
219,,,1194.0,1194.0,household_agent_2,1002.0,191.0,household_agent_1,65.0,191.0,1259.0
220,,,1243.0,1239.0,household_agent_0,1000.0,191.0,household_agent_1,60.0,191.0,1299.0
221,,,1244.0,1239.0,household_agent_2,1002.0,191.0,household_agent_1,69.0,191.0,1308.0
222,,,1293.0,1321.0,household_agent_0,1000.0,191.0,household_agent_1,46.0,191.0,1367.0
223,,,1294.0,1321.0,household_agent_2,1002.0,191.0,household_agent_1,58.0,191.0,1379.0
224,,,1343.0,1396.0,household_agent_0,1000.0,191.0,household_agent_1,51.0,191.0,1447.0
225,,,1344.0,1396.0,household_agent_2,1002.0,191.0,household_agent_1,65.0,191.0,1461.0
226,,,1393.0,1458.0,household_agent_0,1000.0,191.0,household_agent_1,50.0,191.0,1508.0
227,,,1394.0,1458.0,household_agent_2,1002.0,191.0,household_agent_1,62.0,191.0,1520.0
228,,,1443.0,1543.0,household_agent_0,1000.0,191.0,household_agent_1,48.0,191.0,1591.0
229,,,1444.0,1543.0,household_agent_2,1002.0,191.0,household_agent_1,63.0,191.0,1606.0
230,,,1493.0,1594.0,household_agent_0,1000.0,191.0,household_agent_1,50.0,191.0,1644.0
231,,,1494.0,1594.0,household_agent_2,1002.0,191.0,household_agent_1,81.0,191.0,1675.0
