,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 02:38:27.706549,,,,,,,,,
1,Simulation configuration ID,b0cf3e91-5266-42be-ae28-580972604429,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,35.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,55.0
1,,,0.0,35.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,69.0
2,,,1.0,110.0,household_agent_1,1001.0,991.0,aggregator_agent,49.0,536.0,159.0
3,,,1.0,110.0,household_agent_1,1001.0,991.0,aggregator_agent,83.0,455.0,193.0
4,,,6.0,14572.0,household_agent_1,1001.0,991.0,household_agent_0,63.0,536.0,14635.0
5,,,6.0,14572.0,household_agent_1,1001.0,991.0,household_agent_0,99.0,455.0,14671.0
6,,,2.0,1526.0,household_agent_0,1000.0,991.0,household_agent_1,49.0,536.0,1575.0
7,,,2.0,1526.0,household_agent_0,1000.0,991.0,household_agent_1,83.0,455.0,1609.0
8,,,3.0,1526.0,household_agent_2,1002.0,991.0,household_agent_1,60.0,536.0,1586.0
9,,,3.0,1526.0,household_agent_2,1002.0,991.0,household_agent_1,94.0,455.0,1620.0
10,,,4.0,14572.0,household_agent_0,1000.0,991.0,household_agent_1,57.0,536.0,14629.0
11,,,4.0,14572.0,household_agent_0,1000.0,991.0,household_agent_1,102.0,455.0,14674.0
