,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 04:20:59.455827,,,,,,,,,
1,Simulation configuration ID,baa1c00c-6fb9-439b-b926-d407e5a70d8c,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,73.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,92.0
1,,,1.0,194.0,household_agent_5,1005.0,41.0,aggregator_agent,47.0,41.0,241.0
2,,,677.0,1107.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,1135.0
3,,,22.0,224.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,271.0
4,,,54.0,279.0,household_agent_1,1001.0,41.0,household_agent_0,49.0,41.0,328.0
5,,,86.0,355.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,403.0
6,,,118.0,420.0,household_agent_1,1001.0,41.0,household_agent_0,63.0,41.0,483.0
7,,,150.0,437.0,household_agent_1,1001.0,41.0,household_agent_0,56.0,41.0,493.0
8,,,182.0,452.0,household_agent_1,1001.0,41.0,household_agent_0,69.0,41.0,521.0
9,,,214.0,541.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,589.0
10,,,246.0,641.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,688.0
11,,,278.0,694.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,742.0
12,,,310.0,771.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,818.0
13,,,342.0,805.0,household_agent_1,1001.0,41.0,household_agent_0,50.0,41.0,855.0
14,,,374.0,850.0,household_agent_1,1001.0,41.0,household_agent_0,44.0,41.0,894.0
15,,,406.0,889.0,household_agent_1,1001.0,41.0,household_agent_0,68.0,82.0,957.0
16,,,470.0,904.0,household_agent_1,1001.0,41.0,household_agent_0,82.0,41.0,986.0
17,,,502.0,981.0,household_agent_1,1001.0,41.0,household_agent_0,44.0,41.0,1025.0
18,,,534.0,1021.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,1066.0
19,,,566.0,1094.0,household_agent_1,1001.0,41.0,household_agent_0,47.0,41.0,1141.0
20,,,598.0,1168.0,household_agent_1,1001.0,41.0,household_agent_0,48.0,41.0,1216.0
21,,,630.0,1199.0,household_agent_1,1001.0,41.0,household_agent_0,52.0,41.0,1251.0
22,,,662.0,1235.0,household_agent_1,1001.0,41.0,household_agent_0,55.0,41.0,1290.0
23,,,18.0,224.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,271.0
24,,,19.0,224.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,276.0
25,,,50.0,279.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,326.0
26,,,51.0,279.0,household_agent_2,1002.0,41.0,household_agent_1,53.0,41.0,332.0
27,,,82.0,355.0,household_agent_0,1000.0,41.0,household_agent_1,48.0,41.0,403.0
28,,,83.0,355.0,household_agent_2,1002.0,41.0,household_agent_1,53.0,41.0,408.0
29,,,114.0,420.0,household_agent_0,1000.0,41.0,household_agent_1,65.0,41.0,485.0
30,,,115.0,420.0,household_agent_2,1002.0,41.0,household_agent_1,87.0,82.0,507.0
31,,,146.0,437.0,household_agent_0,1000.0,41.0,household_agent_1,53.0,41.0,490.0
32,,,178.0,452.0,household_agent_0,1000.0,41.0,household_agent_1,66.0,41.0,518.0
33,,,179.0,452.0,household_agent_2,1002.0,41.0,household_agent_1,88.0,41.0,540.0
34,,,210.0,541.0,household_agent_0,1000.0,41.0,household_agent_1,49.0,41.0,590.0
35,,,211.0,541.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,593.0
36,,,242.0,641.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,688.0
37,,,243.0,641.0,household_agent_2,1002.0,41.0,household_agent_1,52.0,41.0,693.0
38,,,274.0,694.0,household_agent_0,1000.0,41.0,household_agent_1,44.0,41.0,738.0
39,,,275.0,694.0,household_agent_2,1002.0,41.0,household_agent_1,55.0,41.0,749.0
40,,,306.0,771.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,818.0
41,,,307.0,771.0,household_agent_2,1002.0,41.0,household_agent_1,63.0,41.0,834.0
42,,,338.0,805.0,household_agent_0,1000.0,41.0,household_agent_1,53.0,41.0,858.0
43,,,339.0,805.0,household_agent_2,1002.0,41.0,household_agent_1,109.0,41.0,914.0
44,,,370.0,850.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,897.0
45,,,371.0,850.0,household_agent_2,1002.0,41.0,household_agent_1,103.0,41.0,953.0
46,,,402.0,889.0,household_agent_0,1000.0,41.0,household_agent_1,66.0,82.0,955.0
47,,,403.0,889.0,household_agent_2,1002.0,41.0,household_agent_1,82.0,82.0,971.0
48,,,466.0,904.0,household_agent_0,1000.0,41.0,household_agent_1,79.0,41.0,983.0
49,,,467.0,904.0,household_agent_2,1002.0,41.0,household_agent_1,107.0,41.0,1011.0
50,,,498.0,981.0,household_agent_0,1000.0,41.0,household_agent_1,49.0,41.0,1030.0
51,,,499.0,981.0,household_agent_2,1002.0,41.0,household_agent_1,59.0,41.0,1040.0
52,,,530.0,1021.0,household_agent_0,1000.0,41.0,household_agent_1,49.0,41.0,1070.0
53,,,531.0,1021.0,household_agent_2,1002.0,41.0,household_agent_1,64.0,41.0,1085.0
54,,,562.0,1094.0,household_agent_0,1000.0,41.0,household_agent_1,49.0,41.0,1143.0
55,,,563.0,1094.0,household_agent_2,1002.0,41.0,household_agent_1,53.0,41.0,1147.0
56,,,594.0,1168.0,household_agent_0,1000.0,41.0,household_agent_1,47.0,41.0,1215.0
57,,,595.0,1168.0,household_agent_2,1002.0,41.0,household_agent_1,91.0,41.0,1259.0
58,,,626.0,1199.0,household_agent_0,1000.0,41.0,household_agent_1,77.0,41.0,1276.0
59,,,627.0,1199.0,household_agent_2,1002.0,41.0,household_agent_1,83.0,41.0,1282.0
60,,,658.0,1235.0,household_agent_0,1000.0,41.0,household_agent_1,71.0,41.0,1306.0
61,,,659.0,1235.0,household_agent_2,1002.0,41.0,household_agent_1,76.0,41.0,1311.0
62,,,14.0,224.0,household_agent_1,1001.0,41.0,household_agent_2,53.0,41.0,277.0
63,,,15.0,224.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,282.0
64,,,46.0,279.0,household_agent_1,1001.0,41.0,household_agent_2,53.0,41.0,332.0
65,,,47.0,279.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,337.0
66,,,78.0,355.0,household_agent_1,1001.0,41.0,household_agent_2,54.0,41.0,409.0
67,,,79.0,355.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,413.0
68,,,110.0,420.0,household_agent_1,1001.0,41.0,household_agent_2,93.0,82.0,513.0
69,,,111.0,420.0,household_agent_3,1003.0,41.0,household_agent_2,92.0,82.0,512.0
70,,,174.0,452.0,household_agent_1,1001.0,41.0,household_agent_2,88.0,41.0,540.0
71,,,175.0,452.0,household_agent_3,1003.0,41.0,household_agent_2,94.0,41.0,546.0
72,,,206.0,541.0,household_agent_1,1001.0,41.0,household_agent_2,52.0,41.0,593.0
73,,,207.0,541.0,household_agent_3,1003.0,41.0,household_agent_2,55.0,41.0,596.0
74,,,238.0,641.0,household_agent_1,1001.0,41.0,household_agent_2,53.0,41.0,694.0
75,,,239.0,641.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,699.0
76,,,270.0,694.0,household_agent_1,1001.0,41.0,household_agent_2,64.0,41.0,758.0
77,,,271.0,694.0,household_agent_3,1003.0,41.0,household_agent_2,47.0,41.0,741.0
78,,,302.0,771.0,household_agent_1,1001.0,41.0,household_agent_2,89.0,41.0,860.0
79,,,303.0,771.0,household_agent_3,1003.0,41.0,household_agent_2,58.0,41.0,829.0
80,,,334.0,805.0,household_agent_1,1001.0,41.0,household_agent_2,92.0,41.0,897.0
81,,,335.0,805.0,household_agent_3,1003.0,41.0,household_agent_2,66.0,41.0,871.0
82,,,366.0,850.0,household_agent_1,1001.0,41.0,household_agent_2,51.0,41.0,901.0
83,,,367.0,850.0,household_agent_3,1003.0,41.0,household_agent_2,62.0,41.0,912.0
84,,,398.0,889.0,household_agent_1,1001.0,41.0,household_agent_2,74.0,82.0,963.0
85,,,399.0,889.0,household_agent_3,1003.0,41.0,household_agent_2,84.0,82.0,973.0
86,,,462.0,904.0,household_agent_1,1001.0,41.0,household_agent_2,87.0,41.0,991.0
87,,,463.0,904.0,household_agent_3,1003.0,41.0,household_agent_2,104.0,41.0,1008.0
88,,,494.0,981.0,household_agent_1,1001.0,41.0,household_agent_2,55.0,41.0,1036.0
89,,,495.0,981.0,household_agent_3,1003.0,41.0,household_agent_2,66.0,41.0,1047.0
90,,,526.0,1021.0,household_agent_1,1001.0,41.0,household_agent_2,55.0,41.0,1076.0
91,,,527.0,1021.0,household_agent_3,1003.0,41.0,household_agent_2,66.0,41.0,1087.0
92,,,558.0,1094.0,household_agent_1,1001.0,41.0,household_agent_2,53.0,41.0,1147.0
93,,,559.0,1094.0,household_agent_3,1003.0,41.0,household_agent_2,59.0,41.0,1153.0
94,,,590.0,1168.0,household_agent_1,1001.0,41.0,household_agent_2,77.0,41.0,1245.0
95,,,591.0,1168.0,household_agent_3,1003.0,41.0,household_agent_2,88.0,41.0,1256.0
96,,,622.0,1199.0,household_agent_1,1001.0,41.0,household_agent_2,81.0,41.0,1280.0
97,,,623.0,1199.0,household_agent_3,1003.0,41.0,household_agent_2,92.0,41.0,1291.0
98,,,654.0,1235.0,household_agent_1,1001.0,41.0,household_agent_2,51.0,41.0,1286.0
99,,,655.0,1235.0,household_agent_3,1003.0,41.0,household_agent_2,63.0,41.0,1298.0
100,,,10.0,224.0,household_agent_2,1002.0,41.0,household_agent_3,49.0,41.0,273.0
101,,,11.0,224.0,household_agent_4,1004.0,41.0,household_agent_3,52.0,41.0,276.0
102,,,42.0,279.0,household_agent_2,1002.0,41.0,household_agent_3,51.0,41.0,330.0
103,,,43.0,279.0,household_agent_4,1004.0,41.0,household_agent_3,56.0,41.0,335.0
104,,,74.0,355.0,household_agent_2,1002.0,41.0,household_agent_3,48.0,41.0,403.0
105,,,75.0,355.0,household_agent_4,1004.0,41.0,household_agent_3,53.0,41.0,408.0
106,,,106.0,420.0,household_agent_2,1002.0,41.0,household_agent_3,86.0,82.0,506.0
107,,,107.0,420.0,household_agent_4,1004.0,41.0,household_agent_3,91.0,82.0,511.0
108,,,170.0,452.0,household_agent_2,1002.0,41.0,household_agent_3,82.0,41.0,534.0
109,,,171.0,452.0,household_agent_4,1004.0,41.0,household_agent_3,87.0,41.0,539.0
110,,,202.0,541.0,household_agent_2,1002.0,41.0,household_agent_3,48.0,41.0,589.0
111,,,203.0,541.0,household_agent_4,1004.0,41.0,household_agent_3,52.0,41.0,593.0
112,,,234.0,641.0,household_agent_2,1002.0,41.0,household_agent_3,48.0,41.0,689.0
113,,,235.0,641.0,household_agent_4,1004.0,41.0,household_agent_3,53.0,41.0,694.0
114,,,266.0,694.0,household_agent_2,1002.0,41.0,household_agent_3,45.0,41.0,739.0
115,,,267.0,694.0,household_agent_4,1004.0,41.0,household_agent_3,57.0,41.0,751.0
116,,,298.0,771.0,household_agent_2,1002.0,41.0,household_agent_3,48.0,41.0,819.0
117,,,299.0,771.0,household_agent_4,1004.0,41.0,household_agent_3,59.0,41.0,830.0
118,,,330.0,805.0,household_agent_2,1002.0,41.0,household_agent_3,50.0,41.0,855.0
119,,,331.0,805.0,household_agent_4,1004.0,41.0,household_agent_3,103.0,41.0,908.0
120,,,362.0,850.0,household_agent_2,1002.0,41.0,household_agent_3,47.0,41.0,897.0
121,,,363.0,850.0,household_agent_4,1004.0,41.0,household_agent_3,107.0,41.0,957.0
122,,,394.0,889.0,household_agent_2,1002.0,41.0,household_agent_3,63.0,82.0,952.0
123,,,395.0,889.0,household_agent_4,1004.0,41.0,household_agent_3,74.0,82.0,963.0
124,,,458.0,904.0,household_agent_2,1002.0,41.0,household_agent_3,89.0,41.0,993.0
125,,,459.0,904.0,household_agent_4,1004.0,41.0,household_agent_3,94.0,41.0,998.0
126,,,490.0,981.0,household_agent_2,1002.0,41.0,household_agent_3,52.0,41.0,1033.0
127,,,491.0,981.0,household_agent_4,1004.0,41.0,household_agent_3,63.0,41.0,1044.0
128,,,522.0,1021.0,household_agent_2,1002.0,41.0,household_agent_3,57.0,41.0,1078.0
129,,,523.0,1021.0,household_agent_4,1004.0,41.0,household_agent_3,62.0,41.0,1083.0
