,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 17:13:41.361106,,,,,,,,,
1,Simulation configuration ID,bf92c9a7-86c4-4d2a-bc2d-9d951500e4e1,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,82.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,101.0
1,,,1.0,126.0,household_agent_1,1001.0,191.0,aggregator_agent,47.0,191.0,173.0
2,,,6.0,7129.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,7176.0
3,,,2.0,6496.0,household_agent_0,1000.0,191.0,household_agent_1,47.0,191.0,6543.0
4,,,3.0,6496.0,household_agent_2,1002.0,191.0,household_agent_1,58.0,191.0,6554.0
5,,,4.0,7129.0,household_agent_0,1000.0,191.0,household_agent_1,48.0,191.0,7177.0
6,,,5.0,7129.0,household_agent_2,1002.0,191.0,household_agent_1,59.0,191.0,7188.0
7,,,7.0,7129.0,household_agent_1,1001.0,191.0,household_agent_2,53.0,191.0,7182.0
8,,,8.0,7129.0,household_agent_3,1003.0,191.0,household_agent_2,65.0,191.0,7194.0
9,,,9.0,7129.0,household_agent_2,1002.0,191.0,household_agent_3,51.0,191.0,7180.0
10,,,10.0,7129.0,household_agent_4,1004.0,191.0,household_agent_3,60.0,191.0,7189.0
11,,,11.0,7129.0,household_agent_3,1003.0,191.0,household_agent_4,51.0,191.0,7180.0
12,,,12.0,7129.0,household_agent_5,1005.0,191.0,household_agent_4,58.0,191.0,7187.0
13,,,13.0,7129.0,household_agent_4,1004.0,191.0,household_agent_5,49.0,191.0,7178.0
14,,,14.0,7129.0,household_agent_6,1006.0,191.0,household_agent_5,62.0,191.0,7191.0
15,,,15.0,7129.0,household_agent_5,1005.0,191.0,household_agent_6,71.0,191.0,7200.0
16,,,16.0,7129.0,household_agent_7,1007.0,191.0,household_agent_6,58.0,191.0,7187.0
17,,,17.0,7129.0,household_agent_6,1006.0,191.0,household_agent_7,63.0,191.0,7192.0
18,,,18.0,7129.0,household_agent_8,1008.0,191.0,household_agent_7,70.0,191.0,7199.0
19,,,19.0,7129.0,household_agent_7,1007.0,191.0,household_agent_8,55.0,191.0,7184.0
20,,,20.0,7129.0,household_agent_9,1009.0,191.0,household_agent_8,66.0,191.0,7195.0
21,,,21.0,7129.0,household_agent_8,1008.0,191.0,household_agent_9,52.0,191.0,7181.0
22,,,22.0,7129.0,household_agent_10,1010.0,191.0,household_agent_9,66.0,191.0,7195.0
23,,,23.0,7129.0,household_agent_9,1009.0,191.0,household_agent_10,55.0,191.0,7184.0
24,,,24.0,7129.0,household_agent_11,1011.0,191.0,household_agent_10,65.0,191.0,7194.0
25,,,25.0,7129.0,household_agent_10,1010.0,191.0,household_agent_11,72.0,191.0,7201.0
26,,,26.0,7129.0,household_agent_12,1012.0,191.0,household_agent_11,78.0,191.0,7207.0
27,,,27.0,7129.0,household_agent_11,1011.0,191.0,household_agent_12,64.0,191.0,7193.0
28,,,28.0,7129.0,generation_agent_0,1013.0,191.0,household_agent_12,74.0,191.0,7203.0
29,,,29.0,7129.0,household_agent_12,1012.0,191.0,generation_agent_0,61.0,191.0,7190.0
30,,,30.0,7129.0,generation_agent_1,1014.0,191.0,generation_agent_0,68.0,191.0,7197.0
31,,,31.0,7129.0,generation_agent_0,1013.0,191.0,generation_agent_1,60.0,191.0,7189.0
32,,,32.0,7129.0,generation_agent_2,1015.0,191.0,generation_agent_1,73.0,191.0,7202.0
33,,,33.0,7129.0,generation_agent_1,1014.0,191.0,generation_agent_2,81.0,191.0,7210.0
34,,,34.0,7129.0,generation_agent_3,1016.0,191.0,generation_agent_2,67.0,191.0,7196.0
35,,,35.0,7129.0,generation_agent_2,1015.0,191.0,generation_agent_3,71.0,191.0,7200.0
