,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 16:50:01.543292,,,,,,,,,
1,Simulation configuration ID,c4d9814a-cc44-4e6c-8acb-13cf76d92219,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,86.0,household_agent_10,1010.0,41.0,control_center_agent,19.0,41.0,105.0
1,,,46.0,140.0,household_agent_1,1001.0,41.0,household_agent_0,53.0,41.0,193.0
2,,,47.0,140.0,household_agent_7,1007.0,41.0,household_agent_0,42.0,41.0,182.0
3,,,48.0,140.0,generation_agent_3,1016.0,41.0,household_agent_0,50.0,41.0,190.0
4,,,146.0,182.0,household_agent_1,1001.0,41.0,household_agent_0,72.0,82.0,254.0
5,,,147.0,182.0,household_agent_7,1007.0,41.0,household_agent_0,94.0,82.0,276.0
6,,,148.0,182.0,generation_agent_3,1016.0,41.0,household_agent_0,106.0,82.0,288.0
7,,,296.0,301.0,household_agent_1,1001.0,41.0,household_agent_0,53.0,41.0,354.0
8,,,297.0,301.0,household_agent_7,1007.0,41.0,household_agent_0,39.0,41.0,340.0
9,,,298.0,301.0,generation_agent_3,1016.0,41.0,household_agent_0,45.0,41.0,346.0
10,,,346.0,360.0,household_agent_1,1001.0,41.0,household_agent_0,49.0,41.0,409.0
11,,,347.0,360.0,household_agent_7,1007.0,41.0,household_agent_0,43.0,41.0,403.0
12,,,348.0,360.0,generation_agent_3,1016.0,41.0,household_agent_0,57.0,41.0,417.0
13,,,396.0,445.0,household_agent_1,1001.0,41.0,household_agent_0,60.0,41.0,505.0
14,,,397.0,445.0,household_agent_7,1007.0,41.0,household_agent_0,65.0,41.0,510.0
15,,,398.0,445.0,generation_agent_3,1016.0,41.0,household_agent_0,71.0,41.0,516.0
16,,,446.0,467.0,household_agent_1,1001.0,41.0,household_agent_0,63.0,41.0,530.0
17,,,447.0,467.0,household_agent_7,1007.0,41.0,household_agent_0,69.0,41.0,536.0
18,,,448.0,467.0,generation_agent_3,1016.0,41.0,household_agent_0,80.0,41.0,547.0
19,,,496.0,529.0,household_agent_1,1001.0,41.0,household_agent_0,37.0,41.0,566.0
20,,,497.0,529.0,household_agent_7,1007.0,41.0,household_agent_0,48.0,41.0,577.0
21,,,498.0,529.0,generation_agent_3,1016.0,41.0,household_agent_0,64.0,41.0,593.0
22,,,546.0,576.0,household_agent_1,1001.0,41.0,household_agent_0,50.0,41.0,626.0
23,,,547.0,576.0,household_agent_7,1007.0,41.0,household_agent_0,45.0,41.0,621.0
24,,,548.0,576.0,generation_agent_3,1016.0,41.0,household_agent_0,56.0,41.0,632.0
25,,,596.0,581.0,household_agent_1,1001.0,41.0,household_agent_0,73.0,41.0,654.0
26,,,597.0,581.0,household_agent_7,1007.0,41.0,household_agent_0,72.0,41.0,653.0
27,,,598.0,581.0,generation_agent_3,1016.0,41.0,household_agent_0,91.0,41.0,672.0
28,,,646.0,671.0,household_agent_1,1001.0,41.0,household_agent_0,69.0,82.0,740.0
29,,,647.0,671.0,household_agent_7,1007.0,41.0,household_agent_0,75.0,82.0,746.0
30,,,648.0,671.0,generation_agent_3,1016.0,41.0,household_agent_0,80.0,41.0,751.0
31,,,698.0,684.0,generation_agent_3,1016.0,41.0,household_agent_0,79.0,41.0,763.0
32,,,746.0,700.0,household_agent_1,1001.0,41.0,household_agent_0,70.0,41.0,770.0
33,,,747.0,700.0,household_agent_7,1007.0,41.0,household_agent_0,79.0,41.0,779.0
34,,,748.0,700.0,generation_agent_3,1016.0,41.0,household_agent_0,99.0,41.0,799.0
35,,,796.0,764.0,household_agent_1,1001.0,41.0,household_agent_0,53.0,41.0,817.0
36,,,797.0,764.0,household_agent_7,1007.0,41.0,household_agent_0,40.0,41.0,804.0
37,,,798.0,764.0,generation_agent_3,1016.0,41.0,household_agent_0,53.0,41.0,817.0
38,,,846.0,823.0,household_agent_1,1001.0,41.0,household_agent_0,41.0,41.0,864.0
39,,,847.0,823.0,household_agent_7,1007.0,41.0,household_agent_0,47.0,41.0,870.0
40,,,848.0,823.0,generation_agent_3,1016.0,41.0,household_agent_0,52.0,41.0,875.0
41,,,896.0,908.0,household_agent_1,1001.0,41.0,household_agent_0,78.0,41.0,986.0
42,,,897.0,908.0,household_agent_7,1007.0,41.0,household_agent_0,62.0,41.0,970.0
43,,,898.0,908.0,generation_agent_3,1016.0,41.0,household_agent_0,70.0,41.0,978.0
44,,,946.0,928.0,household_agent_1,1001.0,41.0,household_agent_0,79.0,82.0,1007.0
45,,,947.0,928.0,household_agent_7,1007.0,41.0,household_agent_0,87.0,41.0,1015.0
46,,,948.0,928.0,generation_agent_3,1016.0,41.0,household_agent_0,98.0,82.0,1026.0
47,,,997.0,947.0,household_agent_7,1007.0,41.0,household_agent_0,68.0,41.0,1015.0
48,,,1046.0,955.0,household_agent_1,1001.0,41.0,household_agent_0,66.0,41.0,1021.0
49,,,1047.0,955.0,household_agent_7,1007.0,41.0,household_agent_0,100.0,41.0,1055.0
50,,,1048.0,955.0,generation_agent_3,1016.0,41.0,household_agent_0,111.0,41.0,1066.0
51,,,1096.0,988.0,household_agent_1,1001.0,41.0,household_agent_0,60.0,41.0,1048.0
52,,,1097.0,988.0,household_agent_7,1007.0,41.0,household_agent_0,98.0,41.0,1086.0
53,,,1098.0,988.0,generation_agent_3,1016.0,41.0,household_agent_0,114.0,41.0,1102.0
54,,,1146.0,1050.0,household_agent_1,1001.0,41.0,household_agent_0,64.0,41.0,1114.0
55,,,1147.0,1050.0,household_agent_7,1007.0,41.0,household_agent_0,52.0,41.0,1102.0
56,,,1148.0,1050.0,generation_agent_3,1016.0,41.0,household_agent_0,85.0,41.0,1135.0
57,,,1196.0,1067.0,household_agent_1,1001.0,41.0,household_agent_0,75.0,41.0,1142.0
58,,,1197.0,1067.0,household_agent_7,1007.0,41.0,household_agent_0,68.0,41.0,1135.0
