,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 08:07:02.559452,,,,,,,,,
1,Simulation configuration ID,cd53df3a-41e9-4bdb-9ece-691277e909c6,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,36.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,55.0
1,,,1.0,76.0,generation_agent_0,1013.0,41.0,aggregator_agent,47.0,41.0,123.0
2,,,101.0,1460.0,control_center_agent,1017.0,41.0,aggregator_agent,28.0,41.0,1488.0
3,,,27.0,336.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,381.0
4,,,28.0,336.0,household_agent_10,1010.0,41.0,household_agent_0,50.0,41.0,386.0
5,,,29.0,336.0,household_agent_7,1007.0,41.0,household_agent_0,62.0,41.0,398.0
6,,,30.0,336.0,generation_agent_3,1016.0,41.0,household_agent_0,67.0,41.0,403.0
7,,,75.0,790.0,household_agent_1,1001.0,41.0,household_agent_0,45.0,41.0,835.0
8,,,76.0,790.0,household_agent_10,1010.0,41.0,household_agent_0,50.0,41.0,840.0
9,,,77.0,790.0,household_agent_7,1007.0,41.0,household_agent_0,61.0,41.0,851.0
10,,,78.0,790.0,generation_agent_3,1016.0,41.0,household_agent_0,67.0,41.0,857.0
11,,,14.0,336.0,household_agent_0,1000.0,41.0,household_agent_1,45.0,41.0,381.0
12,,,15.0,336.0,household_agent_2,1002.0,41.0,household_agent_1,50.0,41.0,386.0
13,,,16.0,336.0,generation_agent_1,1014.0,41.0,household_agent_1,61.0,41.0,397.0
14,,,62.0,790.0,household_agent_0,1000.0,41.0,household_agent_1,46.0,41.0,836.0
15,,,63.0,790.0,household_agent_2,1002.0,41.0,household_agent_1,49.0,41.0,839.0
16,,,64.0,790.0,generation_agent_1,1014.0,41.0,household_agent_1,63.0,41.0,853.0
17,,,31.0,336.0,household_agent_1,1001.0,41.0,household_agent_2,50.0,41.0,386.0
18,,,32.0,336.0,household_agent_3,1003.0,41.0,household_agent_2,55.0,41.0,391.0
19,,,33.0,336.0,generation_agent_2,1015.0,41.0,household_agent_2,72.0,41.0,408.0
20,,,34.0,336.0,household_agent_10,1010.0,41.0,household_agent_2,97.0,41.0,433.0
21,,,79.0,790.0,household_agent_1,1001.0,41.0,household_agent_2,50.0,41.0,840.0
22,,,80.0,790.0,household_agent_3,1003.0,41.0,household_agent_2,55.0,41.0,845.0
23,,,81.0,790.0,generation_agent_2,1015.0,41.0,household_agent_2,72.0,41.0,862.0
24,,,82.0,790.0,household_agent_10,1010.0,41.0,household_agent_2,96.0,41.0,886.0
25,,,43.0,336.0,household_agent_2,1002.0,41.0,household_agent_3,44.0,41.0,380.0
26,,,44.0,336.0,household_agent_4,1004.0,41.0,household_agent_3,49.0,41.0,385.0
27,,,91.0,790.0,household_agent_2,1002.0,41.0,household_agent_3,44.0,41.0,834.0
28,,,92.0,790.0,household_agent_4,1004.0,41.0,household_agent_3,55.0,41.0,845.0
29,,,50.0,336.0,household_agent_3,1003.0,41.0,household_agent_4,47.0,41.0,383.0
30,,,51.0,336.0,household_agent_5,1005.0,41.0,household_agent_4,52.0,41.0,388.0
31,,,98.0,790.0,household_agent_3,1003.0,41.0,household_agent_4,47.0,41.0,837.0
32,,,99.0,790.0,household_agent_5,1005.0,41.0,household_agent_4,52.0,41.0,842.0
33,,,47.0,336.0,household_agent_4,1004.0,41.0,household_agent_5,43.0,41.0,379.0
34,,,48.0,336.0,household_agent_6,1006.0,41.0,household_agent_5,49.0,41.0,385.0
35,,,49.0,336.0,household_agent_9,1009.0,41.0,household_agent_5,60.0,41.0,396.0
36,,,95.0,790.0,household_agent_4,1004.0,41.0,household_agent_5,44.0,41.0,834.0
37,,,96.0,790.0,household_agent_6,1006.0,41.0,household_agent_5,50.0,41.0,840.0
38,,,97.0,790.0,household_agent_9,1009.0,41.0,household_agent_5,61.0,41.0,851.0
39,,,45.0,336.0,household_agent_5,1005.0,41.0,household_agent_6,63.0,41.0,399.0
40,,,46.0,336.0,household_agent_7,1007.0,41.0,household_agent_6,69.0,41.0,405.0
41,,,93.0,790.0,household_agent_5,1005.0,41.0,household_agent_6,64.0,41.0,854.0
42,,,94.0,790.0,household_agent_7,1007.0,41.0,household_agent_6,71.0,41.0,861.0
43,,,35.0,336.0,household_agent_6,1006.0,41.0,household_agent_7,59.0,41.0,395.0
44,,,36.0,336.0,household_agent_8,1008.0,41.0,household_agent_7,64.0,41.0,400.0
45,,,37.0,336.0,household_agent_0,1000.0,41.0,household_agent_7,75.0,41.0,411.0
46,,,83.0,790.0,household_agent_6,1006.0,41.0,household_agent_7,58.0,41.0,848.0
47,,,84.0,790.0,household_agent_8,1008.0,41.0,household_agent_7,63.0,41.0,853.0
48,,,85.0,790.0,household_agent_0,1000.0,41.0,household_agent_7,74.0,41.0,864.0
49,,,17.0,336.0,household_agent_7,1007.0,41.0,household_agent_8,53.0,41.0,389.0
50,,,18.0,336.0,household_agent_9,1009.0,41.0,household_agent_8,57.0,41.0,393.0
51,,,19.0,336.0,generation_agent_1,1014.0,41.0,household_agent_8,68.0,41.0,404.0
52,,,65.0,790.0,household_agent_7,1007.0,41.0,household_agent_8,49.0,41.0,839.0
53,,,66.0,790.0,household_agent_9,1009.0,41.0,household_agent_8,54.0,41.0,844.0
54,,,67.0,790.0,generation_agent_1,1014.0,41.0,household_agent_8,65.0,41.0,855.0
55,,,38.0,336.0,household_agent_8,1008.0,41.0,household_agent_9,49.0,41.0,385.0
56,,,39.0,336.0,household_agent_10,1010.0,41.0,household_agent_9,55.0,41.0,391.0
57,,,40.0,336.0,household_agent_5,1005.0,41.0,household_agent_9,74.0,41.0,410.0
58,,,86.0,790.0,household_agent_8,1008.0,41.0,household_agent_9,49.0,41.0,839.0
59,,,87.0,790.0,household_agent_10,1010.0,41.0,household_agent_9,56.0,41.0,846.0
60,,,88.0,790.0,household_agent_5,1005.0,41.0,household_agent_9,74.0,41.0,864.0
61,,,23.0,336.0,household_agent_0,1000.0,41.0,household_agent_10,49.0,41.0,385.0
62,,,24.0,336.0,household_agent_9,1009.0,41.0,household_agent_10,66.0,41.0,402.0
63,,,25.0,336.0,household_agent_11,1011.0,41.0,household_agent_10,72.0,41.0,408.0
64,,,26.0,336.0,household_agent_2,1002.0,41.0,household_agent_10,97.0,41.0,433.0
65,,,71.0,790.0,household_agent_0,1000.0,41.0,household_agent_10,48.0,41.0,838.0
66,,,72.0,790.0,household_agent_9,1009.0,41.0,household_agent_10,65.0,41.0,855.0
67,,,73.0,790.0,household_agent_11,1011.0,41.0,household_agent_10,71.0,41.0,861.0
68,,,74.0,790.0,household_agent_2,1002.0,41.0,household_agent_10,97.0,41.0,887.0
69,,,12.0,336.0,household_agent_10,1010.0,41.0,household_agent_11,66.0,41.0,402.0
70,,,13.0,336.0,household_agent_12,1012.0,41.0,household_agent_11,77.0,41.0,413.0
71,,,60.0,790.0,household_agent_10,1010.0,41.0,household_agent_11,65.0,41.0,855.0
72,,,61.0,790.0,household_agent_12,1012.0,41.0,household_agent_11,76.0,41.0,866.0
73,,,6.0,336.0,household_agent_11,1011.0,41.0,household_agent_12,62.0,41.0,398.0
74,,,7.0,336.0,generation_agent_0,1013.0,41.0,household_agent_12,57.0,41.0,393.0
75,,,54.0,790.0,household_agent_11,1011.0,41.0,household_agent_12,62.0,41.0,852.0
76,,,55.0,790.0,generation_agent_0,1013.0,41.0,household_agent_12,58.0,41.0,848.0
77,,,2.0,262.0,household_agent_12,1012.0,41.0,generation_agent_0,47.0,41.0,309.0
78,,,3.0,262.0,generation_agent_1,1014.0,41.0,generation_agent_0,58.0,41.0,320.0
79,,,4.0,336.0,household_agent_12,1012.0,41.0,generation_agent_0,60.0,41.0,396.0
80,,,5.0,336.0,generation_agent_1,1014.0,41.0,generation_agent_0,76.0,41.0,412.0
81,,,52.0,790.0,household_agent_12,1012.0,41.0,generation_agent_0,59.0,41.0,849.0
82,,,53.0,790.0,generation_agent_1,1014.0,41.0,generation_agent_0,75.0,41.0,865.0
83,,,100.0,1220.0,aggregator_agent,1019.0,41.0,generation_agent_0,47.0,41.0,1267.0
84,,,8.0,336.0,household_agent_1,1001.0,41.0,generation_agent_1,76.0,41.0,412.0
85,,,9.0,336.0,household_agent_8,1008.0,41.0,generation_agent_1,87.0,41.0,423.0
86,,,10.0,336.0,generation_agent_0,1013.0,41.0,generation_agent_1,63.0,41.0,399.0
87,,,11.0,336.0,generation_agent_2,1015.0,41.0,generation_agent_1,98.0,41.0,434.0
88,,,56.0,790.0,household_agent_1,1001.0,41.0,generation_agent_1,74.0,41.0,864.0
89,,,57.0,790.0,household_agent_8,1008.0,41.0,generation_agent_1,85.0,41.0,875.0
90,,,58.0,790.0,generation_agent_0,1013.0,41.0,generation_agent_1,63.0,41.0,853.0
91,,,59.0,790.0,generation_agent_2,1015.0,41.0,generation_agent_1,96.0,41.0,886.0
92,,,20.0,336.0,household_agent_2,1002.0,41.0,generation_agent_2,59.0,41.0,395.0
93,,,21.0,336.0,generation_agent_1,1014.0,41.0,generation_agent_2,70.0,41.0,406.0
94,,,22.0,336.0,generation_agent_3,1016.0,41.0,generation_agent_2,75.0,41.0,411.0
95,,,68.0,790.0,household_agent_2,1002.0,41.0,generation_agent_2,62.0,41.0,852.0
96,,,69.0,790.0,generation_agent_1,1014.0,41.0,generation_agent_2,66.0,41.0,856.0
97,,,70.0,790.0,generation_agent_3,1016.0,41.0,generation_agent_2,71.0,41.0,861.0
98,,,41.0,336.0,generation_agent_2,1015.0,41.0,generation_agent_3,62.0,41.0,398.0
99,,,42.0,336.0,household_agent_0,1000.0,41.0,generation_agent_3,92.0,41.0,428.0
100,,,89.0,790.0,generation_agent_2,1015.0,41.0,generation_agent_3,62.0,41.0,852.0
101,,,90.0,790.0,household_agent_0,1000.0,41.0,generation_agent_3,87.0,41.0,877.0
