,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-24 06:16:43.086327,,,,,,,,,
1,Simulation configuration ID,cff4b884-a7a3-4355-a930-3df87c8c3531,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,93.0,household_agent_10,1010.0,41.0,control_center_agent,19.0,41.0,112.0
1,,,33.0,134.0,household_agent_1,1001.0,41.0,household_agent_0,5714.0,536.0,5848.0
2,,,34.0,134.0,household_agent_2,1002.0,41.0,household_agent_0,102.0,41.0,236.0
3,,,35.0,134.0,household_agent_3,1003.0,41.0,household_agent_0,94.0,41.0,228.0
4,,,36.0,134.0,household_agent_4,1004.0,41.0,household_agent_0,121.0,41.0,255.0
5,,,37.0,134.0,household_agent_5,1005.0,41.0,household_agent_0,100.0,41.0,234.0
6,,,38.0,134.0,household_agent_6,1006.0,41.0,household_agent_0,162.0,41.0,296.0
7,,,39.0,134.0,household_agent_7,1007.0,41.0,household_agent_0,214.0,82.0,348.0
8,,,40.0,134.0,household_agent_8,1008.0,41.0,household_agent_0,119.0,41.0,253.0
9,,,41.0,134.0,household_agent_9,1009.0,41.0,household_agent_0,433.0,41.0,567.0
10,,,42.0,134.0,household_agent_10,1010.0,41.0,household_agent_0,471.0,41.0,605.0
11,,,43.0,134.0,household_agent_11,1011.0,41.0,household_agent_0,2163.0,41.0,2297.0
12,,,44.0,134.0,household_agent_12,1012.0,41.0,household_agent_0,5370.0,41.0,5504.0
13,,,45.0,134.0,generation_agent_0,1013.0,41.0,household_agent_0,5546.0,536.0,5680.0
14,,,46.0,134.0,generation_agent_1,1014.0,41.0,household_agent_0,5490.0,536.0,5624.0
15,,,47.0,134.0,generation_agent_2,1015.0,41.0,household_agent_0,5635.0,536.0,5769.0
16,,,48.0,134.0,generation_agent_3,1016.0,41.0,household_agent_0,5720.0,536.0,5854.0
17,,,306.0,165.0,household_agent_2,1002.0,41.0,household_agent_0,131.0,41.0,296.0
18,,,307.0,165.0,household_agent_3,1003.0,41.0,household_agent_0,104.0,41.0,269.0
19,,,308.0,165.0,household_agent_4,1004.0,41.0,household_agent_0,159.0,41.0,324.0
20,,,309.0,165.0,household_agent_5,1005.0,41.0,household_agent_0,136.0,41.0,301.0
21,,,310.0,165.0,household_agent_6,1006.0,41.0,household_agent_0,213.0,41.0,378.0
22,,,312.0,165.0,household_agent_8,1008.0,41.0,household_agent_0,225.0,41.0,390.0
23,,,313.0,165.0,household_agent_9,1009.0,41.0,household_agent_0,509.0,41.0,674.0
24,,,314.0,165.0,household_agent_10,1010.0,41.0,household_agent_0,504.0,41.0,669.0
25,,,315.0,165.0,household_agent_11,1011.0,41.0,household_agent_0,2515.0,41.0,2680.0
26,,,316.0,165.0,household_agent_12,1012.0,41.0,household_agent_0,5375.0,536.0,5540.0
27,,,578.0,243.0,household_agent_2,1002.0,41.0,household_agent_0,95.0,41.0,338.0
28,,,579.0,243.0,household_agent_3,1003.0,41.0,household_agent_0,72.0,41.0,315.0
29,,,580.0,243.0,household_agent_4,1004.0,41.0,household_agent_0,165.0,41.0,408.0
30,,,581.0,243.0,household_agent_5,1005.0,41.0,household_agent_0,171.0,82.0,414.0
31,,,582.0,243.0,household_agent_6,1006.0,41.0,household_agent_0,168.0,82.0,411.0
32,,,583.0,243.0,household_agent_7,1007.0,41.0,household_agent_0,163.0,41.0,406.0
33,,,584.0,243.0,household_agent_8,1008.0,41.0,household_agent_0,252.0,82.0,495.0
34,,,585.0,243.0,household_agent_9,1009.0,41.0,household_agent_0,513.0,205.0,756.0
35,,,586.0,243.0,household_agent_10,1010.0,41.0,household_agent_0,1207.0,164.0,1450.0
36,,,587.0,243.0,household_agent_11,1011.0,41.0,household_agent_0,5157.0,536.0,5400.0
37,,,850.0,290.0,household_agent_2,1002.0,41.0,household_agent_0,101.0,41.0,391.0
38,,,851.0,290.0,household_agent_3,1003.0,41.0,household_agent_0,120.0,41.0,410.0
39,,,852.0,290.0,household_agent_4,1004.0,41.0,household_agent_0,141.0,41.0,431.0
40,,,855.0,290.0,household_agent_7,1007.0,41.0,household_agent_0,139.0,41.0,429.0
41,,,1122.0,337.0,household_agent_2,1002.0,41.0,household_agent_0,81.0,41.0,418.0
42,,,1123.0,337.0,household_agent_3,1003.0,41.0,household_agent_0,102.0,41.0,439.0
43,,,1124.0,337.0,household_agent_4,1004.0,41.0,household_agent_0,135.0,41.0,472.0
44,,,1125.0,337.0,household_agent_5,1005.0,41.0,household_agent_0,106.0,41.0,443.0
45,,,1126.0,337.0,household_agent_6,1006.0,41.0,household_agent_0,146.0,41.0,483.0
46,,,1127.0,337.0,household_agent_7,1007.0,41.0,household_agent_0,157.0,41.0,494.0
47,,,1128.0,337.0,household_agent_8,1008.0,41.0,household_agent_0,236.0,41.0,573.0
48,,,1394.0,434.0,household_agent_2,1002.0,41.0,household_agent_0,68.0,41.0,502.0
49,,,1395.0,434.0,household_agent_3,1003.0,41.0,household_agent_0,60.0,41.0,494.0
