,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 14:54:15.708393,,,,,,,,,
1,Simulation configuration ID,d2fb0f61-ad6a-4da3-ac87-9acb8a1fd125,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 15 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,14.0,generation_agent_1,1014.0,191.0,control_center_agent,19.0,191.0,33.0
1,,,17.0,79.0,household_agent_9,1009.0,191.0,household_agent_0,90.0,191.0,169.0
2,,,17.0,79.0,household_agent_9,1009.0,191.0,household_agent_0,981.0,536.0,1113.0
3,,,18.0,79.0,household_agent_7,1007.0,191.0,household_agent_0,96.0,191.0,175.0
4,,,19.0,79.0,household_agent_5,1005.0,191.0,household_agent_0,277.0,191.0,356.0
5,,,20.0,79.0,household_agent_10,1010.0,191.0,household_agent_0,676.0,536.0,755.0
6,,,21.0,79.0,generation_agent_0,1013.0,191.0,household_agent_0,787.0,536.0,866.0
7,,,22.0,79.0,generation_agent_1,1014.0,191.0,household_agent_0,74.0,191.0,153.0
8,,,23.0,79.0,generation_agent_2,1015.0,191.0,household_agent_0,1399.0,536.0,1478.0
9,,,24.0,79.0,generation_agent_3,1016.0,191.0,household_agent_0,2449.0,382.0,2528.0
10,,,89.0,103.0,household_agent_9,1009.0,191.0,household_agent_0,108.0,191.0,211.0
11,,,90.0,103.0,household_agent_7,1007.0,191.0,household_agent_0,219.0,191.0,322.0
12,,,91.0,103.0,household_agent_5,1005.0,191.0,household_agent_0,354.0,191.0,457.0
13,,,91.0,103.0,household_agent_5,1005.0,191.0,household_agent_0,251.0,191.0,552.0
14,,,94.0,103.0,generation_agent_1,1014.0,191.0,household_agent_0,99.0,191.0,202.0
15,,,161.0,183.0,household_agent_9,1009.0,191.0,household_agent_0,245.0,536.0,428.0
16,,,161.0,183.0,household_agent_9,1009.0,191.0,household_agent_0,1220.0,536.0,1374.0
17,,,162.0,183.0,household_agent_7,1007.0,191.0,household_agent_0,246.0,382.0,429.0
18,,,163.0,183.0,household_agent_5,1005.0,191.0,household_agent_0,462.0,536.0,645.0
19,,,164.0,183.0,household_agent_10,1010.0,191.0,household_agent_0,781.0,536.0,964.0
20,,,165.0,183.0,generation_agent_0,1013.0,191.0,household_agent_0,1011.0,419.0,1194.0
21,,,166.0,183.0,generation_agent_1,1014.0,191.0,household_agent_0,118.0,536.0,301.0
22,,,167.0,183.0,generation_agent_2,1015.0,191.0,household_agent_0,1465.0,536.0,1648.0
23,,,168.0,183.0,generation_agent_3,1016.0,191.0,household_agent_0,2347.0,536.0,2530.0
24,,,234.0,184.0,household_agent_7,1007.0,191.0,household_agent_0,8430.0,536.0,9131.0
25,,,235.0,184.0,household_agent_5,1005.0,191.0,household_agent_0,304.0,191.0,1022.0
26,,,377.0,206.0,household_agent_9,1009.0,191.0,household_agent_0,298.0,419.0,504.0
27,,,377.0,206.0,household_agent_9,1009.0,191.0,household_agent_0,1161.0,536.0,1395.0
28,,,378.0,206.0,household_agent_7,1007.0,191.0,household_agent_0,257.0,536.0,463.0
29,,,379.0,206.0,household_agent_5,1005.0,191.0,household_agent_0,609.0,536.0,815.0
30,,,379.0,206.0,household_agent_5,1005.0,191.0,household_agent_0,457.0,536.0,1575.0
31,,,382.0,206.0,generation_agent_1,1014.0,191.0,household_agent_0,345.0,228.0,551.0
32,,,384.0,206.0,generation_agent_3,1016.0,191.0,household_agent_0,2909.0,536.0,3115.0
33,,,452.0,235.0,household_agent_10,1010.0,191.0,household_agent_0,734.0,536.0,969.0
34,,,453.0,235.0,generation_agent_0,1013.0,191.0,household_agent_0,922.0,536.0,1157.0
35,,,454.0,235.0,generation_agent_1,1014.0,191.0,household_agent_0,7944.0,536.0,9167.0
36,,,455.0,235.0,generation_agent_2,1015.0,191.0,household_agent_0,1427.0,536.0,1662.0
37,,,522.0,246.0,household_agent_7,1007.0,191.0,household_agent_0,340.0,228.0,586.0
38,,,523.0,246.0,household_agent_5,1005.0,191.0,household_agent_0,404.0,382.0,2042.0
39,,,526.0,246.0,generation_agent_1,1014.0,191.0,household_agent_0,239.0,191.0,485.0
40,,,593.0,310.0,household_agent_9,1009.0,191.0,household_agent_0,239.0,382.0,549.0
41,,,593.0,310.0,household_agent_9,1009.0,191.0,household_agent_0,1773.0,536.0,2185.0
42,,,595.0,310.0,household_agent_5,1005.0,191.0,household_agent_0,632.0,74.0,942.0
43,,,597.0,310.0,generation_agent_0,1013.0,191.0,household_agent_0,1131.0,536.0,1441.0
44,,,598.0,310.0,generation_agent_1,1014.0,191.0,household_agent_0,273.0,191.0,583.0
45,,,600.0,310.0,generation_agent_3,1016.0,191.0,household_agent_0,3078.0,74.0,3388.0
46,,,665.0,348.0,household_agent_9,1009.0,191.0,household_agent_0,4721.0,536.0,6562.0
47,,,666.0,348.0,household_agent_7,1007.0,191.0,household_agent_0,179.0,382.0,527.0
48,,,667.0,348.0,household_agent_5,1005.0,191.0,household_agent_0,450.0,536.0,798.0
49,,,668.0,348.0,household_agent_10,1010.0,191.0,household_agent_0,850.0,111.0,1198.0
50,,,670.0,348.0,generation_agent_1,1014.0,191.0,household_agent_0,286.0,536.0,634.0
51,,,671.0,348.0,generation_agent_2,1015.0,191.0,household_agent_0,1834.0,302.0,2182.0
52,,,672.0,348.0,generation_agent_3,1016.0,191.0,household_agent_0,2251.0,382.0,2599.0
53,,,737.0,396.0,household_agent_9,1009.0,191.0,household_agent_0,188.0,382.0,584.0
54,,,740.0,396.0,household_agent_10,1010.0,191.0,household_agent_0,414.0,536.0,810.0
55,,,809.0,411.0,household_agent_9,1009.0,191.0,household_agent_0,1580.0,536.0,2206.0
56,,,810.0,411.0,household_agent_7,1007.0,191.0,household_agent_0,208.0,191.0,619.0
57,,,811.0,411.0,household_agent_5,1005.0,191.0,household_agent_0,446.0,228.0,857.0
58,,,811.0,411.0,household_agent_5,1005.0,191.0,household_agent_0,351.0,536.0,2913.0
59,,,813.0,411.0,generation_agent_0,1013.0,191.0,household_agent_0,1336.0,265.0,1747.0
60,,,814.0,411.0,generation_agent_1,1014.0,191.0,household_agent_0,7242.0,536.0,9198.0
61,,,814.0,411.0,generation_agent_1,1014.0,191.0,household_agent_0,374.0,228.0,785.0
62,,,815.0,411.0,generation_agent_2,1015.0,191.0,household_agent_0,1225.0,382.0,1636.0
63,,,816.0,411.0,generation_agent_3,1016.0,191.0,household_agent_0,2619.0,536.0,3030.0
64,,,881.0,508.0,household_agent_9,1009.0,191.0,household_agent_0,213.0,191.0,721.0
65,,,882.0,508.0,household_agent_7,1007.0,191.0,household_agent_0,285.0,536.0,793.0
66,,,884.0,508.0,household_agent_10,1010.0,191.0,household_agent_0,629.0,37.0,1137.0
67,,,953.0,606.0,household_agent_9,1009.0,191.0,household_agent_0,128.0,382.0,734.0
68,,,955.0,606.0,household_agent_5,1005.0,191.0,household_agent_0,209.0,191.0,815.0
69,,,955.0,606.0,household_agent_5,1005.0,191.0,household_agent_0,305.0,382.0,3293.0
70,,,956.0,606.0,household_agent_10,1010.0,191.0,household_agent_0,492.0,191.0,1098.0
71,,,957.0,606.0,generation_agent_0,1013.0,191.0,household_agent_0,650.0,191.0,1256.0
72,,,958.0,606.0,generation_agent_1,1014.0,191.0,household_agent_0,173.0,191.0,779.0
73,,,959.0,606.0,generation_agent_2,1015.0,191.0,household_agent_0,1098.0,536.0,1704.0
74,,,960.0,606.0,generation_agent_3,1016.0,191.0,household_agent_0,2757.0,536.0,3363.0
75,,,1025.0,627.0,household_agent_9,1009.0,191.0,household_agent_0,1670.0,185.0,2394.0
76,,,1026.0,627.0,household_agent_7,1007.0,191.0,household_agent_0,195.0,37.0,822.0
77,,,1027.0,627.0,household_agent_5,1005.0,191.0,household_agent_0,236.0,382.0,863.0
78,,,1028.0,627.0,household_agent_10,1010.0,191.0,household_agent_0,510.0,382.0,1137.0
79,,,1029.0,627.0,generation_agent_0,1013.0,191.0,household_agent_0,1027.0,536.0,1654.0
80,,,1030.0,627.0,generation_agent_1,1014.0,191.0,household_agent_0,424.0,536.0,1051.0
81,,,1097.0,636.0,household_agent_9,1009.0,191.0,household_agent_0,209.0,191.0,845.0
82,,,1097.0,636.0,household_agent_9,1009.0,191.0,household_agent_0,451.0,191.0,1268.0
83,,,1098.0,636.0,household_agent_7,1007.0,191.0,household_agent_0,186.0,191.0,822.0
84,,,1099.0,636.0,household_agent_5,1005.0,191.0,household_agent_0,276.0,37.0,3802.0
85,,,1103.0,636.0,generation_agent_2,1015.0,191.0,household_agent_0,1712.0,419.0,2348.0
86,,,1169.0,677.0,household_agent_9,1009.0,191.0,household_agent_0,176.0,191.0,853.0
87,,,1169.0,677.0,household_agent_9,1009.0,191.0,household_agent_0,1264.0,191.0,2155.0
88,,,1170.0,677.0,household_agent_7,1007.0,191.0,household_agent_0,231.0,191.0,908.0
89,,,1171.0,677.0,household_agent_5,1005.0,191.0,household_agent_0,366.0,191.0,1043.0
90,,,1172.0,677.0,household_agent_10,1010.0,191.0,household_agent_0,619.0,191.0,1296.0
91,,,1173.0,677.0,generation_agent_0,1013.0,191.0,household_agent_0,1395.0,228.0,2072.0
92,,,1174.0,677.0,generation_agent_1,1014.0,191.0,household_agent_0,6091.0,536.0,9229.0
93,,,1174.0,677.0,generation_agent_1,1014.0,191.0,household_agent_0,442.0,37.0,1119.0
94,,,1176.0,677.0,generation_agent_3,1016.0,191.0,household_agent_0,2896.0,74.0,3573.0
95,,,1241.0,758.0,household_agent_9,1009.0,191.0,household_agent_0,183.0,382.0,941.0
96,,,1241.0,758.0,household_agent_9,1009.0,191.0,household_agent_0,1225.0,536.0,2214.0
97,,,1242.0,758.0,household_agent_7,1007.0,191.0,household_agent_0,310.0,382.0,1068.0
98,,,1243.0,758.0,household_agent_5,1005.0,191.0,household_agent_0,311.0,191.0,1069.0
99,,,1243.0,758.0,household_agent_5,1005.0,191.0,household_agent_0,321.0,191.0,4381.0
100,,,1244.0,758.0,household_agent_10,1010.0,191.0,household_agent_0,538.0,191.0,1296.0
101,,,1246.0,758.0,generation_agent_1,1014.0,191.0,household_agent_0,332.0,191.0,1090.0
102,,,1248.0,758.0,generation_agent_3,1016.0,191.0,household_agent_0,2313.0,536.0,3071.0
103,,,1315.0,796.0,household_agent_5,1005.0,191.0,household_agent_0,352.0,536.0,1148.0
104,,,1316.0,796.0,household_agent_10,1010.0,191.0,household_agent_0,523.0,536.0,1319.0
105,,,1317.0,796.0,generation_agent_0,1013.0,191.0,household_agent_0,902.0,536.0,1698.0
106,,,1318.0,796.0,generation_agent_1,1014.0,191.0,household_agent_0,323.0,191.0,1119.0
107,,,1319.0,796.0,generation_agent_2,1015.0,191.0,household_agent_0,959.0,536.0,1755.0
108,,,1385.0,839.0,household_agent_9,1009.0,191.0,household_agent_0,151.0,191.0,990.0
109,,,1385.0,839.0,household_agent_9,1009.0,191.0,household_agent_0,2907.0,536.0,6619.0
110,,,1385.0,839.0,household_agent_9,1009.0,191.0,household_agent_0,1324.0,37.0,2431.0
111,,,1386.0,839.0,household_agent_7,1007.0,191.0,household_agent_0,344.0,382.0,1183.0
112,,,1387.0,839.0,household_agent_5,1005.0,191.0,household_agent_0,245.0,191.0,4790.0
113,,,1390.0,839.0,generation_agent_1,1014.0,191.0,household_agent_0,532.0,536.0,1371.0
114,,,1392.0,839.0,generation_agent_3,1016.0,191.0,household_agent_0,2539.0,536.0,3378.0
115,,,1457.0,860.0,household_agent_9,1009.0,191.0,household_agent_0,202.0,191.0,1062.0
116,,,1457.0,860.0,household_agent_9,1009.0,191.0,household_agent_0,1215.0,382.0,2388.0
117,,,1459.0,860.0,household_agent_5,1005.0,191.0,household_agent_0,584.0,228.0,1444.0
118,,,1460.0,860.0,household_agent_10,1010.0,191.0,household_agent_0,613.0,228.0,1473.0
119,,,1461.0,860.0,generation_agent_0,1013.0,191.0,household_agent_0,1407.0,228.0,2267.0
120,,,1463.0,860.0,generation_agent_2,1015.0,191.0,household_agent_0,1505.0,37.0,2365.0
121,,,1529.0,928.0,household_agent_9,1009.0,191.0,household_agent_0,218.0,191.0,1146.0
122,,,1530.0,928.0,household_agent_7,1007.0,191.0,household_agent_0,369.0,191.0,1297.0
123,,,1534.0,928.0,generation_agent_1,1014.0,191.0,household_agent_0,558.0,228.0,1486.0
124,,,1535.0,928.0,generation_agent_2,1015.0,191.0,household_agent_0,1215.0,191.0,2143.0
125,,,1601.0,978.0,household_agent_9,1009.0,191.0,household_agent_0,168.0,191.0,1146.0
126,,,1601.0,978.0,household_agent_9,1009.0,191.0,household_agent_0,1125.0,191.0,2394.0
127,,,1602.0,978.0,household_agent_7,1007.0,191.0,household_agent_0,483.0,536.0,1461.0
128,,,1603.0,978.0,household_agent_5,1005.0,191.0,household_agent_0,238.0,191.0,1216.0
129,,,1604.0,978.0,household_agent_10,1010.0,191.0,household_agent_0,358.0,382.0,1336.0
130,,,1605.0,978.0,generation_agent_0,1013.0,191.0,household_agent_0,2278.0,536.0,6630.0
131,,,1605.0,978.0,generation_agent_0,1013.0,191.0,household_agent_0,1081.0,536.0,2059.0
132,,,1607.0,978.0,generation_agent_2,1015.0,191.0,household_agent_0,1165.0,191.0,2143.0
133,,,1608.0,978.0,generation_agent_3,1016.0,191.0,household_agent_0,2410.0,536.0,3388.0
134,,,1673.0,1019.0,household_agent_9,1009.0,191.0,household_agent_0,187.0,191.0,1206.0
135,,,1673.0,1019.0,household_agent_9,1009.0,191.0,household_agent_0,1624.0,536.0,2958.0
136,,,1674.0,1019.0,household_agent_7,1007.0,191.0,household_agent_0,4771.0,536.0,9254.0
137,,,1675.0,1019.0,household_agent_5,1005.0,191.0,household_agent_0,454.0,382.0,1473.0
138,,,1678.0,1019.0,generation_agent_1,1014.0,191.0,household_agent_0,364.0,382.0,1383.0
139,,,1679.0,1019.0,generation_agent_2,1015.0,191.0,household_agent_0,1198.0,536.0,2217.0
140,,,1745.0,1109.0,household_agent_9,1009.0,191.0,household_agent_0,109.0,191.0,1218.0
141,,,1746.0,1109.0,household_agent_7,1007.0,191.0,household_agent_0,487.0,37.0,1596.0
142,,,1748.0,1109.0,household_agent_10,1010.0,191.0,household_agent_0,354.0,382.0,1463.0
143,,,1749.0,1109.0,generation_agent_0,1013.0,191.0,household_agent_0,1263.0,37.0,2372.0
144,,,1817.0,1191.0,household_agent_9,1009.0,191.0,household_agent_0,169.0,382.0,1360.0
145,,,1817.0,1191.0,household_agent_9,1009.0,191.0,household_agent_0,1932.0,419.0,3336.0
146,,,1818.0,1191.0,household_agent_7,1007.0,191.0,household_agent_0,363.0,536.0,1554.0
147,,,1819.0,1191.0,household_agent_5,1005.0,191.0,household_agent_0,487.0,191.0,1678.0
148,,,1821.0,1191.0,generation_agent_0,1013.0,191.0,household_agent_0,1171.0,536.0,2362.0
149,,,1822.0,1191.0,generation_agent_1,1014.0,191.0,household_agent_0,486.0,536.0,1677.0
150,,,1823.0,1191.0,generation_agent_2,1015.0,191.0,household_agent_0,1260.0,419.0,2451.0
151,,,1824.0,1191.0,generation_agent_3,1016.0,191.0,household_agent_0,2404.0,536.0,3595.0
152,,,1891.0,1208.0,household_agent_5,1005.0,191.0,household_agent_0,684.0,536.0,1892.0
153,,,1892.0,1208.0,household_agent_10,1010.0,191.0,household_agent_0,575.0,536.0,1783.0
154,,,1894.0,1208.0,generation_agent_1,1014.0,191.0,household_agent_0,4272.0,457.0,9312.0
155,,,1961.0,1212.0,household_agent_9,1009.0,191.0,household_agent_0,265.0,382.0,1477.0
156,,,1962.0,1212.0,household_agent_7,1007.0,191.0,household_agent_0,537.0,37.0,1749.0
