,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 16:06:31.215337,,,,,,,,,
1,Simulation configuration ID,d8fb9f69-fbb2-4ff7-97e4-d02a10362909,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 23 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,72.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,91.0
1,,,1.0,193.0,household_agent_9,1009.0,191.0,aggregator_agent,47.0,191.0,240.0
2,,,55.0,1338.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,1366.0
3,,,14.0,1123.0,household_agent_1,1001.0,191.0,household_agent_0,45.0,191.0,1168.0
4,,,15.0,1123.0,household_agent_8,1008.0,191.0,household_agent_0,61.0,191.0,1184.0
5,,,16.0,1123.0,generation_agent_0,1013.0,191.0,household_agent_0,69.0,191.0,1192.0
6,,,17.0,1123.0,generation_agent_3,1016.0,191.0,household_agent_0,85.0,191.0,1208.0
7,,,31.0,1123.0,household_agent_0,1000.0,191.0,household_agent_1,44.0,191.0,1167.0
8,,,32.0,1123.0,household_agent_2,1002.0,191.0,household_agent_1,55.0,191.0,1178.0
9,,,40.0,1123.0,household_agent_1,1001.0,191.0,household_agent_2,59.0,191.0,1182.0
10,,,41.0,1123.0,household_agent_3,1003.0,191.0,household_agent_2,63.0,191.0,1186.0
11,,,42.0,1123.0,generation_agent_2,1015.0,191.0,household_agent_2,72.0,191.0,1195.0
12,,,20.0,1123.0,household_agent_2,1002.0,191.0,household_agent_3,51.0,191.0,1174.0
13,,,21.0,1123.0,household_agent_4,1004.0,191.0,household_agent_3,65.0,191.0,1188.0
14,,,22.0,1123.0,household_agent_12,1012.0,191.0,household_agent_3,74.0,191.0,1197.0
15,,,23.0,1123.0,household_agent_8,1008.0,191.0,household_agent_3,86.0,191.0,1209.0
16,,,28.0,1123.0,household_agent_3,1003.0,191.0,household_agent_4,41.0,191.0,1164.0
17,,,29.0,1123.0,household_agent_5,1005.0,191.0,household_agent_4,57.0,191.0,1180.0
18,,,30.0,1123.0,household_agent_10,1010.0,191.0,household_agent_4,71.0,191.0,1194.0
19,,,46.0,1123.0,household_agent_4,1004.0,191.0,household_agent_5,50.0,191.0,1173.0
20,,,47.0,1123.0,household_agent_6,1006.0,191.0,household_agent_5,63.0,191.0,1186.0
21,,,48.0,1123.0,household_agent_11,1011.0,191.0,household_agent_5,74.0,191.0,1197.0
22,,,38.0,1123.0,household_agent_5,1005.0,191.0,household_agent_6,73.0,191.0,1196.0
23,,,39.0,1123.0,household_agent_7,1007.0,191.0,household_agent_6,58.0,191.0,1181.0
24,,,18.0,1123.0,household_agent_6,1006.0,191.0,household_agent_7,59.0,191.0,1182.0
25,,,19.0,1123.0,household_agent_8,1008.0,191.0,household_agent_7,71.0,191.0,1194.0
26,,,6.0,1123.0,household_agent_0,1000.0,191.0,household_agent_8,64.0,191.0,1187.0
