,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 22:41:20.546572,,,,,,,,,
1,Simulation configuration ID,dbcec3f6-c82c-49e1-9a15-338f3c247a26,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,99.0,aggregator_agent,1019.0,991.0,control_center_agent,20.0,536.0,119.0
1,,,0.0,99.0,aggregator_agent,1019.0,991.0,control_center_agent,34.0,455.0,133.0
2,,,1.0,170.0,household_agent_6,1006.0,991.0,aggregator_agent,49.0,536.0,219.0
3,,,1.0,170.0,household_agent_6,1006.0,991.0,aggregator_agent,83.0,455.0,253.0
4,,,37.0,1334.0,control_center_agent,1017.0,991.0,aggregator_agent,29.0,536.0,1363.0
5,,,37.0,1334.0,control_center_agent,1017.0,991.0,aggregator_agent,49.0,455.0,1383.0
6,,,26.0,1082.0,household_agent_1,1001.0,991.0,household_agent_0,52.0,536.0,1134.0
7,,,26.0,1082.0,household_agent_1,1001.0,991.0,household_agent_0,103.0,455.0,1185.0
8,,,22.0,1082.0,household_agent_0,1000.0,991.0,household_agent_1,59.0,536.0,1141.0
9,,,22.0,1082.0,household_agent_0,1000.0,991.0,household_agent_1,99.0,455.0,1181.0
10,,,23.0,1082.0,household_agent_2,1002.0,991.0,household_agent_1,72.0,536.0,1154.0
11,,,23.0,1082.0,household_agent_2,1002.0,991.0,household_agent_1,104.0,455.0,1186.0
12,,,18.0,1082.0,household_agent_1,1001.0,991.0,household_agent_2,72.0,536.0,1154.0
13,,,18.0,1082.0,household_agent_1,1001.0,991.0,household_agent_2,116.0,455.0,1198.0
14,,,19.0,1082.0,household_agent_3,1003.0,991.0,household_agent_2,72.0,536.0,1154.0
15,,,19.0,1082.0,household_agent_3,1003.0,991.0,household_agent_2,133.0,455.0,1215.0
16,,,14.0,1082.0,household_agent_2,1002.0,991.0,household_agent_3,55.0,536.0,1137.0
17,,,14.0,1082.0,household_agent_2,1002.0,991.0,household_agent_3,95.0,455.0,1177.0
18,,,15.0,1082.0,household_agent_4,1004.0,991.0,household_agent_3,65.0,536.0,1147.0
19,,,15.0,1082.0,household_agent_4,1004.0,991.0,household_agent_3,109.0,455.0,1191.0
20,,,10.0,1082.0,household_agent_3,1003.0,991.0,household_agent_4,74.0,536.0,1156.0
21,,,10.0,1082.0,household_agent_3,1003.0,991.0,household_agent_4,117.0,455.0,1199.0
22,,,11.0,1082.0,household_agent_5,1005.0,991.0,household_agent_4,79.0,536.0,1161.0
23,,,11.0,1082.0,household_agent_5,1005.0,991.0,household_agent_4,126.0,455.0,1208.0
24,,,6.0,1082.0,household_agent_4,1004.0,991.0,household_agent_5,95.0,536.0,1177.0
25,,,6.0,1082.0,household_agent_4,1004.0,991.0,household_agent_5,140.0,455.0,1222.0
26,,,7.0,1082.0,household_agent_6,1006.0,991.0,household_agent_5,54.0,536.0,1136.0
27,,,7.0,1082.0,household_agent_6,1006.0,991.0,household_agent_5,83.0,455.0,1165.0
28,,,2.0,615.0,household_agent_5,1005.0,991.0,household_agent_6,49.0,536.0,664.0
29,,,2.0,615.0,household_agent_5,1005.0,991.0,household_agent_6,83.0,455.0,698.0
30,,,3.0,615.0,household_agent_7,1007.0,991.0,household_agent_6,60.0,536.0,675.0
31,,,3.0,615.0,household_agent_7,1007.0,991.0,household_agent_6,94.0,455.0,709.0
32,,,4.0,1082.0,household_agent_5,1005.0,991.0,household_agent_6,66.0,536.0,1148.0
33,,,4.0,1082.0,household_agent_5,1005.0,991.0,household_agent_6,97.0,455.0,1179.0
34,,,5.0,1082.0,household_agent_7,1007.0,991.0,household_agent_6,85.0,536.0,1167.0
35,,,5.0,1082.0,household_agent_7,1007.0,991.0,household_agent_6,121.0,455.0,1203.0
36,,,36.0,1010.0,aggregator_agent,1019.0,991.0,household_agent_6,49.0,536.0,1059.0
37,,,36.0,1010.0,aggregator_agent,1019.0,991.0,household_agent_6,83.0,455.0,1093.0
38,,,8.0,1082.0,household_agent_6,1006.0,991.0,household_agent_7,82.0,536.0,1164.0
39,,,8.0,1082.0,household_agent_6,1006.0,991.0,household_agent_7,123.0,455.0,1205.0
40,,,9.0,1082.0,household_agent_8,1008.0,991.0,household_agent_7,93.0,536.0,1175.0
41,,,9.0,1082.0,household_agent_8,1008.0,991.0,household_agent_7,135.0,455.0,1217.0
42,,,12.0,1082.0,household_agent_7,1007.0,991.0,household_agent_8,78.0,536.0,1160.0
43,,,12.0,1082.0,household_agent_7,1007.0,991.0,household_agent_8,115.0,455.0,1197.0
44,,,13.0,1082.0,household_agent_9,1009.0,991.0,household_agent_8,76.0,536.0,1158.0
45,,,13.0,1082.0,household_agent_9,1009.0,991.0,household_agent_8,125.0,455.0,1207.0
46,,,16.0,1082.0,household_agent_8,1008.0,991.0,household_agent_9,70.0,536.0,1152.0
47,,,16.0,1082.0,household_agent_8,1008.0,991.0,household_agent_9,110.0,455.0,1192.0
48,,,17.0,1082.0,household_agent_10,1010.0,991.0,household_agent_9,78.0,536.0,1160.0
49,,,17.0,1082.0,household_agent_10,1010.0,991.0,household_agent_9,122.0,455.0,1204.0
50,,,20.0,1082.0,household_agent_9,1009.0,991.0,household_agent_10,88.0,536.0,1170.0
51,,,20.0,1082.0,household_agent_9,1009.0,991.0,household_agent_10,141.0,455.0,1223.0
52,,,21.0,1082.0,household_agent_11,1011.0,991.0,household_agent_10,87.0,536.0,1169.0
53,,,21.0,1082.0,household_agent_11,1011.0,991.0,household_agent_10,124.0,455.0,1206.0
54,,,24.0,1082.0,household_agent_10,1010.0,991.0,household_agent_11,88.0,536.0,1170.0
55,,,24.0,1082.0,household_agent_10,1010.0,991.0,household_agent_11,127.0,455.0,1209.0
56,,,25.0,1082.0,household_agent_12,1012.0,991.0,household_agent_11,107.0,536.0,1189.0
57,,,25.0,1082.0,household_agent_12,1012.0,991.0,household_agent_11,139.0,455.0,1221.0
58,,,27.0,1082.0,household_agent_11,1011.0,991.0,household_agent_12,107.0,536.0,1189.0
59,,,27.0,1082.0,household_agent_11,1011.0,991.0,household_agent_12,150.0,455.0,1232.0
60,,,28.0,1082.0,generation_agent_0,1013.0,991.0,household_agent_12,75.0,536.0,1157.0
61,,,28.0,1082.0,generation_agent_0,1013.0,991.0,household_agent_12,119.0,455.0,1201.0
62,,,29.0,1082.0,household_agent_12,1012.0,991.0,generation_agent_0,92.0,536.0,1174.0
63,,,29.0,1082.0,household_agent_12,1012.0,991.0,generation_agent_0,132.0,455.0,1214.0
64,,,30.0,1082.0,generation_agent_1,1014.0,991.0,generation_agent_0,99.0,536.0,1181.0
65,,,30.0,1082.0,generation_agent_1,1014.0,991.0,generation_agent_0,143.0,455.0,1225.0
66,,,31.0,1082.0,generation_agent_0,1013.0,991.0,generation_agent_1,63.0,536.0,1145.0
67,,,31.0,1082.0,generation_agent_0,1013.0,991.0,generation_agent_1,120.0,455.0,1202.0
68,,,32.0,1082.0,generation_agent_2,1015.0,991.0,generation_agent_1,74.0,536.0,1156.0
69,,,32.0,1082.0,generation_agent_2,1015.0,991.0,generation_agent_1,108.0,455.0,1190.0
70,,,33.0,1082.0,generation_agent_1,1014.0,991.0,generation_agent_2,86.0,536.0,1168.0
71,,,33.0,1082.0,generation_agent_1,1014.0,991.0,generation_agent_2,128.0,455.0,1210.0
72,,,34.0,1082.0,generation_agent_3,1016.0,991.0,generation_agent_2,92.0,536.0,1174.0
73,,,34.0,1082.0,generation_agent_3,1016.0,991.0,generation_agent_2,137.0,455.0,1219.0
74,,,35.0,1082.0,generation_agent_2,1015.0,991.0,generation_agent_3,67.0,536.0,1149.0
75,,,35.0,1082.0,generation_agent_2,1015.0,991.0,generation_agent_3,114.0,455.0,1196.0
