,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 18:54:20.835321,,,,,,,,,
1,Simulation configuration ID,e2b0d71f-c75d-44d1-ab3c-f7f7d647e0c4,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,49.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,68.0
1,,,1.0,162.0,household_agent_2,1002.0,191.0,aggregator_agent,47.0,191.0,209.0
2,,,2739.0,6789.0,control_center_agent,1017.0,191.0,aggregator_agent,28.0,191.0,6817.0
3,,,34.0,902.0,household_agent_1,1001.0,191.0,household_agent_0,69.0,191.0,971.0
4,,,35.0,902.0,household_agent_2,1002.0,191.0,household_agent_0,137.0,191.0,1039.0
5,,,36.0,902.0,household_agent_3,1003.0,191.0,household_agent_0,186.0,191.0,1088.0
6,,,37.0,902.0,household_agent_4,1004.0,191.0,household_agent_0,239.0,191.0,1141.0
7,,,38.0,902.0,household_agent_5,1005.0,191.0,household_agent_0,183.0,191.0,1085.0
8,,,39.0,902.0,household_agent_6,1006.0,191.0,household_agent_0,166.0,191.0,1068.0
9,,,40.0,902.0,household_agent_7,1007.0,191.0,household_agent_0,202.0,191.0,1104.0
10,,,41.0,902.0,household_agent_8,1008.0,191.0,household_agent_0,230.0,191.0,1132.0
11,,,42.0,902.0,household_agent_9,1009.0,191.0,household_agent_0,375.0,191.0,1277.0
12,,,43.0,902.0,household_agent_10,1010.0,191.0,household_agent_0,377.0,191.0,1279.0
13,,,44.0,902.0,household_agent_11,1011.0,191.0,household_agent_0,501.0,191.0,1403.0
14,,,45.0,902.0,household_agent_12,1012.0,191.0,household_agent_0,512.0,191.0,1414.0
15,,,46.0,902.0,generation_agent_0,1013.0,191.0,household_agent_0,539.0,382.0,1441.0
16,,,47.0,902.0,generation_agent_1,1014.0,191.0,household_agent_0,666.0,191.0,1568.0
17,,,48.0,902.0,generation_agent_2,1015.0,191.0,household_agent_0,766.0,191.0,1668.0
18,,,49.0,902.0,generation_agent_3,1016.0,191.0,household_agent_0,676.0,191.0,1578.0
19,,,306.0,1031.0,household_agent_1,1001.0,191.0,household_agent_0,105.0,191.0,1136.0
20,,,307.0,1031.0,household_agent_2,1002.0,191.0,household_agent_0,371.0,191.0,1402.0
21,,,308.0,1031.0,household_agent_3,1003.0,191.0,household_agent_0,103.0,191.0,1134.0
22,,,309.0,1031.0,household_agent_4,1004.0,191.0,household_agent_0,223.0,191.0,1254.0
23,,,310.0,1031.0,household_agent_5,1005.0,191.0,household_agent_0,284.0,191.0,1315.0
24,,,311.0,1031.0,household_agent_6,1006.0,191.0,household_agent_0,123.0,191.0,1154.0
25,,,312.0,1031.0,household_agent_7,1007.0,191.0,household_agent_0,114.0,191.0,1145.0
26,,,313.0,1031.0,household_agent_8,1008.0,191.0,household_agent_0,323.0,191.0,1354.0
27,,,314.0,1031.0,household_agent_9,1009.0,191.0,household_agent_0,381.0,191.0,1412.0
28,,,315.0,1031.0,household_agent_10,1010.0,191.0,household_agent_0,304.0,191.0,1335.0
29,,,316.0,1031.0,household_agent_11,1011.0,191.0,household_agent_0,372.0,191.0,1403.0
30,,,317.0,1031.0,household_agent_12,1012.0,191.0,household_agent_0,590.0,382.0,1621.0
31,,,319.0,1031.0,generation_agent_1,1014.0,191.0,household_agent_0,666.0,382.0,1697.0
32,,,320.0,1031.0,generation_agent_2,1015.0,191.0,household_agent_0,695.0,382.0,1726.0
33,,,321.0,1031.0,generation_agent_3,1016.0,191.0,household_agent_0,650.0,382.0,1681.0
34,,,578.0,1153.0,household_agent_1,1001.0,191.0,household_agent_0,196.0,191.0,1349.0
35,,,579.0,1153.0,household_agent_2,1002.0,191.0,household_agent_0,313.0,191.0,1466.0
36,,,580.0,1153.0,household_agent_3,1003.0,191.0,household_agent_0,130.0,191.0,1283.0
37,,,581.0,1153.0,household_agent_4,1004.0,191.0,household_agent_0,215.0,191.0,1368.0
38,,,582.0,1153.0,household_agent_5,1005.0,191.0,household_agent_0,570.0,191.0,1723.0
39,,,583.0,1153.0,household_agent_6,1006.0,191.0,household_agent_0,227.0,191.0,1380.0
40,,,584.0,1153.0,household_agent_7,1007.0,191.0,household_agent_0,503.0,191.0,1656.0
41,,,585.0,1153.0,household_agent_8,1008.0,191.0,household_agent_0,335.0,191.0,1488.0
42,,,586.0,1153.0,household_agent_9,1009.0,191.0,household_agent_0,379.0,191.0,1532.0
43,,,587.0,1153.0,household_agent_10,1010.0,191.0,household_agent_0,314.0,191.0,1467.0
