,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-26 11:30:08.715757,,,,,,,,,
1,Simulation configuration ID,e600f36c-3346-45f7-97ed-1911c1bd30a6,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,18.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,37.0
1,,,1.0,113.0,generation_agent_3,1016.0,41.0,aggregator_agent,47.0,41.0,160.0
2,,,26675.0,5102.0,control_center_agent,1017.0,41.0,aggregator_agent,63.0,41.0,5165.0
3,,,34.0,198.0,household_agent_1,1001.0,41.0,household_agent_0,76.0,41.0,274.0
4,,,35.0,198.0,household_agent_2,1002.0,41.0,household_agent_0,95.0,41.0,293.0
5,,,36.0,198.0,household_agent_3,1003.0,41.0,household_agent_0,184.0,41.0,382.0
6,,,37.0,198.0,household_agent_4,1004.0,41.0,household_agent_0,189.0,41.0,387.0
7,,,38.0,198.0,household_agent_5,1005.0,41.0,household_agent_0,346.0,82.0,544.0
8,,,39.0,198.0,household_agent_6,1006.0,41.0,household_agent_0,177.0,41.0,375.0
9,,,40.0,198.0,household_agent_7,1007.0,41.0,household_agent_0,728.0,82.0,926.0
10,,,41.0,198.0,household_agent_8,1008.0,41.0,household_agent_0,1673.0,82.0,1871.0
11,,,42.0,198.0,household_agent_9,1009.0,41.0,household_agent_0,2249.0,41.0,2447.0
12,,,43.0,198.0,household_agent_10,1010.0,41.0,household_agent_0,1980.0,164.0,2178.0
13,,,44.0,198.0,household_agent_11,1011.0,41.0,household_agent_0,3373.0,164.0,3571.0
14,,,45.0,198.0,household_agent_12,1012.0,41.0,household_agent_0,3416.0,451.0,3614.0
15,,,46.0,198.0,generation_agent_0,1013.0,41.0,household_agent_0,3663.0,41.0,3861.0
16,,,47.0,198.0,generation_agent_1,1014.0,41.0,household_agent_0,4445.0,164.0,4643.0
17,,,48.0,198.0,generation_agent_2,1015.0,41.0,household_agent_0,8158.0,205.0,8356.0
18,,,49.0,198.0,generation_agent_3,1016.0,41.0,household_agent_0,9325.0,536.0,9523.0
19,,,306.0,249.0,household_agent_1,1001.0,41.0,household_agent_0,148.0,41.0,397.0
20,,,307.0,249.0,household_agent_2,1002.0,41.0,household_agent_0,267.0,123.0,516.0
21,,,308.0,249.0,household_agent_3,1003.0,41.0,household_agent_0,225.0,41.0,474.0
22,,,309.0,249.0,household_agent_4,1004.0,41.0,household_agent_0,390.0,41.0,639.0
23,,,311.0,249.0,household_agent_6,1006.0,41.0,household_agent_0,271.0,41.0,520.0
24,,,314.0,249.0,household_agent_9,1009.0,41.0,household_agent_0,2488.0,123.0,2737.0
25,,,318.0,249.0,generation_agent_0,1013.0,41.0,household_agent_0,3911.0,287.0,4160.0
26,,,578.0,316.0,household_agent_1,1001.0,41.0,household_agent_0,128.0,41.0,444.0
27,,,580.0,316.0,household_agent_3,1003.0,41.0,household_agent_0,285.0,41.0,601.0
28,,,581.0,316.0,household_agent_4,1004.0,41.0,household_agent_0,390.0,123.0,706.0
29,,,582.0,316.0,household_agent_5,1005.0,41.0,household_agent_0,418.0,123.0,734.0
30,,,583.0,316.0,household_agent_6,1006.0,41.0,household_agent_0,349.0,41.0,665.0
31,,,584.0,316.0,household_agent_7,1007.0,41.0,household_agent_0,957.0,205.0,1273.0
32,,,585.0,316.0,household_agent_8,1008.0,41.0,household_agent_0,1966.0,41.0,2282.0
33,,,850.0,364.0,household_agent_1,1001.0,41.0,household_agent_0,265.0,41.0,629.0
34,,,852.0,364.0,household_agent_3,1003.0,41.0,household_agent_0,308.0,123.0,672.0
35,,,855.0,364.0,household_agent_6,1006.0,41.0,household_agent_0,522.0,123.0,886.0
36,,,857.0,364.0,household_agent_8,1008.0,41.0,household_agent_0,1927.0,328.0,2291.0
37,,,1122.0,402.0,household_agent_1,1001.0,41.0,household_agent_0,227.0,82.0,629.0
38,,,1123.0,402.0,household_agent_2,1002.0,41.0,household_agent_0,169.0,41.0,571.0
39,,,1130.0,402.0,household_agent_9,1009.0,41.0,household_agent_0,2882.0,246.0,3284.0
40,,,1131.0,402.0,household_agent_10,1010.0,41.0,household_agent_0,1776.0,82.0,2178.0
41,,,1132.0,402.0,household_agent_11,1011.0,41.0,household_agent_0,3169.0,41.0,3571.0
42,,,1135.0,402.0,generation_agent_1,1014.0,41.0,household_agent_0,4251.0,164.0,4653.0
