,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 20:08:25.190551,,,,,,,,,
1,Simulation configuration ID,e84303ef-10bf-4789-9ac7-f9e7b09425d7,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 20 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,96.0,aggregator_agent,1019.0,41.0,control_center_agent,19.0,41.0,115.0
1,,,1.0,225.0,household_agent_1,1001.0,41.0,aggregator_agent,52.0,41.0,277.0
2,,,886.0,1077.0,control_center_agent,1017.0,41.0,aggregator_agent,24.0,41.0,1101.0
3,,,8.0,201.0,household_agent_1,1001.0,41.0,household_agent_10,53.0,41.0,254.0
4,,,9.0,201.0,generation_agent_0,1013.0,41.0,household_agent_10,41.0,41.0,242.0
5,,,10.0,201.0,household_agent_12,1012.0,41.0,household_agent_10,47.0,41.0,248.0
6,,,11.0,201.0,generation_agent_3,1016.0,41.0,household_agent_10,63.0,41.0,264.0
7,,,48.0,270.0,household_agent_1,1001.0,41.0,household_agent_10,59.0,41.0,329.0
8,,,49.0,270.0,generation_agent_0,1013.0,41.0,household_agent_10,45.0,41.0,315.0
9,,,50.0,270.0,household_agent_12,1012.0,41.0,household_agent_10,54.0,41.0,324.0
10,,,51.0,270.0,generation_agent_3,1016.0,41.0,household_agent_10,65.0,41.0,335.0
11,,,88.0,355.0,household_agent_1,1001.0,41.0,household_agent_10,33.0,41.0,388.0
12,,,88.0,355.0,household_agent_1,1001.0,41.0,household_agent_10,208.0,41.0,411.0
13,,,89.0,355.0,generation_agent_0,1013.0,41.0,household_agent_10,36.0,41.0,391.0
14,,,89.0,355.0,generation_agent_0,1013.0,41.0,household_agent_10,249.0,82.0,452.0
15,,,90.0,355.0,household_agent_12,1012.0,41.0,household_agent_10,47.0,41.0,402.0
16,,,90.0,355.0,household_agent_12,1012.0,41.0,household_agent_10,265.0,82.0,468.0
17,,,91.0,355.0,generation_agent_3,1016.0,41.0,household_agent_10,40.0,41.0,467.0
18,,,91.0,355.0,generation_agent_3,1016.0,41.0,household_agent_10,282.0,123.0,485.0
19,,,91.0,355.0,generation_agent_3,1016.0,41.0,household_agent_10,47.0,41.0,402.0
20,,,128.0,410.0,household_agent_1,1001.0,41.0,household_agent_10,40.0,41.0,450.0
21,,,129.0,410.0,generation_agent_0,1013.0,41.0,household_agent_10,47.0,41.0,457.0
22,,,130.0,410.0,household_agent_12,1012.0,41.0,household_agent_10,57.0,41.0,467.0
23,,,131.0,410.0,generation_agent_3,1016.0,41.0,household_agent_10,57.0,41.0,467.0
24,,,169.0,510.0,generation_agent_0,1013.0,41.0,household_agent_10,41.0,41.0,688.0
25,,,170.0,510.0,household_agent_12,1012.0,41.0,household_agent_10,47.0,41.0,694.0
26,,,208.0,510.0,household_agent_1,1001.0,41.0,household_agent_10,51.0,41.0,561.0
27,,,209.0,510.0,generation_agent_0,1013.0,41.0,household_agent_10,40.0,41.0,550.0
28,,,210.0,510.0,household_agent_12,1012.0,41.0,household_agent_10,68.0,41.0,578.0
29,,,211.0,510.0,generation_agent_3,1016.0,41.0,household_agent_10,127.0,82.0,637.0
30,,,248.0,545.0,household_agent_1,1001.0,41.0,household_agent_10,43.0,41.0,588.0
31,,,248.0,545.0,household_agent_1,1001.0,41.0,household_agent_10,79.0,41.0,917.0
32,,,249.0,545.0,generation_agent_0,1013.0,41.0,household_agent_10,49.0,41.0,594.0
33,,,250.0,545.0,household_agent_12,1012.0,41.0,household_agent_10,70.0,41.0,615.0
34,,,288.0,598.0,household_agent_1,1001.0,41.0,household_agent_10,56.0,41.0,654.0
35,,,289.0,598.0,generation_agent_0,1013.0,41.0,household_agent_10,50.0,41.0,648.0
36,,,290.0,598.0,household_agent_12,1012.0,41.0,household_agent_10,62.0,41.0,660.0
37,,,291.0,598.0,generation_agent_3,1016.0,41.0,household_agent_10,101.0,41.0,699.0
38,,,328.0,615.0,household_agent_1,1001.0,41.0,household_agent_10,67.0,41.0,682.0
39,,,329.0,615.0,generation_agent_0,1013.0,41.0,household_agent_10,56.0,41.0,671.0
40,,,330.0,615.0,household_agent_12,1012.0,41.0,household_agent_10,78.0,41.0,693.0
41,,,331.0,615.0,generation_agent_3,1016.0,41.0,household_agent_10,112.0,41.0,727.0
42,,,368.0,666.0,household_agent_1,1001.0,41.0,household_agent_10,50.0,41.0,716.0
43,,,369.0,666.0,generation_agent_0,1013.0,41.0,household_agent_10,39.0,41.0,705.0
44,,,370.0,666.0,household_agent_12,1012.0,41.0,household_agent_10,61.0,41.0,727.0
45,,,371.0,666.0,generation_agent_3,1016.0,41.0,household_agent_10,66.0,41.0,732.0
46,,,408.0,763.0,household_agent_1,1001.0,41.0,household_agent_10,49.0,41.0,812.0
47,,,409.0,763.0,generation_agent_0,1013.0,41.0,household_agent_10,42.0,41.0,805.0
48,,,410.0,763.0,household_agent_12,1012.0,41.0,household_agent_10,59.0,41.0,822.0
49,,,411.0,763.0,generation_agent_3,1016.0,41.0,household_agent_10,64.0,41.0,827.0
50,,,448.0,834.0,household_agent_1,1001.0,41.0,household_agent_10,50.0,41.0,884.0
51,,,448.0,834.0,household_agent_1,1001.0,41.0,household_agent_10,66.0,41.0,333.0
52,,,449.0,834.0,generation_agent_0,1013.0,41.0,household_agent_10,88.0,41.0,355.0
53,,,449.0,834.0,generation_agent_0,1013.0,41.0,household_agent_10,42.0,41.0,876.0
54,,,450.0,834.0,household_agent_12,1012.0,41.0,household_agent_10,132.0,41.0,399.0
55,,,450.0,834.0,household_agent_12,1012.0,41.0,household_agent_10,58.0,41.0,892.0
56,,,451.0,834.0,generation_agent_3,1016.0,41.0,household_agent_10,65.0,41.0,899.0
57,,,488.0,905.0,household_agent_1,1001.0,41.0,household_agent_10,51.0,41.0,956.0
58,,,489.0,905.0,generation_agent_0,1013.0,41.0,household_agent_10,51.0,41.0,956.0
59,,,490.0,905.0,household_agent_12,1012.0,41.0,household_agent_10,62.0,41.0,967.0
60,,,491.0,905.0,generation_agent_3,1016.0,41.0,household_agent_10,63.0,41.0,968.0
61,,,528.0,908.0,household_agent_1,1001.0,41.0,household_agent_10,82.0,41.0,990.0
62,,,529.0,908.0,generation_agent_0,1013.0,41.0,household_agent_10,85.0,41.0,993.0
63,,,530.0,908.0,household_agent_12,1012.0,41.0,household_agent_10,102.0,41.0,1010.0
64,,,531.0,908.0,generation_agent_3,1016.0,41.0,household_agent_10,108.0,41.0,1016.0
65,,,568.0,963.0,household_agent_1,1001.0,41.0,household_agent_10,57.0,41.0,1020.0
66,,,569.0,963.0,generation_agent_0,1013.0,41.0,household_agent_10,63.0,41.0,1026.0
67,,,570.0,963.0,household_agent_12,1012.0,41.0,household_agent_10,74.0,41.0,1037.0
68,,,571.0,963.0,generation_agent_3,1016.0,41.0,household_agent_10,137.0,41.0,1100.0
69,,,608.0,972.0,household_agent_1,1001.0,41.0,household_agent_10,73.0,41.0,1045.0
70,,,609.0,972.0,generation_agent_0,1013.0,41.0,household_agent_10,83.0,41.0,1055.0
71,,,610.0,972.0,household_agent_12,1012.0,41.0,household_agent_10,99.0,41.0,1071.0
72,,,611.0,972.0,generation_agent_3,1016.0,41.0,household_agent_10,138.0,41.0,1110.0
73,,,648.0,1022.0,household_agent_1,1001.0,41.0,household_agent_10,39.0,41.0,1061.0
74,,,649.0,1022.0,generation_agent_0,1013.0,41.0,household_agent_10,45.0,41.0,1067.0
75,,,650.0,1022.0,household_agent_12,1012.0,41.0,household_agent_10,60.0,41.0,1082.0
76,,,651.0,1022.0,generation_agent_3,1016.0,41.0,household_agent_10,128.0,41.0,1150.0
77,,,688.0,1053.0,household_agent_1,1001.0,41.0,household_agent_10,75.0,82.0,1128.0
78,,,689.0,1053.0,generation_agent_0,1013.0,41.0,household_agent_10,69.0,82.0,1122.0
79,,,690.0,1053.0,household_agent_12,1012.0,41.0,household_agent_10,86.0,41.0,1139.0
80,,,691.0,1053.0,generation_agent_3,1016.0,41.0,household_agent_10,102.0,41.0,1155.0
81,,,730.0,1065.0,household_agent_12,1012.0,41.0,household_agent_10,105.0,82.0,1170.0
82,,,731.0,1065.0,generation_agent_3,1016.0,41.0,household_agent_10,129.0,82.0,1194.0
83,,,768.0,1075.0,household_agent_1,1001.0,41.0,household_agent_10,80.0,41.0,1155.0
84,,,769.0,1075.0,generation_agent_0,1013.0,41.0,household_agent_10,69.0,41.0,1144.0
85,,,808.0,1164.0,household_agent_1,1001.0,41.0,household_agent_10,41.0,41.0,1205.0
86,,,809.0,1164.0,generation_agent_0,1013.0,41.0,household_agent_10,52.0,41.0,1216.0
87,,,810.0,1164.0,household_agent_12,1012.0,41.0,household_agent_10,102.0,41.0,1266.0
88,,,811.0,1164.0,generation_agent_3,1016.0,41.0,household_agent_10,97.0,41.0,1261.0
89,,,848.0,1196.0,household_agent_1,1001.0,41.0,household_agent_10,38.0,41.0,1234.0
