,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-25 08:00:19.013196,,,,,,,,,
1,Simulation configuration ID,faecc3f8-ef7c-4c6a-b002-1d2f811ee816,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 23 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,76.0,generation_agent_1,1014.0,191.0,control_center_agent,19.0,191.0,95.0
1,,,34.0,147.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,194.0
2,,,66.0,198.0,household_agent_1,1001.0,191.0,household_agent_0,59.0,191.0,257.0
3,,,98.0,267.0,household_agent_1,1001.0,191.0,household_agent_0,47.0,191.0,314.0
4,,,130.0,329.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,377.0
5,,,162.0,412.0,household_agent_1,1001.0,191.0,household_agent_0,70.0,191.0,482.0
6,,,194.0,428.0,household_agent_1,1001.0,191.0,household_agent_0,82.0,191.0,510.0
7,,,226.0,455.0,household_agent_1,1001.0,191.0,household_agent_0,89.0,191.0,544.0
8,,,258.0,496.0,household_agent_1,1001.0,191.0,household_agent_0,49.0,191.0,545.0
9,,,290.0,547.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,599.0
10,,,322.0,595.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,643.0
11,,,354.0,634.0,household_agent_1,1001.0,191.0,household_agent_0,62.0,191.0,696.0
12,,,386.0,649.0,household_agent_1,1001.0,191.0,household_agent_0,84.0,191.0,733.0
13,,,418.0,685.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,733.0
14,,,450.0,777.0,household_agent_1,1001.0,191.0,household_agent_0,46.0,191.0,823.0
15,,,482.0,855.0,household_agent_1,1001.0,191.0,household_agent_0,67.0,191.0,922.0
16,,,514.0,869.0,household_agent_1,1001.0,191.0,household_agent_0,85.0,191.0,954.0
17,,,546.0,941.0,household_agent_1,1001.0,191.0,household_agent_0,53.0,191.0,994.0
18,,,578.0,995.0,household_agent_1,1001.0,191.0,household_agent_0,41.0,191.0,1036.0
19,,,610.0,1039.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,1087.0
20,,,642.0,1075.0,household_agent_1,1001.0,191.0,household_agent_0,52.0,191.0,1127.0
21,,,674.0,1136.0,household_agent_1,1001.0,191.0,household_agent_0,68.0,191.0,1204.0
22,,,706.0,1154.0,household_agent_1,1001.0,191.0,household_agent_0,85.0,191.0,1239.0
23,,,738.0,1232.0,household_agent_1,1001.0,191.0,household_agent_0,49.0,191.0,1281.0
24,,,770.0,1329.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,1380.0
25,,,802.0,1413.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,1463.0
26,,,834.0,1479.0,household_agent_1,1001.0,191.0,household_agent_0,51.0,191.0,1530.0
27,,,866.0,1538.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,1588.0
28,,,898.0,1601.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,1651.0
29,,,930.0,1680.0,household_agent_1,1001.0,191.0,household_agent_0,50.0,191.0,1730.0
30,,,962.0,1681.0,household_agent_1,1001.0,191.0,household_agent_0,84.0,191.0,1765.0
31,,,994.0,1732.0,household_agent_1,1001.0,191.0,household_agent_0,45.0,191.0,1777.0
32,,,1026.0,1790.0,household_agent_1,1001.0,191.0,household_agent_0,71.0,191.0,1861.0
33,,,1058.0,1817.0,household_agent_1,1001.0,191.0,household_agent_0,74.0,191.0,1891.0
34,,,1090.0,1876.0,household_agent_1,1001.0,191.0,household_agent_0,59.0,191.0,1935.0
35,,,1122.0,1924.0,household_agent_1,1001.0,191.0,household_agent_0,57.0,191.0,1981.0
36,,,1154.0,2015.0,household_agent_1,1001.0,191.0,household_agent_0,64.0,191.0,2079.0
37,,,1186.0,2032.0,household_agent_1,1001.0,191.0,household_agent_0,85.0,191.0,2117.0
38,,,1218.0,2070.0,household_agent_1,1001.0,191.0,household_agent_0,48.0,191.0,2118.0
39,,,1250.0,2125.0,household_agent_1,1001.0,191.0,household_agent_0,87.0,191.0,2212.0
40,,,1282.0,2161.0,household_agent_1,1001.0,191.0,household_agent_0,77.0,382.0,2238.0
41,,,1346.0,2173.0,household_agent_1,1001.0,191.0,household_agent_0,103.0,191.0,2276.0
42,,,1378.0,2211.0,household_agent_1,1001.0,191.0,household_agent_0,124.0,382.0,2335.0
43,,,1442.0,2257.0,household_agent_1,1001.0,191.0,household_agent_0,110.0,191.0,2367.0
44,,,1474.0,2311.0,household_agent_1,1001.0,191.0,household_agent_0,76.0,191.0,2387.0
45,,,1506.0,2360.0,household_agent_1,1001.0,191.0,household_agent_0,70.0,191.0,2430.0
46,,,1538.0,2364.0,household_agent_1,1001.0,191.0,household_agent_0,105.0,191.0,2469.0
47,,,1570.0,2432.0,household_agent_1,1001.0,191.0,household_agent_0,67.0,191.0,2499.0
48,,,1602.0,2471.0,household_agent_1,1001.0,191.0,household_agent_0,77.0,191.0,2548.0
49,,,1634.0,2493.0,household_agent_1,1001.0,191.0,household_agent_0,88.0,191.0,2581.0
50,,,1666.0,2573.0,household_agent_1,1001.0,191.0,household_agent_0,54.0,191.0,2627.0
51,,,1698.0,2626.0,household_agent_1,1001.0,191.0,household_agent_0,69.0,191.0,2695.0
