,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-23 16:18:18.458776,,,,,,,,,
1,Simulation configuration ID,ff2e8940-960c-4d3f-a3fd-3d5551c08f73,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,84.0,aggregator_agent,1019.0,191.0,control_center_agent,19.0,191.0,103.0
1,,,1.0,190.0,generation_agent_3,1016.0,191.0,aggregator_agent,47.0,191.0,237.0
2,,,13.0,20308.0,household_agent_5,1005.0,191.0,household_agent_7,56.0,191.0,20364.0
3,,,14.0,20308.0,generation_agent_3,1016.0,191.0,household_agent_7,91.0,191.0,24628.0
4,,,14.0,20308.0,generation_agent_3,1016.0,191.0,household_agent_7,45.0,191.0,20353.0
5,,,17.0,20308.0,household_agent_7,1007.0,191.0,household_agent_5,47.0,191.0,20355.0
6,,,17.0,20308.0,household_agent_7,1007.0,191.0,household_agent_5,124.0,191.0,24661.0
7,,,18.0,20308.0,household_agent_4,1004.0,191.0,household_agent_5,58.0,191.0,20366.0
8,,,22.0,20308.0,household_agent_5,1005.0,191.0,household_agent_4,48.0,191.0,20356.0
9,,,23.0,20308.0,household_agent_6,1006.0,191.0,household_agent_4,59.0,191.0,20367.0
10,,,24.0,20308.0,household_agent_1,1001.0,191.0,household_agent_4,70.0,191.0,20378.0
11,,,25.0,20308.0,household_agent_4,1004.0,191.0,household_agent_6,50.0,191.0,20358.0
12,,,26.0,20308.0,household_agent_1,1001.0,191.0,household_agent_6,61.0,191.0,20369.0
13,,,19.0,20308.0,household_agent_4,1004.0,191.0,household_agent_1,54.0,191.0,20362.0
14,,,20.0,20308.0,household_agent_6,1006.0,191.0,household_agent_1,76.0,191.0,20384.0
15,,,21.0,20308.0,generation_agent_0,1013.0,191.0,household_agent_1,87.0,191.0,20395.0
16,,,15.0,20308.0,household_agent_1,1001.0,191.0,generation_agent_0,46.0,191.0,20354.0
17,,,15.0,20308.0,household_agent_1,1001.0,191.0,generation_agent_0,102.0,191.0,24639.0
18,,,16.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_0,72.0,191.0,20380.0
19,,,16.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_0,113.0,191.0,24650.0
20,,,8.0,20308.0,generation_agent_0,1013.0,191.0,generation_agent_1,66.0,191.0,20374.0
21,,,8.0,20308.0,generation_agent_0,1013.0,191.0,generation_agent_1,113.0,191.0,5729.0
22,,,9.0,20308.0,generation_agent_2,1015.0,191.0,generation_agent_1,60.0,191.0,20661.0
23,,,9.0,20308.0,generation_agent_2,1015.0,191.0,generation_agent_1,77.0,191.0,20385.0
24,,,9.0,20308.0,generation_agent_2,1015.0,191.0,generation_agent_1,124.0,191.0,5740.0
25,,,10.0,20308.0,generation_agent_3,1016.0,191.0,generation_agent_1,47.0,191.0,24584.0
26,,,10.0,20308.0,generation_agent_3,1016.0,191.0,generation_agent_1,51.0,191.0,20359.0
27,,,11.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_2,58.0,191.0,24595.0
28,,,11.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_2,71.0,191.0,20379.0
29,,,12.0,20308.0,generation_agent_3,1016.0,191.0,generation_agent_2,55.0,191.0,20363.0
30,,,2.0,2779.0,generation_agent_1,1014.0,191.0,generation_agent_3,47.0,191.0,5663.0
31,,,2.0,2779.0,generation_agent_1,1014.0,191.0,generation_agent_3,47.0,191.0,2826.0
32,,,3.0,2779.0,generation_agent_2,1015.0,191.0,generation_agent_3,58.0,191.0,3602.0
33,,,3.0,2779.0,generation_agent_2,1015.0,191.0,generation_agent_3,58.0,191.0,5674.0
34,,,3.0,2779.0,generation_agent_2,1015.0,191.0,generation_agent_3,58.0,191.0,2837.0
35,,,4.0,2779.0,household_agent_7,1007.0,191.0,generation_agent_3,69.0,191.0,2848.0
36,,,5.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_3,58.0,191.0,22477.0
37,,,5.0,20308.0,generation_agent_1,1014.0,191.0,generation_agent_3,53.0,191.0,20361.0
38,,,6.0,20308.0,generation_agent_2,1015.0,191.0,generation_agent_3,91.0,191.0,5707.0
39,,,6.0,20308.0,generation_agent_2,1015.0,191.0,generation_agent_3,64.0,191.0,20372.0
40,,,7.0,20308.0,household_agent_7,1007.0,191.0,generation_agent_3,75.0,191.0,20383.0
41,,,7.0,20308.0,household_agent_7,1007.0,191.0,generation_agent_3,58.0,191.0,24084.0
42,,,7.0,20308.0,household_agent_7,1007.0,191.0,generation_agent_3,102.0,191.0,5718.0
43,,,27.0,21359.0,aggregator_agent,1019.0,191.0,generation_agent_3,47.0,191.0,21406.0
