,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 23:42:30.341544,,,,,,,,,
1,Simulation configuration ID,03ad1007-f6af-4f52-a2b2-51f0be98cf3f,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,0.0,household_agent_11,1011.0,991.0,control_center_agent,1.0,536.0,1.0
1,,,0.0,0.0,household_agent_11,1011.0,991.0,control_center_agent,2.0,455.0,2.0
2,,,23.0,17.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,18.0
3,,,23.0,17.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,19.0
4,,,24.0,17.0,household_agent_5,1005.0,991.0,household_agent_0,3.0,536.0,20.0
5,,,24.0,17.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,25.0
6,,,25.0,17.0,generation_agent_3,1016.0,991.0,household_agent_0,6.0,536.0,23.0
7,,,25.0,17.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,30.0
8,,,73.0,84.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,85.0
9,,,73.0,84.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,86.0
10,,,74.0,84.0,household_agent_5,1005.0,991.0,household_agent_0,3.0,536.0,87.0
11,,,74.0,84.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,92.0
12,,,75.0,84.0,generation_agent_3,1016.0,991.0,household_agent_0,6.0,536.0,90.0
13,,,75.0,84.0,generation_agent_3,1016.0,991.0,household_agent_0,12.0,455.0,96.0
14,,,123.0,96.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,97.0
15,,,123.0,96.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,98.0
16,,,124.0,96.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,100.0
17,,,124.0,96.0,household_agent_5,1005.0,991.0,household_agent_0,10.0,455.0,106.0
18,,,125.0,96.0,generation_agent_3,1016.0,991.0,household_agent_0,10.0,536.0,106.0
19,,,125.0,96.0,generation_agent_3,1016.0,991.0,household_agent_0,17.0,455.0,113.0
20,,,173.0,192.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,193.0
21,,,173.0,192.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,195.0
22,,,174.0,192.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,196.0
23,,,174.0,192.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,200.0
24,,,175.0,192.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,200.0
25,,,175.0,192.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,205.0
26,,,223.0,276.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,277.0
27,,,223.0,276.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,279.0
28,,,224.0,276.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,280.0
29,,,224.0,276.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,284.0
30,,,225.0,276.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,284.0
31,,,225.0,276.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,289.0
32,,,273.0,345.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,346.0
33,,,273.0,345.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,348.0
34,,,274.0,345.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,349.0
35,,,274.0,345.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,353.0
36,,,275.0,345.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,353.0
37,,,275.0,345.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,358.0
38,,,323.0,361.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,362.0
39,,,323.0,361.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,364.0
40,,,324.0,361.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,365.0
41,,,324.0,361.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,369.0
42,,,325.0,361.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,369.0
43,,,325.0,361.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,374.0
44,,,373.0,383.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,384.0
45,,,373.0,383.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,386.0
46,,,374.0,383.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,387.0
47,,,374.0,383.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,391.0
48,,,375.0,383.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,391.0
49,,,375.0,383.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,396.0
50,,,423.0,417.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,418.0
51,,,423.0,417.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,420.0
52,,,424.0,417.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,421.0
53,,,424.0,417.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,425.0
54,,,425.0,417.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,425.0
55,,,425.0,417.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,430.0
56,,,473.0,485.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,486.0
57,,,473.0,485.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,488.0
58,,,474.0,485.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,489.0
59,,,474.0,485.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,493.0
60,,,475.0,485.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,493.0
61,,,475.0,485.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,498.0
62,,,523.0,561.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,562.0
63,,,523.0,561.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,564.0
64,,,524.0,561.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,565.0
65,,,524.0,561.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,569.0
66,,,525.0,561.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,569.0
67,,,525.0,561.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,574.0
68,,,573.0,592.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,593.0
69,,,573.0,592.0,household_agent_1,1001.0,991.0,household_agent_0,3.0,455.0,595.0
70,,,574.0,592.0,household_agent_5,1005.0,991.0,household_agent_0,4.0,536.0,596.0
71,,,574.0,592.0,household_agent_5,1005.0,991.0,household_agent_0,8.0,455.0,600.0
72,,,575.0,592.0,generation_agent_3,1016.0,991.0,household_agent_0,8.0,536.0,600.0
73,,,575.0,592.0,generation_agent_3,1016.0,991.0,household_agent_0,13.0,455.0,605.0
74,,,9.0,17.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,18.0
75,,,9.0,17.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,19.0
