,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 20:47:49.357757,,,,,,,,,
1,Simulation configuration ID,03b7ee9c-94be-42a9-80db-5fc2706ab427,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,8.0,household_agent_4,1004.0,991.0,control_center_agent,1.0,536.0,9.0
1,,,0.0,8.0,household_agent_4,1004.0,991.0,control_center_agent,2.0,455.0,10.0
2,,,17.0,410.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,411.0
3,,,17.0,410.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,412.0
4,,,49.0,852.0,household_agent_1,1001.0,991.0,household_agent_0,1.0,536.0,853.0
5,,,49.0,852.0,household_agent_1,1001.0,991.0,household_agent_0,2.0,455.0,854.0
6,,,13.0,410.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,411.0
7,,,13.0,410.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,412.0
8,,,14.0,410.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,412.0
9,,,14.0,410.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,416.0
10,,,45.0,852.0,household_agent_0,1000.0,991.0,household_agent_1,1.0,536.0,853.0
11,,,45.0,852.0,household_agent_0,1000.0,991.0,household_agent_1,2.0,455.0,854.0
12,,,46.0,852.0,household_agent_2,1002.0,991.0,household_agent_1,2.0,536.0,854.0
13,,,46.0,852.0,household_agent_2,1002.0,991.0,household_agent_1,6.0,455.0,858.0
14,,,9.0,410.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,412.0
15,,,9.0,410.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,415.0
16,,,10.0,410.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,414.0
17,,,10.0,410.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,417.0
18,,,41.0,852.0,household_agent_1,1001.0,991.0,household_agent_2,2.0,536.0,854.0
19,,,41.0,852.0,household_agent_1,1001.0,991.0,household_agent_2,5.0,455.0,857.0
20,,,42.0,852.0,household_agent_3,1003.0,991.0,household_agent_2,4.0,536.0,856.0
21,,,42.0,852.0,household_agent_3,1003.0,991.0,household_agent_2,7.0,455.0,859.0
22,,,5.0,410.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,413.0
23,,,5.0,410.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,417.0
24,,,6.0,410.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,411.0
25,,,6.0,410.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,412.0
26,,,37.0,852.0,household_agent_2,1002.0,991.0,household_agent_3,3.0,536.0,855.0
27,,,37.0,852.0,household_agent_2,1002.0,991.0,household_agent_3,7.0,455.0,859.0
28,,,38.0,852.0,household_agent_4,1004.0,991.0,household_agent_3,1.0,536.0,853.0
29,,,38.0,852.0,household_agent_4,1004.0,991.0,household_agent_3,2.0,455.0,854.0
30,,,1.0,117.0,household_agent_3,1003.0,991.0,household_agent_4,1.0,536.0,118.0
