,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 20:32:32.979765,,,,,,,,,
1,Simulation configuration ID,08264ef0-a0d2-4863-b0d8-6e1f66ba1b33,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,56.0,household_agent_1,713.0,household_agent_2,0.0,2.0,536.0,58.0
1,,,0.0,56.0,household_agent_1,713.0,household_agent_2,0.0,3.0,177.0,59.0
2,,,1.0,56.0,household_agent_3,784.0,household_agent_2,0.0,2.0,536.0,58.0
3,,,1.0,56.0,household_agent_3,784.0,household_agent_2,0.0,3.0,248.0,59.0
4,,,2.0,56.0,household_agent_7,722.0,household_agent_2,0.0,3.0,536.0,59.0
5,,,2.0,56.0,household_agent_7,722.0,household_agent_2,0.0,4.0,186.0,60.0
6,,,100100.0,104.0,household_agent_2,713.0,household_agent_1,58.0,2.0,536.0,106.0
7,,,100100.0,104.0,household_agent_2,713.0,household_agent_1,58.0,3.0,177.0,107.0
8,,,100101.0,105.0,household_agent_2,713.0,household_agent_1,59.0,3.0,536.0,108.0
9,,,100101.0,105.0,household_agent_2,713.0,household_agent_1,59.0,4.0,177.0,109.0
10,,,100300.0,92.0,household_agent_2,784.0,household_agent_3,58.0,2.0,536.0,94.0
11,,,100300.0,92.0,household_agent_2,784.0,household_agent_3,58.0,3.0,248.0,95.0
12,,,100301.0,93.0,household_agent_2,784.0,household_agent_3,59.0,3.0,536.0,96.0
13,,,100301.0,93.0,household_agent_2,784.0,household_agent_3,59.0,4.0,248.0,97.0
14,,,100700.0,146.0,household_agent_2,722.0,household_agent_7,59.0,2.0,536.0,148.0
15,,,100700.0,146.0,household_agent_2,722.0,household_agent_7,59.0,3.0,186.0,149.0
16,,,100701.0,147.0,household_agent_2,722.0,household_agent_7,60.0,3.0,536.0,150.0
17,,,100701.0,147.0,household_agent_2,722.0,household_agent_7,60.0,4.0,186.0,151.0
