,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 21:07:32.935660,,,,,,,,,
1,Simulation configuration ID,14b3d757-af5a-420b-9ef2-37517f545f30,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,73.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,73.0
1,,,1.0,114.0,household_agent_4,1004.0,41.0,aggregator_agent,0.0,41.0,114.0
2,,,101.0,145.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,145.0
3,,,18.0,135.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,135.0
4,,,50.0,208.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,208.0
5,,,82.0,246.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,246.0
6,,,14.0,135.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,135.0
7,,,15.0,135.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,136.0
8,,,46.0,208.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,208.0
9,,,47.0,208.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,209.0
10,,,78.0,246.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,246.0
11,,,79.0,246.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,247.0
12,,,10.0,135.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,135.0
13,,,11.0,135.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,136.0
14,,,42.0,208.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,208.0
15,,,43.0,208.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,209.0
16,,,74.0,246.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,246.0
17,,,75.0,246.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,247.0
18,,,6.0,135.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,135.0
19,,,7.0,135.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,135.0
20,,,38.0,208.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,208.0
21,,,39.0,208.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,208.0
22,,,70.0,246.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,246.0
23,,,71.0,246.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,246.0
24,,,2.0,134.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,134.0
25,,,3.0,134.0,household_agent_5,1005.0,41.0,household_agent_4,0.0,41.0,134.0
26,,,4.0,135.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,135.0
27,,,5.0,135.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,136.0
28,,,36.0,208.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,208.0
29,,,37.0,208.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,209.0
30,,,68.0,246.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,246.0
31,,,69.0,246.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,247.0
32,,,100.0,130.0,aggregator_agent,1017.0,41.0,household_agent_4,0.0,41.0,130.0
33,,,8.0,135.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,136.0
34,,,9.0,135.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,135.0
35,,,40.0,208.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,209.0
36,,,41.0,208.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,208.0
37,,,72.0,246.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,247.0
38,,,73.0,246.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,246.0
39,,,12.0,135.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,135.0
40,,,13.0,135.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,136.0
41,,,44.0,208.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,208.0
42,,,45.0,208.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,209.0
43,,,76.0,246.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,246.0
44,,,77.0,246.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,247.0
45,,,16.0,135.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,136.0
46,,,17.0,135.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,136.0
47,,,48.0,208.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,209.0
48,,,49.0,208.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,209.0
49,,,80.0,246.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,247.0
50,,,81.0,246.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,247.0
51,,,19.0,135.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,135.0
52,,,20.0,135.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,135.0
53,,,51.0,208.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,208.0
54,,,52.0,208.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,208.0
55,,,83.0,246.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,246.0
56,,,84.0,246.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,246.0
57,,,21.0,135.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,135.0
58,,,22.0,135.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,135.0
59,,,53.0,208.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,208.0
60,,,54.0,208.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,208.0
61,,,85.0,246.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,246.0
62,,,86.0,246.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,246.0
63,,,23.0,135.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,135.0
64,,,24.0,135.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,136.0
65,,,55.0,208.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,208.0
66,,,56.0,208.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,209.0
67,,,87.0,246.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,246.0
68,,,88.0,246.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,247.0
69,,,25.0,135.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,136.0
70,,,26.0,135.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,136.0
71,,,57.0,208.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,209.0
72,,,58.0,208.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,209.0
73,,,89.0,246.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,247.0
74,,,90.0,246.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,247.0
