,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 03:47:07.798814,,,,,,,,,
1,Simulation configuration ID,161197b7-5550-4c08-a2af-6bd096b061d4,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,113.0,household_agent_1,26.0,household_agent_0,0.0,0.0,26.0,113.0
1,,,1.0,152.0,household_agent_0,8.0,household_agent_1,0.0,0.0,8.0,152.0
2,,,2.0,110.0,household_agent_2,14.0,household_agent_1,0.0,0.0,14.0,110.0
3,,,3.0,67.0,household_agent_1,25.0,household_agent_2,0.0,0.0,25.0,67.0
4,,,4.0,99.0,household_agent_3,25.0,household_agent_2,0.0,0.0,25.0,99.0
5,,,5.0,125.0,household_agent_2,34.0,household_agent_3,0.0,0.0,34.0,125.0
6,,,6.0,118.0,household_agent_4,32.0,household_agent_3,0.0,0.0,32.0,118.0
7,,,7.0,135.0,household_agent_3,39.0,household_agent_4,0.0,0.0,39.0,135.0
8,,,8.0,137.0,household_agent_5,18.0,household_agent_4,0.0,0.0,18.0,137.0
9,,,9.0,138.0,household_agent_4,22.0,household_agent_5,0.0,0.0,22.0,138.0
10,,,10.0,63.0,household_agent_6,19.0,household_agent_5,0.0,0.0,19.0,63.0
11,,,11.0,71.0,household_agent_5,48.0,household_agent_6,0.0,0.0,48.0,71.0
12,,,12.0,145.0,household_agent_7,23.0,household_agent_6,0.0,0.0,23.0,145.0
13,,,13.0,112.0,household_agent_6,37.0,household_agent_7,0.0,0.0,37.0,112.0
14,,,14.0,64.0,household_agent_8,48.0,household_agent_7,0.0,0.0,48.0,64.0
15,,,15.0,94.0,household_agent_7,33.0,household_agent_8,0.0,0.0,33.0,94.0
16,,,16.0,109.0,household_agent_9,33.0,household_agent_8,0.0,0.0,33.0,109.0
17,,,17.0,115.0,household_agent_8,10.0,household_agent_9,0.0,0.0,10.0,115.0
18,,,18.0,118.0,household_agent_10,16.0,household_agent_9,0.0,0.0,16.0,118.0
19,,,19.0,136.0,household_agent_9,24.0,household_agent_10,0.0,1.0,24.0,137.0
20,,,21.0,80.0,household_agent_10,18.0,household_agent_11,0.0,0.0,18.0,80.0
21,,,22.0,141.0,household_agent_12,17.0,household_agent_11,0.0,0.0,17.0,141.0
22,,,23.0,97.0,household_agent_11,24.0,household_agent_12,0.0,0.0,24.0,97.0
23,,,100000.0,244.0,household_agent_1,8.0,household_agent_0,152.0,0.0,8.0,244.0
24,,,100100.0,164.0,household_agent_2,25.0,household_agent_1,67.0,0.0,25.0,164.0
25,,,100101.0,126.0,household_agent_0,26.0,household_agent_1,113.0,0.0,26.0,126.0
26,,,100200.0,168.0,household_agent_1,14.0,household_agent_2,110.0,0.0,14.0,168.0
27,,,100201.0,225.0,household_agent_3,34.0,household_agent_2,125.0,0.0,34.0,225.0
28,,,100300.0,175.0,household_agent_2,25.0,household_agent_3,99.0,0.0,25.0,175.0
29,,,100301.0,225.0,household_agent_4,39.0,household_agent_3,135.0,0.0,39.0,225.0
30,,,100400.0,130.0,household_agent_3,32.0,household_agent_4,118.0,0.0,32.0,130.0
31,,,100401.0,194.0,household_agent_5,22.0,household_agent_4,138.0,0.0,22.0,194.0
32,,,100500.0,79.0,household_agent_6,48.0,household_agent_5,71.0,0.0,48.0,79.0
33,,,100501.0,164.0,household_agent_4,18.0,household_agent_5,137.0,0.0,18.0,164.0
34,,,100600.0,121.0,household_agent_5,19.0,household_agent_6,63.0,0.0,19.0,121.0
35,,,100601.0,114.0,household_agent_7,37.0,household_agent_6,112.0,0.0,37.0,114.0
36,,,100700.0,152.0,household_agent_8,33.0,household_agent_7,94.0,0.0,33.0,152.0
37,,,100701.0,240.0,household_agent_6,23.0,household_agent_7,145.0,0.0,23.0,240.0
38,,,100800.0,97.0,household_agent_7,48.0,household_agent_8,64.0,0.0,48.0,97.0
39,,,100801.0,164.0,household_agent_9,10.0,household_agent_8,115.0,0.0,10.0,164.0
40,,,100900.0,142.0,household_agent_8,33.0,household_agent_9,109.0,0.0,33.0,142.0
41,,,100901.0,151.0,household_agent_10,24.0,household_agent_9,137.0,0.0,24.0,151.0
42,,,101000.0,80.0,household_agent_11,18.0,household_agent_10,80.0,44.0,18.0,124.0
43,,,101100.0,134.0,household_agent_12,24.0,household_agent_11,97.0,0.0,24.0,134.0
44,,,101200.0,171.0,household_agent_11,17.0,household_agent_12,141.0,0.0,17.0,171.0
