,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 04:52:19.792687,,,,,,,,,
1,Simulation configuration ID,1b0ef6fb-67c5-4d47-b8e7-c0451e8f25b5,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,19.0,aggregator_agent,809.0,market_agent,0.0,1.0,536.0,20.0
1,,,0.0,19.0,aggregator_agent,809.0,market_agent,0.0,2.0,273.0,21.0
2,,,1.0,34.0,aggregator_agent,881.0,grid_operator_agent,0.0,1.0,536.0,35.0
3,,,1.0,34.0,aggregator_agent,881.0,grid_operator_agent,0.0,2.0,345.0,36.0
4,,,2.0,43.0,aggregator_agent,349.0,household_agent_0,0.0,1.0,349.0,44.0
5,,,3.0,108.0,aggregator_agent,695.0,household_agent_1,0.0,2.0,536.0,110.0
6,,,3.0,108.0,aggregator_agent,695.0,household_agent_1,0.0,3.0,159.0,111.0
7,,,4.0,94.0,aggregator_agent,297.0,household_agent_2,0.0,0.0,297.0,94.0
8,,,5.0,76.0,aggregator_agent,387.0,household_agent_3,0.0,1.0,387.0,77.0
9,,,6.0,76.0,aggregator_agent,840.0,household_agent_4,0.0,2.0,536.0,78.0
10,,,6.0,76.0,aggregator_agent,840.0,household_agent_4,0.0,3.0,304.0,79.0
11,,,7.0,53.0,aggregator_agent,599.0,household_agent_5,0.0,1.0,536.0,54.0
12,,,7.0,53.0,aggregator_agent,599.0,household_agent_5,0.0,1.0,63.0,54.0
13,,,8.0,46.0,aggregator_agent,492.0,household_agent_6,0.0,1.0,492.0,47.0
14,,,9.0,57.0,aggregator_agent,499.0,household_agent_7,0.0,2.0,499.0,59.0
15,,,10.0,41.0,aggregator_agent,256.0,household_agent_8,0.0,1.0,256.0,42.0
16,,,11.0,121.0,aggregator_agent,420.0,household_agent_9,0.0,1.0,420.0,122.0
17,,,12.0,59.0,aggregator_agent,495.0,household_agent_10,0.0,2.0,495.0,61.0
18,,,13.0,39.0,aggregator_agent,529.0,household_agent_11,0.0,2.0,529.0,41.0
19,,,14.0,55.0,aggregator_agent,719.0,household_agent_12,0.0,1.0,536.0,56.0
20,,,14.0,55.0,aggregator_agent,719.0,household_agent_12,0.0,1.0,183.0,56.0
