,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 22:38:53.833928,,,,,,,,,
1,Simulation configuration ID,1d2b25b6-19cd-4123-8eaa-60a070cf8802,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,26.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,26.0
1,,,1.0,113.0,household_agent_1,1001.0,41.0,aggregator_agent,0.0,41.0,113.0
2,,,101.0,219.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,219.0
3,,,6.0,158.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,158.0
4,,,38.0,208.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,208.0
5,,,70.0,267.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,267.0
6,,,2.0,121.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,121.0
7,,,3.0,121.0,household_agent_2,1002.0,41.0,household_agent_1,0.0,41.0,121.0
8,,,4.0,158.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,158.0
9,,,5.0,158.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,159.0
10,,,36.0,208.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,208.0
11,,,37.0,208.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,209.0
12,,,68.0,267.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,267.0
13,,,69.0,267.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,268.0
14,,,100.0,190.0,aggregator_agent,1017.0,41.0,household_agent_1,0.0,41.0,190.0
15,,,7.0,158.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,158.0
16,,,8.0,158.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,159.0
17,,,39.0,208.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,208.0
18,,,40.0,208.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,209.0
19,,,71.0,267.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,267.0
20,,,72.0,267.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,268.0
21,,,9.0,158.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,158.0
22,,,10.0,158.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,158.0
23,,,41.0,208.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,208.0
24,,,42.0,208.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,208.0
25,,,73.0,267.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,267.0
26,,,74.0,267.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,267.0
27,,,11.0,158.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,158.0
28,,,12.0,158.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,159.0
29,,,43.0,208.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,208.0
30,,,44.0,208.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,209.0
31,,,75.0,267.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,267.0
32,,,76.0,267.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,268.0
33,,,13.0,158.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,159.0
34,,,14.0,158.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,158.0
35,,,45.0,208.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,209.0
36,,,46.0,208.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,208.0
37,,,77.0,267.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,268.0
38,,,78.0,267.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,267.0
39,,,15.0,158.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,158.0
40,,,16.0,158.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,159.0
41,,,47.0,208.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,208.0
42,,,48.0,208.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,209.0
43,,,79.0,267.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,267.0
44,,,80.0,267.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,268.0
45,,,17.0,158.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,159.0
46,,,18.0,158.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,159.0
47,,,49.0,208.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,209.0
48,,,50.0,208.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,209.0
49,,,81.0,267.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,268.0
50,,,82.0,267.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,268.0
51,,,19.0,158.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,158.0
52,,,20.0,158.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,158.0
53,,,51.0,208.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,208.0
54,,,52.0,208.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,208.0
55,,,83.0,267.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,267.0
56,,,84.0,267.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,267.0
57,,,21.0,158.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,158.0
58,,,22.0,158.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,158.0
59,,,53.0,208.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,208.0
60,,,54.0,208.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,208.0
61,,,85.0,267.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,267.0
62,,,86.0,267.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,267.0
63,,,23.0,158.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,158.0
64,,,24.0,158.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,159.0
65,,,55.0,208.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,208.0
66,,,56.0,208.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,209.0
67,,,87.0,267.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,267.0
68,,,88.0,267.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,268.0
