,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 17:19:20.774656,,,,,,,,,
1,Simulation configuration ID,1fb75974-bc50-44e1-8b05-170ee3124594,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 22 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,4.0,household_agent_7,1007.0,191.0,control_center_agent,0.0,191.0,4.0
1,,,28.0,60.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,62.0
2,,,28.0,60.0,household_agent_4,1004.0,191.0,household_agent_9,0.0,191.0,131.0
3,,,54.0,88.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,90.0
4,,,80.0,163.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,165.0
5,,,106.0,203.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,205.0
6,,,132.0,273.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,275.0
7,,,132.0,273.0,household_agent_4,1004.0,191.0,household_agent_9,1.0,191.0,184.0
8,,,158.0,301.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,303.0
9,,,184.0,367.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,369.0
10,,,210.0,449.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,451.0
11,,,236.0,528.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,530.0
12,,,262.0,626.0,household_agent_4,1004.0,191.0,household_agent_9,2.0,191.0,628.0
13,,,25.0,60.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,61.0
14,,,26.0,60.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,62.0
15,,,51.0,88.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,89.0
16,,,52.0,88.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,90.0
17,,,77.0,163.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,164.0
18,,,77.0,163.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,217.0
19,,,78.0,163.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,165.0
20,,,78.0,163.0,household_agent_1,1001.0,191.0,household_agent_4,1.0,191.0,217.0
21,,,103.0,203.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,204.0
22,,,104.0,203.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,205.0
23,,,129.0,273.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,274.0
24,,,129.0,273.0,household_agent_9,1009.0,191.0,household_agent_4,5.0,191.0,188.0
25,,,130.0,273.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,275.0
26,,,130.0,273.0,household_agent_1,1001.0,191.0,household_agent_4,5.0,191.0,188.0
27,,,155.0,301.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,302.0
28,,,156.0,301.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,303.0
29,,,181.0,367.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,368.0
30,,,182.0,367.0,household_agent_1,1001.0,191.0,household_agent_4,2.0,191.0,369.0
31,,,207.0,449.0,household_agent_9,1009.0,191.0,household_agent_4,1.0,191.0,450.0
