,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 15:37:58.627055,,,,,,,,,
1,Simulation configuration ID,23ca8805-7896-4721-a966-859df1199b7a,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Complete Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,64.0,67.0,household_agent_0,8.0,household_agent_3,0.0,5.0,8.0,72.0
1,,,65.0,67.0,household_agent_1,12.0,household_agent_3,0.0,5.0,12.0,72.0
2,,,66.0,67.0,household_agent_2,17.0,household_agent_3,0.0,6.0,17.0,73.0
3,,,67.0,67.0,household_agent_4,21.0,household_agent_3,0.0,5.0,21.0,72.0
4,,,68.0,67.0,household_agent_5,37.0,household_agent_3,0.0,6.0,37.0,73.0
5,,,69.0,67.0,household_agent_6,43.0,household_agent_3,0.0,6.0,43.0,73.0
6,,,70.0,67.0,household_agent_7,35.0,household_agent_3,0.0,5.0,35.0,72.0
7,,,71.0,67.0,household_agent_8,32.0,household_agent_3,0.0,6.0,32.0,73.0
8,,,72.0,67.0,household_agent_9,40.0,household_agent_3,0.0,6.0,40.0,73.0
9,,,73.0,67.0,household_agent_10,13.0,household_agent_3,0.0,6.0,13.0,73.0
10,,,74.0,67.0,household_agent_11,27.0,household_agent_3,0.0,6.0,27.0,73.0
11,,,75.0,67.0,household_agent_12,13.0,household_agent_3,0.0,6.0,13.0,73.0
12,,,76.0,67.0,generation_agent_0,37.0,household_agent_3,0.0,6.0,37.0,73.0
13,,,77.0,67.0,generation_agent_1,38.0,household_agent_3,0.0,6.0,38.0,73.0
14,,,78.0,67.0,generation_agent_2,32.0,household_agent_3,0.0,6.0,32.0,73.0
15,,,79.0,67.0,generation_agent_3,11.0,household_agent_3,0.0,6.0,11.0,73.0
16,,,100000.0,322.0,household_agent_3,8.0,household_agent_0,72.0,0.0,8.0,322.0
17,,,100100.0,827.0,household_agent_3,12.0,household_agent_1,72.0,0.0,12.0,827.0
18,,,100200.0,522.0,household_agent_3,17.0,household_agent_2,73.0,0.0,17.0,522.0
19,,,100400.0,251.0,household_agent_3,21.0,household_agent_4,72.0,0.0,21.0,251.0
20,,,100500.0,970.0,household_agent_3,37.0,household_agent_5,73.0,0.0,37.0,970.0
21,,,100600.0,1039.0,household_agent_3,43.0,household_agent_6,73.0,0.0,43.0,1039.0
22,,,100700.0,330.0,household_agent_3,35.0,household_agent_7,72.0,0.0,35.0,330.0
23,,,100800.0,208.0,household_agent_3,32.0,household_agent_8,73.0,0.0,32.0,208.0
24,,,100900.0,902.0,household_agent_3,40.0,household_agent_9,73.0,0.0,40.0,902.0
25,,,101000.0,339.0,household_agent_3,13.0,household_agent_10,73.0,0.0,13.0,339.0
26,,,101100.0,729.0,household_agent_3,27.0,household_agent_11,73.0,0.0,27.0,729.0
27,,,101200.0,710.0,household_agent_3,13.0,household_agent_12,73.0,0.0,13.0,710.0
28,,,101300.0,1000.0,household_agent_3,37.0,generation_agent_0,73.0,0.0,37.0,1000.0
29,,,101400.0,979.0,household_agent_3,38.0,generation_agent_1,73.0,0.0,38.0,979.0
30,,,101500.0,803.0,household_agent_3,32.0,generation_agent_2,73.0,0.0,32.0,803.0
31,,,101600.0,627.0,household_agent_3,11.0,generation_agent_3,73.0,0.0,11.0,627.0
