,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 18:25:10.293912,,,,,,,,,
1,Simulation configuration ID,2a5ca54b-2113-47f8-9a11-4e06e3622467,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,57.0,household_agent_0,64.0,market_agent,0.0,0.0,64.0,57.0
1,,,1.0,57.0,household_agent_1,122.0,market_agent,0.0,1.0,122.0,58.0
2,,,2.0,57.0,household_agent_2,96.0,market_agent,0.0,1.0,96.0,58.0
3,,,3.0,57.0,household_agent_3,137.0,market_agent,0.0,1.0,137.0,58.0
4,,,4.0,57.0,household_agent_4,195.0,market_agent,0.0,1.0,195.0,58.0
5,,,5.0,57.0,household_agent_5,90.0,market_agent,0.0,1.0,90.0,58.0
6,,,6.0,57.0,household_agent_6,90.0,market_agent,0.0,2.0,90.0,59.0
7,,,7.0,57.0,household_agent_7,125.0,market_agent,0.0,2.0,125.0,59.0
8,,,8.0,57.0,household_agent_8,150.0,market_agent,0.0,2.0,150.0,59.0
9,,,9.0,57.0,household_agent_9,59.0,market_agent,0.0,2.0,59.0,59.0
10,,,10.0,57.0,household_agent_10,82.0,market_agent,0.0,2.0,82.0,59.0
11,,,11.0,57.0,household_agent_11,86.0,market_agent,0.0,2.0,86.0,59.0
12,,,12.0,57.0,household_agent_12,126.0,market_agent,0.0,3.0,126.0,60.0
13,,,13.0,57.0,generation_agent_0,88.0,market_agent,0.0,3.0,88.0,60.0
14,,,14.0,57.0,generation_agent_1,146.0,market_agent,0.0,3.0,146.0,60.0
15,,,15.0,57.0,generation_agent_2,89.0,market_agent,0.0,3.0,89.0,60.0
16,,,16.0,57.0,generation_agent_3,131.0,market_agent,0.0,3.0,131.0,60.0
17,,,17.0,900057.0,household_agent_0,70.0,market_agent,0.0,1.0,70.0,900058.0
18,,,18.0,900057.0,household_agent_1,146.0,market_agent,0.0,1.0,146.0,900058.0
19,,,19.0,900057.0,household_agent_2,61.0,market_agent,0.0,1.0,61.0,900058.0
20,,,20.0,900057.0,household_agent_3,151.0,market_agent,0.0,1.0,151.0,900058.0
21,,,21.0,900057.0,household_agent_4,140.0,market_agent,0.0,1.0,140.0,900058.0
22,,,22.0,900057.0,household_agent_5,181.0,market_agent,0.0,2.0,181.0,900059.0
23,,,23.0,900057.0,household_agent_6,112.0,market_agent,0.0,2.0,112.0,900059.0
24,,,24.0,900057.0,household_agent_7,187.0,market_agent,0.0,2.0,187.0,900059.0
25,,,25.0,900057.0,household_agent_8,162.0,market_agent,0.0,2.0,162.0,900059.0
26,,,26.0,900057.0,household_agent_9,148.0,market_agent,0.0,2.0,148.0,900059.0
27,,,27.0,900057.0,household_agent_10,146.0,market_agent,0.0,3.0,146.0,900060.0
28,,,28.0,900057.0,household_agent_11,180.0,market_agent,0.0,3.0,180.0,900060.0
29,,,29.0,900057.0,household_agent_12,168.0,market_agent,0.0,3.0,168.0,900060.0
30,,,30.0,900057.0,generation_agent_0,78.0,market_agent,0.0,3.0,78.0,900060.0
31,,,31.0,900057.0,generation_agent_1,193.0,market_agent,0.0,3.0,193.0,900060.0
32,,,32.0,900057.0,generation_agent_2,106.0,market_agent,0.0,3.0,106.0,900060.0
