,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 07:04:07.255941,,,,,,,,,
1,Simulation configuration ID,2e1fdd37-3741-43a8-a8e0-9b473e0097b9,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 25 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,94.0,household_agent_1,150.0,household_agent_2,0.0,0.0,150.0,94.0
1,,,0.0,94.0,household_agent_1,150.0,household_agent_2,0.0,0.0,123.0,21.0
2,,,1.0,94.0,household_agent_3,167.0,household_agent_2,0.0,1.0,167.0,95.0
3,,,1.0,94.0,household_agent_3,167.0,household_agent_2,0.0,0.0,170.0,21.0
4,,,2.0,94.0,generation_agent_3,80.0,household_agent_2,0.0,1.0,80.0,95.0
5,,,100100.0,641.0,household_agent_2,150.0,household_agent_1,94.0,0.0,150.0,641.0
6,,,100300.0,377.0,household_agent_2,167.0,household_agent_3,95.0,1.0,167.0,378.0
7,,,101300.0,515.0,generation_agent_1,123.0,generation_agent_0,21.0,0.0,123.0,515.0
8,,,101500.0,397.0,generation_agent_1,170.0,generation_agent_2,21.0,0.0,170.0,397.0
9,,,101600.0,297.0,household_agent_2,80.0,generation_agent_3,95.0,0.0,80.0,297.0
